iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
COD,CD,1498.0,24760.0,13954.0,abbe mangongo,11460.0,20.39833333,2.415277778,3,,,2015.0,,,50,23,,,50,3,,,50,0,,,1,3473,0.46,0.06,0.0,0.4645283018867924,11747.247559490852,0,0,0,1
COD,CD,1506.0,24780.0,14228.0,abulakama,50809.0,25.24098,1.09174,3,,,2013.0,,,50,14,,,50,18,,,50,8,,,1,4249,0.28,0.36,0.16,0.5782339622641509,4882.02353328145,1,1,1,2
COD,CD,1498.0,24760.0,13936.0,ado mbangi,11327.0,21.04194444,2.784722222,3,,,2015.0,,,50,1,,,50,29,,,50,19,,,1,3387,0.02,0.58,0.38,0.7026490566037735,17928.484113703056,2,2,2,3
COD,CD,1506.0,24779.0,14219.0,adobea,50726.0,30.54483,3.0539701,3,,,2013.0,,,30,0,,,30,1,,,30,0,,,1,4197,0.0,0.0333333333333333,0.0,0.0314465408805031,2739.7134777753754,3,3,3,4
COD,CD,1506.0,24780.0,14225.0,afilondo,50772.0,25.311934,1.5656,3,,,2013.0,,,50,26,,,50,13,,,50,3,,,1,4235,0.52,0.26,0.06,0.6284075471698113,1731.0069147170313,4,4,4,5
COD,CD,1506.0,24779.0,14220.0,agamba,50730.0,30.828671,2.86128,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4201,0.0,0.0,0.0,0.0,968.3458786704678,5,5,5,6
COD,CD,1506.0,24779.0,14286.0,agoyi,52022.0,27.96586,2.1063001,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4481,0.0,0.0,0.0,0.0,6078.066471399566,6,6,6,7
COD,CD,1506.0,24779.0,14221.0,ahologo,50735.0,30.50576,2.5537,3,,,2013.0,,,50,1,,,50,1,,,50,0,,,1,4206,0.02,0.02,0.0,0.0373584905660377,5259.218024810496,7,7,7,8
COD,CD,1506.0,24779.0,14258.0,akonzkanyi,51550.0,31.011101,2.2184701,3,,,2013.0,,,50,0,,,50,1,,,50,0,,,1,4372,0.0,0.02,0.0,0.0188679245283018,1703.476699643848,8,8,8,9
COD,CD,1506.0,24777.0,14276.0,akpudu,51875.0,26.98814,3.0595801,3,,,2013.0,,,50,9,,,50,1,,,50,12,,,1,4447,0.18,0.02,0.24,0.3672301886792452,13255.651141312956,9,9,9,10
