"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"ETH","ET",1950.0,"",22487.0,"aba roba","",37.265,5.251,4,"","",1993.0,0.0,99.0,128.0,0,128.0,0,128.0,1,3,28778,0.0,0.0,0.0078125,0.0073702830188679,18649.450898551248,0,0,0,1
"ETH","ET",1949.0,3143.0,18889.0,"abadir",52341.0,42.39694,9.3010169,1,"","",2009.0,"","",91.0,9,91.0,4,91.0,0,1,5166,0.0989010989010989,0.0439560439560439,0.0,0.1306696620816463,11627.56087976768,1,1,1,2
"ETH","ET",1948.0,"",16645.0,"abaya","",38.666,9.402,4,"","",1999.0,5.0,18.0,0.0,0,161.0,137,161.0,155,3,30100,"",0.8509316770186336,0.9627329192546584,"",9521.031863785749,2,2,2,3
"ETH","ET",1948.0,3189.0,18966.0,"abaye deneba village",52466.0,40.489674,9.1450005,3,"","",2008.0,"","",0.0,0,491.0,41,491.0,46,1,5214,"",0.0835030549898167,0.0936863543788187,"",0.0,3,3,80,4
"ETH","ET",1948.0,3135.0,18845.0,"abdi boru",52290.0,38.267101,5.39575,3,"","",2009.0,"","",107.0,17,107.0,9,107.0,7,1,5147,0.1588785046728972,0.0841121495327102,0.0654205607476635,0.2641747854549702,26869.185470036904,4,4,4,5
"ETH","ET",1950.0,"",3195.0,"abela wondo","",37.883,6.7,4,"","",1999.0,5.0,18.0,0.0,0,201.0,165,201.0,141,3,29168,"",0.8208955223880597,0.7014925373134329,"",20775.143565125494,5,5,5,6
"ETH","ET",1948.0,3144.0,18747.0,"abine germama",52147.0,38.681099,7.99264,3,"","",2009.0,"","",107.0,1,107.0,1,107.0,4,1,5103,0.0093457943925233,0.0093457943925233,0.0373831775700934,0.0521622044256621,23942.693722019496,6,6,6,7
"ETH","ET",1943.0,3171.0,18602.0,"achera","",38.415001,11.719,3,"","",1995.0,5.0,16.0,63.0,11,63.0,37,63.0,12,3,30116,0.1746031746031746,0.5873015873015873,0.1904761904761904,0.6832489076959192,5855.5862314408705,7,7,7,8
"ETH","ET",1950.0,"",3186.0,"acile","",36.748001,4.818,4,"","",1996.0,1.0,99.0,212.0,103,212.0,77,212.0,24,3,28754,0.4858490566037736,0.3632075471698113,0.1132075471698113,0.6694882574332286,43320.201830995094,8,8,8,9
"ETH","ET",1948.0,3155.0,18756.0,"adare",52166.0,35.750702,8.5789204,3,"","",2009.0,"","",78.0,33,78.0,31,78.0,5,1,5107,0.4230769230769231,0.3974358974358974,0.0641025641025641,0.6364632446188769,35155.074545713906,9,9,9,10
"ETH","ET",1943.0,3171.0,18602.0,"adarkay","",38.063,13.451,3,"","",1995.0,5.0,19.0,114.0,23,114.0,49,114.0,2,3,30114,0.2017543859649122,0.4298245614035088,0.0175438596491228,0.5215517641004604,14819.121909840293,10,10,10,11
"ETH","ET",1943.0,3171.0,18602.0,"addis zemen junior","",37.782002,12.116,3,"","",1995.0,7.0,19.0,115.0,19,115.0,57,115.0,0,3,31533,0.1652173913043478,0.4956521739130435,0.0,0.5462067981595747,8151.015600596901,11,11,11,12
"ETH","ET",1948.0,3155.0,18787.0,"adis alem",52198.0,38.4060986,9.0465617,1,"","",2009.0,"","",101.0,55,101.0,36,101.0,4,1,5121,0.5445544554455446,0.3564356435643564,0.0396039603960396,0.6778299428269293,5088.07254845178,12,12,12,13
"ETH","ET",1948.0,3132.0,18869.0,"aebisa",52317.0,40.648998,7.16571,3,"","",2009.0,"","",98.0,1,98.0,0,98.0,0,1,5160,0.010204081632653,0.0,0.0,0.0096264921062764,0.0,13,13,90,14
"ETH","ET",1948.0,"",3172.0,"akaki","",39.0,9.084,4,"","",1981.0,0.0,99.0,0.0,0,2309.0,940,2309.0,635,3,31544,"",0.4071026418362927,0.2750108271979212,"",9468.4993339075,14,14,14,15
"ETH","ET",1948.0,3689.0,19002.0,"albula geta",52493.0,38.313599,7.3650999,3,"","",2009.0,"","",105.0,10,105.0,12,105.0,5,1,5228,0.0952380952380952,0.1142857142857142,0.0476190476190476,0.2233957374504158,19179.784092130118,15,15,15,16
"ETH","ET",1948.0,3164.0,18867.0,"alchaya jilo",52316.0,34.6469,8.9694595,3,"","",2009.0,"","",99.0,5,99.0,38,99.0,7,1,5156,0.0505050505050505,0.3838383838383838,0.0707070707070707,0.4304946110075736,16468.427130055134,16,16,16,17
"ETH","ET",1948.0,"",3143.0,"alem maya","",41.918,9.457,4,"","",1986.0,5.0,19.0,99.0,4,99.0,19,99.0,14,3,29123,0.0404040404040404,0.1919191919191919,0.1414141414141414,0.3153073978538457,14646.063117920392,17,17,17,18
"ETH","ET",1943.0,3171.0,18602.0,"amed ber","",38.398998,11.384,3,"","",1995.0,7.0,19.0,95.0,31,95.0,14,95.0,17,3,31529,0.3263157894736842,0.1473684210526315,0.1789473684210526,0.4984752164213387,38104.71519082001,18,18,18,19
"ETH","ET",1943.0,3171.0,18602.0,"amora gedel","",37.797001,11.984,3,"","",1995.0,7.0,19.0,85.0,21,85.0,47,85.0,17,3,31541,0.2470588235294117,0.5529411764705883,0.2,0.6893517007246849,13492.407104129363,19,19,19,20
"ETH","ET",1943.0,3178.0,18596.0,"amora gedel",52304.0,39.4801007,12.1509721,1,"","",1995.0,"","",85.0,21,85.0,47,85.0,17,3,5013,0.2470588235294117,0.5529411764705883,0.2,0.6893517007246849,31651.45491640919,20,20,20,21
