iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
GAB,GA,2060.0,20375.0,20375.0,como aviation,11948.0,10.76233,1.00371,3,,,2015.0,,,32,0,32,24,32,28,1,5579,0.0,0.75,0.875,0.9139150943396226,3182.378567440579,0,0,0,1
GAB,GA,2060.0,20375.0,20375.0,e.c. p.medouneu,11949.0,10.789353,0.994383,1,,,2015.0,,,97,0,97,43,97,60,1,5576,0.0,0.4432989690721649,0.6185567010309279,0.7430661530409463,3182.378567440579,1,1,1,2
GAB,GA,2060.0,20376.0,20376.0,e.c.a,11953.0,12.13923,2.15187,3,,,2015.0,,,75,2,74,33,74,45,1,5581,0.0266666666666666,0.4459459459459459,0.6081081081081081,0.7440196443256104,1016.0071918545189,2,2,2,3
GAB,GA,2060.0,20376.0,20376.0,e.c.b ngone,11954.0,12.14867,2.13607,3,,,2015.0,,,45,0,45,23,45,30,1,5582,0.0,0.5111111111111111,0.6666666666666666,0.7896575821104121,2049.9219779374694,3,3,3,4
GAB,GA,2060.0,20376.0,20376.0,e.c.c.ngame,11955.0,12.13128,2.14739,3,,,2015.0,,,68,0,68,18,68,29,1,5584,0.0,0.2647058823529412,0.4264705882352941,0.5455539596526734,1016.0071918545189,4,4,4,5
GAB,GA,2053.0,20337.0,20337.0,e.c.saint michel,12060.0,13.01148,-1.82638,3,,,2015.0,,,46,0,46,13,46,5,1,5381,0.0,0.2826086956521739,0.108695652173913,0.3401754823982593,0.0,5,5,6,6
GAB,GA,2053.0,20337.0,20337.0,e.c.saint michel,11990.0,13.01148,-1.82638,3,,,2015.0,,,49,0,49,13,49,5,1,5386,0.0,0.2653061224489796,0.1020408163265306,0.3210140428909337,0.0,6,6,5,6
GAB,GA,2053.0,20335.0,20335.0,e.p. aboumi,11900.0,14.1378899,-0.6544913,1,,,2015.0,,,77,8,77,32,77,14,1,5367,0.1038961038961039,0.4155844155844156,0.1818181818181818,0.539170348263485,27025.37014617999,7,7,7,7
GAB,GA,2053.0,20345.0,20345.0,e.p. ayogo lesseri,11928.0,14.22667,-0.8990400000000001,3,,,2015.0,,,20,2,20,9,20,2,1,5433,0.1,0.45,0.1,0.5231132075471698,956.2854427755893,8,8,8,8
GAB,GA,2053.0,20337.0,20337.0,e.p. bakumba a,12061.0,13.00254,-1.82203,3,,,2015.0,,,87,2,87,24,87,18,1,5379,0.0229885057471264,0.2758620689655172,0.2068965517241379,0.4140437577410786,0.0,9,9,10,9
GAB,GA,2053.0,20337.0,20337.0,e.p. bakumba a,11991.0,13.00254,-1.82203,3,,,2015.0,,,96,2,96,24,96,18,1,5384,0.0208333333333333,0.25,0.1875,0.3804908608490566,0.0,10,10,9,9
GAB,GA,2053.0,20337.0,20337.0,e.p. bidoungui,12062.0,13.0434,-1.77194,3,,,2015.0,,,34,0,23,7,34,11,1,5380,0.0,0.3043478260869565,0.3235294117647059,0.4994450610432852,0.0,11,11,12,10
GAB,GA,2053.0,20337.0,20337.0,e.p. bidoungui,11992.0,13.0434,-1.77194,3,,,2015.0,,,35,0,35,7,35,11,1,5378,0.0,0.2,0.3142857142857143,0.4258760107816711,0.0,12,12,11,10
GAB,GA,2053.0,20339.0,20339.0,e.p. boumango,12132.0,13.61464,-2.22473,3,,,2015.0,,,99,1,99,32,99,26,1,5392,0.0101010101010101,0.3232323232323232,0.2626262626262626,0.4773679274548457,0.0,13,13,14,11
GAB,GA,2053.0,20339.0,20339.0,e.p. boumango,12124.0,13.61464,-2.22473,3,,,2015.0,,,100,1,100,32,100,26,1,5394,0.01,0.32,0.26,0.4734264150943396,0.0,14,14,13,11
GAB,GA,2053.0,20338.0,20338.0,e.p. kabaga,11923.0,13.91634,-1.36617,3,,,2015.0,,,20,0,20,10,20,1,1,5389,0.0,0.5,0.05,0.4952830188679245,16006.638567337279,15,15,15,12
GAB,GA,2053.0,20336.0,20336.0,e.p. kassiele,12050.0,13.89741,-1.21274,3,,,2015.0,,,46,42,46,36,46,42,1,5371,0.9130434782608696,0.782608695652174,0.9130434782608696,0.941845480583887,9703.700484154379,16,16,16,13
GAB,GA,2053.0,20338.0,20338.0,e.p. kelle,11924.0,13.76829,-1.60292,3,,,2015.0,,,16,0,16,3,16,2,1,5391,0.0,0.1875,0.125,0.2727004716981132,4850.194787351799,17,17,17,14
GAB,GA,2053.0,20340.0,20340.0,e.p. mangoungou,12075.0,13.61026,-1.65243,3,,,2015.0,,,50,0,50,10,50,12,1,5401,0.0,0.2,0.24,0.3698113207547169,2194.1947955744167,18,18,18,15
GAB,GA,2053.0,20342.0,20342.0,e.p. massango 2,11975.0,13.19577,-1.48984,3,,,2015.0,,,8,1,8,7,8,7,1,5408,0.125,0.875,0.875,0.9304982311320754,7454.155214898928,19,19,19,16
GAB,GA,2053.0,20345.0,20345.0,e.p. mbouyi obere,11929.0,14.34993,-0.84984,3,,,2015.0,,,52,4,52,15,52,10,1,5438,0.0769230769230769,0.2884615384615384,0.1923076923076923,0.4429281782190122,0.0,20,20,21,17
GAB,GA,2053.0,20345.0,20345.0,e.p. mbouyi obere,11920.0,14.34993,-0.84984,3,,,2015.0,,,53,4,53,15,53,10,1,5439,0.0754716981132075,0.2830188679245283,0.1886792452830188,0.4360380564885714,0.0,21,21,20,17
GAB,GA,2060.0,20375.0,20375.0,e.p. nkinen'n,11950.0,10.68559,0.96235,3,,,2015.0,,,24,0,24,13,24,22,1,5578,0.0,0.5416666666666666,0.9166666666666666,0.9073637316561844,5227.159289476323,22,22,22,18
GAB,GA,2053.0,20336.0,20336.0,e.p. obegue,12051.0,13.933333,-1.133333,1,,,2015.0,,,59,0,59,30,59,10,1,5372,0.0,0.5084745762711864,0.1694915254237288,0.5582867642674789,0.0,23,23,24,19
GAB,GA,2053.0,20336.0,20336.0,e.p. obegue,11981.0,13.933333,-1.133333,1,,,2015.0,,,64,0,64,30,64,10,1,5375,0.0,0.46875,0.15625,0.5205262382075471,0.0,24,24,23,19
GAB,GA,2053.0,20336.0,20336.0,e.p. obouo,12052.0,13.8714,-1.9495,3,,,2015.0,,,38,5,38,8,38,4,1,5368,0.131578947368421,0.2105263157894736,0.1052631578947368,0.3646909307974372,0.0,25,25,26,20
GAB,GA,2053.0,20336.0,20336.0,e.p. obouo,11982.0,13.8714,-1.9495,3,,,2015.0,,,44,5,44,8,44,4,1,5370,0.1136363636363636,0.1818181818181818,0.0909090909090909,0.3214351530272316,0.0,26,26,25,20
GAB,GA,2053.0,20343.0,20343.0,e.p. omoi,11985.0,13.77499,-1.3398,3,,,2015.0,,,36,1,36,11,36,6,1,5414,0.0277777777777777,0.3055555555555556,0.1666666666666666,0.4126145275254289,11490.335477526814,27,27,27,21
GAB,GA,2053.0,20345.0,20345.0,e.p. onga,11930.0,14.2701195,-0.8580762,1,,,2015.0,,,124,2,124,62,124,22,1,5437,0.0161290322580645,0.5,0.1774193548387097,0.5616447097166866,0.0,28,28,29,22
GAB,GA,2053.0,20345.0,20345.0,e.p. onga,11921.0,14.2701195,-0.8580762,1,,,2015.0,,,126,2,126,62,126,22,1,5435,0.0158730158730158,0.492063492063492,0.1746031746031746,0.5541561959936437,0.0,29,29,28,22
GAB,GA,2053.0,20345.0,20345.0,e.p. ossiele oguigana,11931.0,14.2192475,-0.9033641,1,,,2015.0,,,15,0,15,12,15,0,1,5434,0.0,0.8,0.0,0.7547169811320754,0.0,30,30,31,23
GAB,GA,2053.0,20345.0,20345.0,e.p. ossiele oguigana,11922.0,14.2192475,-0.9033641,1,,,2015.0,,,17,0,17,12,17,0,1,5436,0.0,0.7058823529411765,0.0,0.6659267480577137,0.0,31,31,30,23
GAB,GA,2053.0,20336.0,20336.0,e.p. otala,12053.0,13.82051,-1.02092,3,,,2015.0,,,36,2,36,21,36,5,1,5369,0.0555555555555555,0.5833333333333334,0.1388888888888889,0.6237139917695474,0.0,32,32,33,24
GAB,GA,2053.0,20336.0,20336.0,e.p. otala,11983.0,13.82051,-1.02092,3,,,2015.0,,,38,2,38,21,38,5,1,5376,0.0526315789473684,0.5526315789473685,0.131578947368421,0.5961730490445002,0.0,33,33,32,24
GAB,GA,2053.0,20343.0,20343.0,e.p. reunification,11986.0,13.77483,-1.55986,3,,,2015.0,,,36,0,36,4,36,1,1,5415,0.0,0.1111111111111111,0.0277777777777777,0.1281155369205683,4850.194787351799,34,34,34,25
GAB,GA,2053.0,20343.0,20343.0,e.p.assiami,11987.0,13.7129887,-1.4222993,1,,,2015.0,,,26,2,26,10,26,0,1,5413,0.0769230769230769,0.3846153846153846,0.0,0.4075025120017863,10955.995846039252,35,35,35,26
GAB,GA,2053.0,20344.0,20344.0,e.p.ayanabo,12154.0,13.8332,-0.7755000000000001,3,,,2015.0,,,28,3,28,7,28,5,1,5428,0.1071428571428571,0.25,0.1785714285714285,0.4244681363111282,19434.72216390422,36,36,36,27
