"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"RWA","RW",3913,38118,38118,"",30.07377,-1.920906,3,"","mapping",2014.0,8.0,18.0,50,0,50,0,50,0,1,22619,0.0,0.0,0.0,0.0,1453.2313988866015,0,0,0,1
"RWA","RW",3913,38120,38120,56568.0,30.0714885,-1.95716,1,"","",2008.0,"","",50,0,50,0,50,4,1,13252,0.0,0.0,0.08,0.0754716981132075,0.0,1,1,2,2
"RWA","RW",3913,38120,38120,16119.0,30.0714885,-1.95716,1,"","",2007.0,"","",0,0,50,0,0,0,1,13255,"",0.0,"","",0.0,2,2,1,2
"RWA","RW",3916,38139,38139,"",29.2559,-1.69784,3,"","mapping",2014.0,8.0,18.0,45,0,45,4,45,12,1,22742,0.0,0.0888888888888888,0.2666666666666666,0.3130677847658979,2698.4631536700467,3,3,3,3
"RWA","RW",3916,38137,38137,56549.0,29.4209845,-1.6284478,1,"","",2008.0,"","",57,2,57,52,57,50,1,13374,0.0350877192982456,0.912280701754386,0.8771929824561403,0.9335900364627252,0.0,4,4,5,4
"RWA","RW",3916,38137,38137,16103.0,29.4209845,-1.6284478,1,"","",2008.0,"","",0,0,57,0,0,0,1,13379,"",0.0,"","",0.0,5,5,4,4
"RWA","RW",3916,38134,38134,56517.0,29.2569444,-2.4344444,1,"","",2008.0,"","",55,1,55,13,55,8,1,13363,0.0181818181818181,0.2363636363636363,0.1454545454545454,0.338964886664871,0.0,6,6,7,5
"RWA","RW",3916,38134,38134,16064.0,29.2569444,-2.4344444,1,"","",2007.0,"","",0,0,55,0,0,0,1,13354,"",0.0,"","",0.0,7,7,6,5
"RWA","RW",3916,38138,38138,56558.0,28.98636,-2.49244,3,"","",2008.0,"","",62,17,62,30,62,36,1,13391,0.2741935483870967,0.4838709677419355,0.5806451612903226,0.7951939391597941,0.0,8,8,9,6
"RWA","RW",3916,38138,38138,16115.0,28.98636,-2.49244,3,"","",2008.0,"","",0,0,62,0,0,0,1,13387,"",0.0,"","",0.0,9,9,8,6
"RWA","RW",3914,38121,38121,"",29.71921,-1.461381,3,"","mapping",2014.0,8.0,18.0,50,0,50,34,50,27,1,22601,0.0,0.68,0.54,0.8045283018867926,3105.3474884279703,10,10,10,7
"RWA","RW",3914,38121,38121,"",29.72916,-1.420057,3,"","mapping",2014.0,8.0,18.0,47,0,47,33,47,26,1,22602,0.0,0.7021276595744681,0.5531914893617021,0.8178378332208716,1885.8068841696524,11,11,11,8
"RWA","RW",3915,38133,38133,56580.0,29.79088,-1.5963889,1,"","",2008.0,"","",60,23,60,25,60,3,1,13348,0.3833333333333333,0.4166666666666667,0.05,0.6210036687631028,0.0,12,12,13,9
"RWA","RW",3915,38133,38133,16135.0,29.79088,-1.5963889,1,"","",2008.0,"","",0,0,60,0,0,0,1,13353,"",0.0,"","",0.0,13,13,12,9
"RWA","RW",3914,38121,38121,"",29.90763,-1.485418,3,"","mapping",2014.0,8.0,18.0,50,0,50,28,50,18,1,22603,0.0,0.56,0.36,0.6777358490566038,0.0,14,14,15,10
"RWA","RW",3914,38121,38121,16029.0,29.90763,-1.485418,3,"","",2007.0,"","",0,0,65,0,0,0,1,13263,"",0.0,"","",0.0,15,15,14,10
"RWA","RW",3914,38121,38121,"",29.87126,-1.45089,3,"","mapping",2014.0,8.0,18.0,50,4,50,37,50,24,1,22604,0.08,0.74,0.48,0.8260528301886794,2382.555687219208,16,16,16,11
"RWA","RW",3916,38137,38137,"",29.46319,-1.623503,3,"","mapping",2014.0,8.0,18.0,50,0,50,46,50,34,1,22702,0.0,0.92,0.68,0.919245283018868,653.2627856282276,17,17,17,12
"RWA","RW",3914,38123,38123,56501.0,30.208334,-1.801111,3,"","",2008.0,"","",60,21,60,21,60,4,1,13275,0.35,0.35,0.0666666666666666,0.5713836477987421,0.0,18,18,19,13
"RWA","RW",3914,38123,38123,16048.0,30.208334,-1.801111,3,"","",2008.0,"","",0,0,60,0,0,0,1,13274,"",0.0,"","",0.0,19,19,18,13
