iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
SLE,SL,4360.0,42258.0,42258.0,alikalia,,-11.3913379,9.1505664,1,,mapping,2008.0,5.0,14.0,90,82,,,90,6,,,90,1,,,1,22809,0.9111111111111112,0.0666666666666666,0.0111111111111111,0.8659989129590807,1075.0458847351902,0,0,0,1
SLE,SL,4360.0,42258.0,42258.0,alusainya kamayimbo,,-11.70214,9.4542,3,,mapping,2008.0,5.0,14.0,111,64,,,111,0,,,111,0,,,1,22808,0.5765765765765766,0.0,0.0,0.543940166581676,54.89538099502442,1,1,1,2
SLE,SL,4361.0,42264.0,42264.0,bandajuma,,-12.394611,7.716422,1,,mapping,2008.0,5.0,14.0,104,6,,,104,6,,,104,4,,,1,22823,0.0576923076923076,0.0576923076923076,0.0384615384615384,0.1379319784268427,10346.816464108937,2,2,2,3
SLE,SL,4361.0,42262.0,42262.0,baoma kpenge,,-12.2299066,7.4476715,3,,mapping,2008.0,5.0,14.0,136,69,,,136,7,,,136,16,,,1,22791,0.5073529411764706,0.0514705882352941,0.1176470588235294,0.5544199015703428,186.99538163308858,3,3,3,4
SLE,SL,4360.0,42258.0,42258.0,dogolia,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,80,36,,,80,2,,,80,2,,,1,22806,0.45,0.025,0.025,0.4501474056603772,0.0,4,4,5,5
SLE,SL,4359.0,42253.0,42253.0,fdlu,,-11.5,8.5,3,,mapping,2008.0,5.0,14.0,115,36,,,115,0,,,115,0,,,1,22796,0.3130434782608696,0.0,0.0,0.2953240360951599,0.0,5,5,4,5
SLE,SL,4362.0,42265.0,42265.0,fullah town,,-13.1313101,8.3725004,3,,mapping,2008.0,5.0,14.0,102,20,,,102,9,,,102,2,,,1,22833,0.196078431372549,0.088235294117647,0.0196078431372549,0.2654575355419093,8915.945684372362,6,6,6,6
SLE,SL,4360.0,42257.0,42257.0,gbinleh,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,104,18,,,104,9,,,104,0,,,1,22798,0.173076923076923,0.0865384615384615,0.0,0.23079016411745,0.0,7,7,4,5
SLE,SL,4361.0,42261.0,42261.0,golu,,-11.544567,7.905127999999999,1,,mapping,2008.0,5.0,14.0,101,23,,,101,4,,,101,2,,,1,22785,0.2277227722772277,0.0396039603960396,0.0198019801980198,0.2575424331482686,14605.185958604841,8,8,8,7
SLE,SL,4359.0,42254.0,42254.0,jenneh,,-12.2517,7.431283,4,,mapping,2008.0,5.0,14.0,117,47,,,117,0,,,117,2,,,1,22804,0.4017094017094017,0.0,0.017094017094017,0.3886194258714819,0.0,9,9,10,8
