iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
SEN,SN,4127.0,40196.0,40196.0,agnam goly,,-13.6912718,16.0062771,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,1,,,1,29566,0.0,0.0,0.02,0.0188679245283018,5858.525348175379,0,0,0,1
SEN,SN,4119.0,40154.0,40154.0,ainoumadi,56637.0,-17.4676861,14.716677,2,,,2013.0,,,50,0,,,50,2,,,50,0,,,1,13424,0.0,0.04,0.0,0.0377358490566037,0.0,1,1,12,2
SEN,SN,4121.0,40170.0,40170.0,badoudou,,-16.40231,13.8533368,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29596,0.0,0.0,0.0,0.0,13379.156089546637,2,2,2,3
SEN,SN,4130.0,40205.0,40205.0,balou,16232.0,-12.2404869,14.7428345,1,,,2008.0,,,0,0,,,0,0,,,0,0,,,1,13509,,,,,73883.52753627242,3,3,3,4
SEN,SN,4129.0,40183.0,40183.0,bamacounda,,-15.619542,12.619389,3,,,2013.0,5.0,20.0,50,9,,,50,0,,,50,0,,,1,29625,0.18,0.0,0.0,0.1698113207547169,10424.38238244308,4,4,4,5
SEN,SN,4129.0,40183.0,40183.0,bambato,,-14.58898,12.517582,1,,,2013.0,5.0,20.0,51,37,,,51,2,,,51,1,,,1,29622,0.7254901960784313,0.0392156862745098,0.0196078431372549,0.6994591994342366,79888.4235856436,5,5,5,6
SEN,SN,4121.0,40170.0,40170.0,bany,,-16.475487,13.76075,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29597,0.0,0.0,0.0,0.0,10656.823224743841,6,6,6,7
SEN,SN,4129.0,40202.0,40202.0,barandama,,-15.783462,13.007633,1,,,2013.0,5.0,20.0,50,8,,,50,2,,,50,0,,,1,29546,0.16,0.04,0.0,0.1826415094339622,9226.267625213433,7,7,7,8
SEN,SN,4129.0,40183.0,40183.0,bindaba,,-15.8875,12.567903,3,,,2013.0,5.0,20.0,50,26,,,50,0,,,50,0,,,1,29623,0.52,0.0,0.0,0.490566037735849,1583.6870637031102,8,8,8,9
SEN,SN,4122.0,40174.0,40174.0,bouleyda,,-15.5415755,14.105202,1,,,2013.0,5.0,20.0,50,0,,,50,1,,,50,1,,,1,29599,0.0,0.02,0.02,0.0373584905660377,20493.89014013299,9,9,9,10
SEN,SN,4119.0,40157.0,40157.0,cite touba fass mbao,,-17.343639,14.750597,3,,,2013.0,5.0,20.0,50,0,,,50,6,,,50,3,,,1,29588,0.0,0.12,0.06,0.1630188679245282,2612.840930123612,10,10,10,11
