iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
STP,ST,4018.0,39145.0,39145.0,basica de angolares,109222.0,6.6491132,0.1333856,1,,,2014.0,8.0,0.0,51,7,,,51,2,,,51,45,,,1,1528,0.1372549019607843,0.0392156862745098,0.8823529411764706,0.8513971190965995,10650.158691408864,0,0,0,1
STP,ST,4018.0,39144.0,39144.0,basica de anselmo andrade,109211.0,6.6897102,0.2335655999999999,1,,,2014.0,8.0,0.0,25,0,,,24,1,,,25,16,,,1,1522,0.0,0.0416666666666666,0.64,0.6179245283018867,1464.7593918189773,1,1,1,2
STP,ST,4018.0,39143.0,39143.0,basica de boa morte,109205.0,6.7174652,0.3400317,1,,,2014.0,6.0,0.0,50,4,,,50,34,,,50,28,,,1,1517,0.08,0.68,0.56,0.8211924528301888,870.5902286495041,2,2,2,3
STP,ST,4018.0,39144.0,39144.0,basica de claudino farro,109213.0,6.666819,0.2343046,1,,,2014.0,8.0,0.0,25,4,,,25,2,,,25,18,,,1,1523,0.16,0.08,0.72,0.7392603773584905,2549.5642922339266,3,3,3,4
STP,ST,4018.0,39146.0,39146.0,basica de diogo vaz,109234.0,6.5,0.31667,3,,,2014.0,10.0,0.0,50,1,,,50,4,,,50,29,,,1,1540,0.02,0.08,0.58,0.5861584905660375,5599.066104825975,4,4,4,5
STP,ST,4018.0,39148.0,39148.0,basica de madalena,109261.0,6.66667,0.33333,1,,,2014.0,12.0,0.0,50,0,,,50,13,,,50,29,,,1,1561,0.0,0.26,0.58,0.650188679245283,1855.7289123743394,5,5,5,6
STP,ST,4018.0,39146.0,39146.0,basica de neves,109236.0,6.5489836,0.3560222999999999,1,,,2014.0,10.0,0.0,50,0,,,50,8,,,50,31,,,1,1542,0.0,0.16,0.62,0.6422641509433962,1850.0260975324984,6,6,6,7
STP,ST,4018.0,39146.0,39146.0,basica de ponta figo,109237.0,6.544557,0.3400038999999999,1,,,2014.0,10.0,0.0,50,1,,,50,4,,,50,24,,,1,1543,0.02,0.08,0.48,0.5011018867924527,1850.0260975324984,7,7,7,8
STP,ST,4018.0,39143.0,39143.0,basica de praia gamboa,109207.0,6.7188766,0.3323395999999999,1,,,2014.0,9.0,0.0,50,1,,,50,39,,,50,16,,,1,1519,0.02,0.78,0.32,0.8050867924528301,0.0,8,8,12,9
STP,ST,4018.0,39144.0,39144.0,basica de riboque santana,109215.0,6.7374529,0.2472452,1,,,2014.0,12.0,0.0,51,0,,,51,3,,,51,25,,,1,1524,0.0,0.0588235294117647,0.4901960784313725,0.4907401362320731,4845.315658471933,9,9,9,10
STP,ST,4018.0,39143.0,39143.0,basica de s. marcal,109208.0,6.7348843,0.3187309,1,,,2014.0,9.0,0.0,50,1,,,50,33,,,50,18,,,1,1520,0.02,0.66,0.36,0.7422188679245282,2338.8994712030103,10,10,10,11
STP,ST,4018.0,39147.0,39147.0,escola basica de boa entrada,109247.0,6.66667,0.35,3,,,2014.0,9.0,0.0,51,2,,,51,23,,,51,23,,,1,1552,0.0392156862745098,0.4509803921568627,0.4509803921568627,0.6701867561965337,1855.7289123743394,11,11,11,12
STP,ST,4018.0,39147.0,39147.0,escola basica de conde,109249.0,6.7188766,0.3323395999999999,1,,,2014.0,9.0,0.0,50,0,,,50,4,,,50,15,,,1,1553,0.0,0.08,0.3,0.3358490566037735,0.0,12,12,8,9
STP,ST,4018.0,39147.0,39147.0,escola basica de magodinho,109251.0,6.7188766,0.3323395999999999,1,,,2014.0,12.0,0.0,44,0,,,44,10,,,44,19,,,1,1554,0.0,0.2272727272727272,0.4318181818181818,0.5291985030406985,0.0,13,13,8,9
STP,ST,4018.0,39144.0,39144.0,escola basica de uba budo,109217.0,6.693943825,0.246023963,3,,,2014.0,9.0,0.0,50,0,,,50,8,,,50,37,,,1,1525,0.0,0.16,0.74,0.7373584905660377,1464.7593918189773,14,14,14,13
STP,ST,4017.0,39142.0,39142.0,escola de abade,109273.0,7.45,1.63333,3,,,2014.0,5.0,0.0,18,0,,,18,15,,,18,14,,,1,1572,0.0,0.8333333333333334,0.7777777777777778,0.9084556254367576,3127.1072399449185,15,15,15,14
STP,ST,4017.0,39142.0,39142.0,escola de nova estrela,109275.0,7.4057024,1.6139012,1,,,2014.0,10.0,0.0,50,0,,,50,43,,,50,37,,,1,1573,0.0,0.86,0.74,0.9090566037735848,2930.7943729468166,16,16,16,15
STP,ST,4018.0,39145.0,39145.0,escola de porto alegre,109226.0,6.5143087,0.2416603,1,,,2014.0,9.0,0.0,50,2,,,50,0,,,50,43,,,1,1532,0.04,0.0,0.86,0.8166037735849057,8500.705288617733,17,17,17,16
STP,ST,4017.0,39142.0,39142.0,escola de praia nhame,109279.0,6.706043838,0.320491075,4,,,2014.0,12.0,0.0,30,0,,,30,23,,,30,21,,,1,1575,0.0,0.7666666666666667,0.7,0.8773584905660378,1944.3404077545556,18,18,18,17
STP,ST,4018.0,39146.0,39146.0,escola de ribeira funda,109238.0,6.58333,0.36667,3,,,2014.0,10.0,0.0,24,0,,,24,0,,,24,11,,,1,1544,0.0,0.0,0.4583333333333333,0.4323899371069182,4002.9430442961025,19,19,19,18
STP,ST,4017.0,39142.0,39142.0,escola januario graca,109285.0,6.638628,0.3008329999999999,1,,,2014.0,12.0,0.0,30,4,,,30,26,,,30,27,,,1,1578,0.1333333333333333,0.8666666666666667,0.9,0.932494758909853,4778.240696953124,20,20,20,19
STP,ST,4017.0,39142.0,39142.0,escola paula lavres,109287.0,7.4227952,1.6403285,3,,,2014.0,8.0,0.0,50,1,,,50,32,,,50,28,,,1,1579,0.02,0.64,0.56,0.7969509433962265,649.8294742695466,21,21,21,20
STP,ST,4017.0,39142.0,39142.0,escola secundaria santo antonio,109289.0,7.41783,1.63726,1,,,2014.0,10.0,0.0,50,2,,,50,37,,,50,34,,,1,1580,0.04,0.74,0.68,0.8680452830188677,649.8294742695466,22,22,22,21
STP,ST,4018.0,39147.0,39147.0,integrada de mourro peixe,109255.0,6.6387592,0.405364,1,,,2014.0,10.0,0.0,50,0,,,50,0,,,50,16,,,1,1556,0.0,0.0,0.32,0.3018867924528302,2767.3611930306665,23,23,23,22
