iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
BWA,BW,482.0,4299.0,4299.0,artesia primary,10063,26.3113112,-24.0325508,3,,,2015,,,49,0,,,49,0,,,49,0,,,1,2455,POINT (2928961.764887356 -2757375.067983949),47922.99542203728,0,0,254,True
BWA,BW,481.0,4298.0,4298.0,bokspits primary school,10058,20.6831788,-26.8668794,3,,,2015,,,46,0,,,46,0,,,46,0,,,1,2449,POINT (2302440.932002231 -3106849.911092702),136795.6187382484,1,1,255,True
BWA,BW,486.0,4308.0,4308.0,bothakga primary,10075,25.69039667,-25.20587333,3,,,2015,,,46,1,,,46,0,,,46,0,,,1,2497,POINT (2859841.87558161 -2901052.786815837),1450.1092632796974,2,2,256,True
BWA,BW,479.0,4293.0,4293.0,botshabelo,10114,27.87153167,-21.978385,3,,,2015,,,48,0,,,48,3,,,48,0,,,1,18742,POINT (3102644.713132998 -2508930.293742095),1246.1954700683789,3,3,257,True
BWA,BW,486.0,4307.0,4307.0,camp primary school,10023,25.94184667,-24.666965,3,,,2015,,,54,0,,,54,2,,,54,0,,,1,2494,POINT (2887833.16154158 -2834893.885404499),3610.1342249911954,4,4,258,True
BWA,BW,485.0,4305.0,4305.0,chanoga primary school,10098,23.6407748,-20.1446924,3,,,2015,,,44,2,,,44,7,,,44,0,,,1,18812,POINT (2631679.012694454 -2290179.628668806),30650.942730894418,5,5,259,True
BWA,BW,486.0,4308.0,4308.0,digawana,10076,25.5319754,-25.3688181,4,,,2015,,,48,1,,,48,1,,,48,1,,,1,2495,POINT (2842206.500474387 -2921114.057343826),16465.25182657348,6,6,260,True
BWA,BW,479.0,4295.0,4295.0,dukwi,10133,26.4981503,-20.5808072,3,,,2015,,,51,0,,,51,3,,,51,3,,,1,2428,POINT (2949760.598359629 -2341963.939457928),31088.67157042104,7,7,261,True
BWA,BW,485.0,4306.0,4306.0,etsha 13 primary school,10108,22.3193484,-19.0158991,3,,,2015,,,52,6,,,52,7,,,52,0,,,1,2490,POINT (2484578.498725665 -2156807.865932886),25338.005627280745,8,8,262,True
BWA,BW,480.0,4296.0,4296.0,gantsi,10027,21.64376333,-21.703485,3,,,2015,,,22,1,,,22,0,,,22,0,,,1,18767,POINT (2409372.712745727 -2475962.07712065),50045.275327725845,9,9,263,True
