iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
ERI,ER,1835.0,17432.0,17432,357,11674.0,38.78472,15.775831,1,,,2014,,,43,0,,,43,0,,,43,0,,,1,4576,POINT (4317495.280959693 1778777.225028195),6421.978566551581,0,0,0
ERI,ER,1836.0,17449.0,17449,abahani junior,11824.0,39.26519601,15.07923476,3,,,2014,,,52,0,,,52,0,,,52,0,,,1,4699,POINT (4370981.625731277 1698333.356986144),32.05306935603143,1,1,1
ERI,ER,1835.0,17435.0,17435,abdella degol elemetary,11723.0,38.2823293,16.01405005,3,,,2014,,,56,5,,,56,0,,,56,0,,,1,4598,POINT (4261569.404056417 1806349.897999713),161.72593971434983,2,2,2
ERI,ER,1838.0,17459.0,17459,abdu mohammed faid elemetary,11669.0,36.97071805,15.71717374,3,,,2015,,,51,0,,,51,0,,,51,0,,,1,4767,POINT (4115561.507587689 1771992.92588036),7864.7555762758375,3,3,3
ERI,ER,1840.0,17481.0,17481,abdur ele,11685.0,39.85476301,15.15576141,3,,,2015,,,28,0,,,28,0,,,28,0,,,1,4906,POINT (4436611.923959795 1707157.647393031),15168.704481766028,4,4,4
ERI,ER,1838.0,17468.0,17468,abnet elementary&junior,11844.0,37.75255917,15.0389591,3,,,2015,,,56,0,,,56,0,,,56,0,,,1,4825,POINT (4202595.662947331 1693690.445717805),8715.577640417341,5,5,5
ERI,ER,1837.0,17454.0,17454,abo elemetary,11633.0,42.79677,12.83069,3,,,2015,,,47,0,,,47,0,,,47,0,,,1,4729,POINT (4764114.643996847 1440395.569194444),21880.807296055133,6,6,6
ERI,ER,1838.0,17460.0,17460,adal elemetary,11700.0,37.35502457,15.41820174,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,4775,POINT (4158342.313702623 1737444.012525467),0.0,7,7,269
ERI,ER,1840.0,17480.0,17480,adalet ele &junior,11664.0,39.6607801,15.25569899,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,4899,POINT (4415017.845195998 1718686.263282357),4369.491847615929,8,8,8
ERI,ER,1836.0,17442.0,17442,ade beza elemetary,11586.0,38.63605821,15.00724704,3,,,2014,,,56,0,,,56,0,,,56,0,,,1,4641,POINT (4300946.326196477 1690035.349158991),3153.734155674612,9,9,9
ERI,ER,1838.0,17456.0,17456,aderde elementary&junior,11571.0,38.0261698,15.5415243,3,,,2015,,,56,0,,,56,0,,,56,0,,,1,4744,POINT (4233053.858954557 1751688.965574403),8810.193094437285,10,10,10
ERI,ER,1836.0,17447.0,17447,adi bhailay elementary&junior,11780.0,38.50272139,14.57919393,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4681,POINT (4286103.339290082 1640750.969241631),2677.584570003794,11,11,11
ERI,ER,1836.0,17447.0,17447,adi nala elementary&junior,11781.0,38.604856,14.61837723,3,,,2014,,,51,0,,,51,0,,,51,0,,,1,4682,POINT (4297472.912067652 1645258.357568858),0.0,12,12,17
