iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
ETH,ET,1949.0,3143.0,18889.0,abadir,52341.0,42.39694,9.3010169,1,,,2009.0,,,91.0,9,,,91.0,4,,,91.0,0,,,1,5166,POINT (4719605.771992972 1039962.084745202),11627.56087976768,0,0,462,True
ETH,ET,1948.0,3135.0,18845.0,abdi boru,52290.0,38.267101,5.39575,3,,,2009.0,,,107.0,17,,,107.0,9,,,107.0,7,,,1,5147,POINT (4259874.197454769 601541.9466933268),26869.185470036904,1,1,463,True
ETH,ET,1948.0,3144.0,18747.0,abine germama,52147.0,38.681099,7.99264,3,,,2009.0,,,107.0,1,,,107.0,1,,,107.0,4,,,1,5103,POINT (4305960.244004204 892636.3951836674),23942.693722019496,2,2,464,True
ETH,ET,1943.0,3171.0,18602.0,achera,,38.415001,11.719,3,,,1995.0,5.0,16.0,63.0,11,,,63.0,37,,,63.0,12,,,3,30116,POINT (4276338.350143095 1313745.329407854),5855.5862314408705,3,3,465,True
ETH,ET,1948.0,3155.0,18756.0,adare,52166.0,35.750702,8.5789204,3,,,2009.0,,,78.0,33,,,78.0,31,,,78.0,5,,,1,5107,POINT (3979749.942142067 958589.5742181889),35155.074545713906,4,4,466,True
ETH,ET,1943.0,3171.0,18602.0,adarkay,,38.063,13.451,3,,,1995.0,5.0,19.0,114.0,23,,,114.0,49,,,114.0,2,,,3,30114,POINT (4237153.778064372 1511305.37032762),22757.608560904973,5,5,467,True
ETH,ET,1943.0,3171.0,18602.0,addis zemen junior,,37.782002,12.116,3,,,1995.0,7.0,19.0,115.0,19,,,115.0,57,,,115.0,0,,,3,31533,POINT (4205873.223790444 1358912.805207332),8151.015600596901,6,6,468,True
ETH,ET,1948.0,3155.0,18787.0,adis alem,52198.0,38.4060986,9.0465617,1,,,2009.0,,,101.0,55,,,101.0,36,,,101.0,4,,,1,5121,POINT (4275347.339508257 1011269.235373967),36275.49843061389,7,7,469,True
ETH,ET,1948.0,3132.0,18869.0,aebisa,52317.0,40.648998,7.16571,3,,,2009.0,,,98.0,1,,,98.0,0,,,98.0,0,,,1,5160,POINT (4525025.758616796 799770.8255677245),0.0,8,8,56,False
ETH,ET,1948.0,3689.0,19002.0,albula geta,52493.0,38.313599,7.3650999,3,,,2009.0,,,105.0,10,,,105.0,12,,,105.0,5,,,1,5228,POINT (4265050.331137676 822146.473727109),19179.784092130118,9,9,471,True
ETH,ET,1948.0,3164.0,18867.0,alchaya jilo,52316.0,34.6469,8.9694595,3,,,2009.0,,,99.0,5,,,99.0,38,,,99.0,7,,,1,5156,POINT (3856875.26556547 1002579.076627027),16468.427130055134,10,10,472,True
ETH,ET,1943.0,3171.0,18602.0,amed ber,,38.398998,11.384,3,,,1995.0,7.0,19.0,95.0,31,,,95.0,14,,,95.0,17,,,3,31529,POINT (4274556.90433193 1275682.279469687),38104.71519082001,11,11,473,True
ETH,ET,1943.0,3171.0,18602.0,amora gedel,,37.797001,11.984,3,,,1995.0,7.0,19.0,85.0,21,,,85.0,47,,,85.0,17,,,3,31541,POINT (4207542.904832852 1343887.559473961),13492.407104129363,12,12,474,True
ETH,ET,1943.0,3178.0,18596.0,amora gedel,52304.0,39.4801007,12.1509721,1,,,1995.0,,,85.0,21,,,85.0,47,,,85.0,17,,,3,5013,POINT (4394904.706391164 1362894.838020766),31689.159801641108,13,13,475,True
ETH,ET,1948.0,3155.0,18815.0,anayifa,52233.0,35.396301,8.6219397,3,,,2009.0,,,103.0,67,,,103.0,22,,,103.0,4,,,1,5130,POINT (3940298.20328544 963432.9231117384),33617.60231268972,14,14,476,True
ETH,ET,1943.0,3171.0,18602.0,anbesame,,37.633333,11.716667,3,,,1995.0,7.0,19.0,97.0,23,,,97.0,21,,,97.0,7,,,3,31526,POINT (4189323.466413698 1313480.093423739),10633.132931433676,15,15,477,True
