iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
GAB,GA,2060.0,20375.0,20375.0,como aviation,11948.0,10.76233,1.00371,3,,,2015.0,,,32,0,,,32,24,,,32,28,,,1,5579,POINT (1198057.095349172 111738.2013217133),3182.378567440579,0,0,430,True
GAB,GA,2060.0,20375.0,20375.0,e.c. p.medouneu,11949.0,10.789353,0.994383,1,,,2015.0,,,97,0,,,97,43,,,97,60,,,1,5576,POINT (1201065.281948879 110699.7665727523),3182.378567440579,1,1,431,True
GAB,GA,2060.0,20376.0,20376.0,e.c.b ngone,11954.0,12.14867,2.13607,3,,,2015.0,,,45,0,,,45,23,,,45,30,,,1,5582,POINT (1352383.758215519 237841.3272973017),2310.3386642443797,2,2,432,True
GAB,GA,2060.0,20376.0,20376.0,e.c.c.ngame,11955.0,12.13128,2.14739,3,,,2015.0,,,68,0,,,68,18,,,68,29,,,1,5584,POINT (1350447.912270624 239102.3448313334),2310.3386642443797,3,3,433,True
GAB,GA,2053.0,20337.0,20337.0,e.c.saint michel,12060.0,13.01148,-1.82638,3,,,2015.0,,,46,0,,,46,13,,,46,5,,,1,5381,POINT (1448431.328066863 -203346.1312240185),0.0,4,4,5,False
GAB,GA,2053.0,20337.0,20337.0,e.c.saint michel,11990.0,13.01148,-1.82638,3,,,2015.0,,,49,0,,,49,13,,,49,5,,,1,5386,POINT (1448431.328066863 -203346.1312240185),0.0,5,5,4,False
GAB,GA,2053.0,20335.0,20335.0,e.p. aboumi,11900.0,14.1378899,-0.6544913,1,,,2015.0,,,77,8,,,77,32,,,77,14,,,1,5367,POINT (1573822.704559365 -72859.2227747421),27025.37014617999,6,6,436,True
GAB,GA,2053.0,20345.0,20345.0,e.p. ayogo lesseri,11928.0,14.22667,-0.8990400000000001,3,,,2015.0,,,20,2,,,20,9,,,20,2,,,1,5433,POINT (1583705.660083941 -100084.7821330135),956.2854427755893,7,7,437,True
GAB,GA,2053.0,20337.0,20337.0,e.p. bakumba a,12061.0,13.00254,-1.82203,3,,,2015.0,,,87,2,,,87,24,,,87,18,,,1,5379,POINT (1447436.131819171 -202861.6459025083),0.0,8,8,9,False
GAB,GA,2053.0,20337.0,20337.0,e.p. bakumba a,11991.0,13.00254,-1.82203,3,,,2015.0,,,96,2,,,96,24,,,96,18,,,1,5384,POINT (1447436.131819171 -202861.6459025083),0.0,9,9,8,False
GAB,GA,2053.0,20337.0,20337.0,e.p. bidoungui,11992.0,13.0434,-1.77194,3,,,2015.0,,,35,0,,,35,7,,,35,11,,,1,5378,POINT (1451984.646212985 -197282.9088740969),6671.649801998702,10,10,440,True
