iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
GHA,GH,2164.0,21469.0,21469.0,abomosu,,-0.7277281999999999,6.302051,1,,,2008,9.0,16.0,60,1,,,60,0,,,60,0,,,1,30217,POINT (-81010.33265990554 702959.9586903887),47941.237890914854,0,0,0
GHA,GH,2161.0,21404.0,21404.0,abonkosu a,,-1.3975101,7.01086,3,,,2008,7.0,16.0,60,2,,,60,12,,,60,0,,,1,30236,POINT (-155570.1127104568 782400.2368899006),9866.81085750455,1,1,1
GHA,GH,2163.0,21457.0,21457.0,adventist,,-2.15405,6.20005,3,,,2008,6.0,20.0,58,0,,,58,0,,,58,0,,,1,30250,POINT (-239787.7491432509 691537.3428072375),35819.847210102875,2,2,2
GHA,GH,2169.0,21569.0,21569.0,agbogbome,,1.06744,6.09305,3,,,2008,10.0,22.0,60,0,,,60,3,,,60,0,,,1,30229,POINT (118826.8772523719 679557.2855462875),48254.02103677271,3,3,3
GHA,GH,2163.0,21445.0,21445.0,akim manso zion,,-0.529185,5.54352,3,,,2008,10.0,17.0,60,0,,,60,0,,,60,0,,,1,30202,POINT (-58908.60473543847 618066.8728941577),42534.548483759,4,4,4
GHA,GH,2164.0,21458.0,21458.0,akpamu,,-0.2333329999999999,6.183333,1,,,2008,10.0,17.0,60,0,,,60,0,,,60,0,,,1,30259,POINT (-25974.51074526689 689665.4956670738),20633.47138215199,5,5,5
GHA,GH,2162.0,21428.0,21428.0,akyeremade battor,,-0.624485,7.57564,3,,,2008,5.0,19.0,60,1,,,60,0,,,60,0,,,1,30230,POINT (-69517.35220803744 845784.3368508442),27849.844737186224,6,6,6
GHA,GH,2170.0,21592.0,21592.0,allengenzule,,-2.41632,5.00956,3,,,2008,8.0,16.0,60,0,,,60,0,,,60,0,,,1,30232,POINT (-268983.5119936027 558373.5445347099),28384.923874514912,7,7,7
GHA,GH,2161.0,21392.0,21392.0,amanchia rc,,-1.85902,6.59281,3,,,2008,10.0,15.0,60,2,,,60,4,,,60,0,,,1,30208,POINT (-206945.1597745114 735533.1537327425),50604.931952655286,8,8,8
GHA,GH,2170.0,21603.0,21603.0,asankragwa,,-2.435696,5.81434,1,,,2008,6.0,19.0,60,0,,,60,3,,,60,1,,,1,30222,POINT (-271140.4384472133 648363.1392795991),41651.707149601556,9,9,9
GHA,GH,2169.0,21577.0,21577.0,avenorpeme,,0.49564,6.0073,3,,,2008,10.0,18.0,60,5,,,60,0,,,60,0,,,1,30233,POINT (55174.39241677812 669958.1710061355),14091.538875139408,10,10,10
GHA,GH,2163.0,21443.0,21443.0,awisem da,,-1.7073598,7.0390197,1,,,2008,8.0,15.0,60,0,,,60,0,,,60,0,,,1,30237,POINT (-190062.4235369054 785558.6707183974),29071.97910029167,11,11,11
GHA,GH,2162.0,21420.0,21420.0,baanu,,-2.9,7.616667,1,,,2008,8.0,27.0,60,0,,,60,1,,,60,0,,,1,30238,POINT (-322826.5233004934 850391.8755391692),38625.799179155525,12,12,12
GHA,GH,2169.0,21577.0,21577.0,bakpa agortakpo,,0.39728,6.08654,3,,,2008,11.0,20.0,60,0,,,60,0,,,60,1,,,1,30264,POINT (44225.00730235173 678828.482922046),14091.538875139408,13,13,13
GHA,GH,2162.0,21430.0,21430.0,bishop lemaire,,-2.33221,7.33273,3,,,2008,10.0,16.0,60,0,,,60,0,,,60,0,,,1,30235,POINT (-259620.4296229805 818513.2279682432),38662.66249373045,14,14,14
GHA,GH,2166.0,21521.0,21521.0,bole,,-2.48642,9.03924,3,,,2008,11.0,18.0,60,1,,,60,1,,,60,0,,,1,30249,POINT (-276787.0082982113 1010443.92967676),47591.69757749859,15,15,15
GHA,GH,2166.0,21507.0,21507.0,bolla,,0.17291,8.33409,3,,,2008,3.0,18.0,60,4,,,60,0,,,60,1,,,1,30247,POINT (19248.25315306493 931035.5841917305),4421.739720364659,16,16,16
GHA,GH,2161.0,21382.0,21382.0,bonkrom d/a,,-2.1059,6.97185,3,,,2008,7.0,18.0,60,2,,,60,0,,,60,1,,,1,30223,POINT (-234427.7156615548 778025.1325034283),45000.37048005138,17,17,17
GHA,GH,2170.0,21592.0,21592.0,bonsukrom,,-2.25775,5.20845,3,,,2008,10.0,15.0,60,0,,,60,0,,,60,2,,,1,30269,POINT (-251331.5803385134 580602.2019886827),28384.923874514912,18,18,18
GHA,GH,2166.0,21526.0,21526.0,busunu,,-1.5099705,9.1632442,1,,,2008,9.0,21.0,60,2,,,60,2,,,60,0,,,1,30206,POINT (-168089.1471728647 1024424.020976488),36307.59061848146,19,19,19
GHA,GH,2166.0,21515.0,21515.0,central a,,0.056639999,8.86098,3,,,2008,11.0,20.0,60,10,,,60,0,,,60,2,,,1,30251,POINT (6305.135847211525 990355.515950692),24384.731794049934,20,20,20
GHA,GH,2166.0,21505.0,21505.0,chama ame zion,,-0.92221,8.84099,3,,,2008,7.0,24.0,60,0,,,60,3,,,60,0,,,1,30204,POINT (-102659.9476044648 988103.4210448042),23211.843477335886,21,21,21
GHA,GH,2166.0,21516.0,21516.0,chichagi,,0.26661,8.92265,3,,,2008,5.0,19.0,60,7,,,60,0,,,60,0,,,1,30215,POINT (29678.88944039467 997304.0976500683),24384.731794049934,22,22,22
GHA,GH,2161.0,21405.0,21405.0,dadease,,-1.36937,6.87843,3,,,2008,10.0,19.0,60,1,,,60,2,,,60,0,,,1,30268,POINT (-152437.571107585 767549.2379469774),5329.055549449507,23,23,23
GHA,GH,2162.0,21427.0,21427.0,daffour battor,,-0.15456,7.75168,3,,,2008,8.0,18.0,60,6,,,60,0,,,60,0,,,1,30214,POINT (-17205.54049700836 865557.6435389379),36439.72411330759,24,24,24
GHA,GH,2162.0,21414.0,21414.0,dumoli,,-2.51822,8.11725,3,,,2008,6.0,17.0,60,12,,,60,1,,,60,0,,,1,30227,POINT (-280326.9681054374 906646.1377877491),55167.640413833935,25,25,25
GHA,GH,2168.0,21548.0,21548.0,dupuoh,,-2.6323600000000003,10.4295,3,,,2008,11.0,19.0,60,0,,,60,0,,,60,0,,,1,30221,POINT (-293032.9747845816 1167471.838521937),31901.614997711924,26,26,26
GHA,GH,2168.0,21547.0,21547.0,eremon tangzu,,-2.7899699,10.6648,3,,,2008,10.0,19.0,60,0,,,60,0,,,60,0,,,1,30210,POINT (-310578.0285965604 1194115.489288996),31901.614997711924,27,27,27
GHA,GH,2167.0,21534.0,21534.0,feo awiisi,,-0.8181649999999999,11.0007,3,,,2008,11.0,18.0,59,1,,,59,4,,,59,1,,,1,30256,POINT (-91077.71118487866 1232186.184107641),32207.73559797328,28,28,28
GHA,GH,2163.0,21437.0,21437.0,great oxford,,-1.20266,5.13012,3,,,2008,8.0,16.0,60,0,,,60,3,,,60,0,,,1,30203,POINT (-133879.4987974384 571846.936533567),88073.3641553033,29,29,29
GHA,GH,2162.0,21408.0,21408.0,gyasikrom,,-2.70858,6.81105,3,,,2008,8.0,16.0,60,1,,,60,0,,,60,0,,,1,30200,POINT (-301517.746372845 759994.6870277487),60707.85537892749,30,30,30
GHA,GH,2161.0,21387.0,21387.0,juaso methodist,,-1.1209121,6.5824286,1,,,2008,9.0,18.0,60,5,,,60,1,,,60,0,,,1,30243,POINT (-124779.3641960189 734369.8207547161),43195.487435392235,31,31,31
GHA,GH,2167.0,21537.0,21537.0,kanjarga,,-1.3721499,10.5116,3,,,2008,8.0,22.0,60,1,,,60,1,,,60,0,,,1,30270,POINT (-152747.0281600412 1176765.930621928),42663.92418021847,32,32,32
GHA,GH,2169.0,21571.0,21571.0,kankye akura,,0.3326349999999999,8.03001,3,,,2008,10.0,20.0,59,3,,,59,0,,,59,0,,,1,30234,POINT (37028.75882002054 896837.4042080912),34282.58359262495,33,33,33
GHA,GH,2162.0,21425.0,21425.0,kojo boffour,,-0.6746700000000001,8.22451,3,,,2008,10.0,16.0,60,10,,,60,1,,,60,0,,,1,30248,POINT (-75103.9208534979 918708.7203735672),3106.8269386825114,34,34,34
