iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
GMB,GM,4915,47651,47651,546,16867.0,-13.8876548,13.4125447,3,,,2015,,,49,1,,,49,2,,,49,0,,,1,5998,POINT (-1545966.660648762 1506904.160486036),1151.255421299134,0,0,860,True
GMB,GM,4916,47662,47662,7th day adventist,16899.0,-16.65094667,13.312075,3,,,2015,,,49,1,,,49,1,,,49,0,,,1,6101,POINT (-1853574.904530354 1495408.719804715),1282.2496784977502,1,1,861,True
GMB,GM,4912,47633,47633,a better chance learning,16821.0,-16.70612167,13.44792833,3,,,2015,,,49,0,,,49,1,,,49,0,,,1,5811,POINT (-1859716.957434873 1510953.791699824),483.893127430939,2,2,862,True
GMB,GM,4912,47633,47633,abc,16822.0,-16.66231667,13.44337833,3,,,2015,,,52,0,,,52,0,,,52,0,,,1,5829,POINT (-1854840.607140674 1510433.01397431),205.51939684546053,3,3,863,True
GMB,GM,4916,47662,47662,abc lower basic,16900.0,-16.631725,13.287365,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,6104,POINT (-1851435.158013758 1492582.208111422),506.9162488350189,4,4,864,True
GMB,GM,4912,47633,47633,abuko,16823.0,-16.6556575,13.399421,1,,,2015,,,48,1,,,48,0,,,48,0,,,1,5856,POINT (-1854099.311727168 1505402.314080225),0.0,5,5,6,False
GMB,GM,4912,47633,47633,abuko,16824.0,-16.6556575,13.399421,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,5843,POINT (-1854099.311727168 1505402.314080225),0.0,6,6,5,False
GMB,GM,4916,47664,47664,abuko,52575.0,-16.6556575,13.399421,1,,,2010,,,50,0,,,50,0,,,50,0,,,1,6128,POINT (-1854099.311727168 1505402.314080225),0.0,7,7,5,False
GMB,GM,4916,47664,47664,african children school,16942.0,-16.72693167,13.39610333,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,6145,POINT (-1862033.516038281 1505022.660444487),734.6082549511436,8,8,868,True
GMB,GM,4912,47633,47633,alhagie mamour deck memorial lbs,16825.0,-16.66584,13.45881667,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,5816,POINT (-1855232.82244217 1512200.07469889),455.168918043733,9,9,869,True
GMB,GM,4912,47633,47633,amazing grace,16826.0,-16.68366667,13.45572333,3,,,2015,,,49,0,,,49,1,,,49,0,,,1,5855,POINT (-1857217.27826911 1511846.004217053),367.6507446228119,10,10,870,True
GMB,GM,4916,47662,47662,anne marie river,16901.0,-16.661315,13.25406667,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,6100,POINT (-1854729.101746331 1488773.755226464),0.0,11,11,200,False
GMB,GM,4912,47633,47633,apple tree,16827.0,-16.70727333,13.44385167,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,5841,POINT (-1859845.15963964 1510487.190420927),483.893127430939,12,12,872,True
GMB,GM,4916,47657,47657,arrangallen,16733.0,-16.1332971,13.2055019,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,6060,POINT (-1795950.417988597 1483220.157466413),0.0,13,13,14,False
GMB,GM,4916,47657,47657,arrangallen basic cycle school,16728.0,-16.1332971,13.2055019,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,6065,POINT (-1795950.417988597 1483220.157466413),0.0,14,14,13,False
GMB,GM,4916,47664,47664,aunty doricing international school,16943.0,-16.76670833,13.38535333,3,,,2015,,,50,0,,,50,1,,,50,1,,,1,6159,POINT (-1866461.433574938 1503792.532890382),98.09583528329709,15,15,875,True
GMB,GM,4913,47634,47634,badumeh kuta,16779.0,-15.38095333,13.39619,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,5861,POINT (-1712199.892610705 1505032.578356646),0.0,16,16,17,False
GMB,GM,4913,47634,47634,badumeh kuta lower basic school,16780.0,-15.38095333,13.39619,3,,,2015,,,50,1,,,50,2,,,50,0,,,1,5859,POINT (-1712199.892610705 1505032.578356646),0.0,17,17,16,False
GMB,GM,4915,47655,47655,baja kunda,17078.0,-14.0500472,13.470581,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6050,POINT (-1564044.099925459 1513546.687509991),0.0,18,18,19,False
GMB,GM,4915,47655,47655,baja kunda lower basic,17079.0,-14.0500472,13.470581,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,6047,POINT (-1564044.099925459 1513546.687509991),0.0,19,19,18,False
GMB,GM,4916,47662,47662,bakary samboya,16902.0,-16.643375,13.237545,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,6112,POINT (-1852732.030081499 1486884.30444311),0.0,20,20,21,False
GMB,GM,4916,47662,47662,bakary samboya lower basic,16903.0,-16.643375,13.237545,3,,,2015,,,50,5,,,50,3,,,50,0,,,1,6102,POINT (-1852732.030081499 1486884.30444311),0.0,21,21,20,False
GMB,GM,4916,47664,47664,bakoteh annex,52576.0,-16.6984026,13.4314429,1,,,2010,,,50,0,,,50,1,,,50,0,,,1,6138,POINT (-1858857.674493076 1509066.971691336),1013.8152481165494,22,22,882,True
GMB,GM,4914,47646,47646,ballingho,17053.0,-15.60931833,13.495105,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,5955,POINT (-1737621.368125711 1516354.058483976),0.0,23,23,24,False
GMB,GM,4914,47646,47646,ballingho lower basic,17054.0,-15.60931833,13.495105,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,5953,POINT (-1737621.368125711 1516354.058483976),0.0,24,24,23,False
GMB,GM,4916,47667,47667,banjul south,16722.0,-16.5790323,13.4548761,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6059,POINT (-1845569.433481235 1511749.029210733),607.0616259788221,25,25,885,True
GMB,GM,4915,47655,47655,bantunding,17080.0,-14.0848874,13.4756577,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6044,POINT (-1567922.493248595 1514127.81621721),0.0,26,26,27,False
GMB,GM,4915,47655,47655,bantunding lbs,17081.0,-14.0848874,13.4756577,1,,,2015,,,41,0,,,41,0,,,41,1,,,1,6046,POINT (-1567922.493248595 1514127.81621721),0.0,27,27,26,False
GMB,GM,4914,47645,47645,barra,16972.0,-16.5451491,13.4865118,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,5943,POINT (-1841797.572910788 1515370.324001339),622.3215258213221,28,28,888,True
GMB,GM,4913,47635,47635,barrow kunda,16783.0,-14.1161056,13.4886943,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,5868,POINT (-1571397.687376077 1515620.169424945),217.2187941524595,29,29,889,True
GMB,GM,4913,47635,47635,barrow kunda lbs,16784.0,-15.26569667,13.48819667,3,,,2015,,,50,0,,,50,1,,,50,0,,,1,5867,POINT (-1699369.579908972 1515563.202177928),7352.863148211813,30,30,890,True
GMB,GM,4915,47654,47654,barrow lower basic school,17077.0,-14.11727,13.48717167,3,,,2015,,,49,0,,,49,0,,,49,0,,,1,6032,POINT (-1571527.307791157 1515445.863508443),217.2187941524595,31,31,891,True
GMB,GM,4916,47662,47662,basori,52573.0,-16.5893457,13.2294055,1,,,2010,,,44,10,,,44,0,,,44,0,,,1,6113,POINT (-1846717.515917582 1485953.502295604),0.0,32,32,33,False
GMB,GM,4916,47663,47663,basori,16916.0,-16.5893457,13.2294055,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6122,POINT (-1846717.515917582 1485953.502295604),0.0,33,33,32,False
GMB,GM,4916,47663,47663,basori lower basic,16917.0,-16.5893457,13.2294055,1,,,2015,,,51,1,,,51,0,,,51,0,,,1,6118,POINT (-1846717.515917582 1485953.502295604),0.0,34,34,32,False
GMB,GM,4916,47664,47664,beulah lbs,16944.0,-16.73420833,13.39795833,3,,,2015,,,50,0,,,50,3,,,50,0,,,1,6155,POINT (-1862843.550124157 1505234.934526329),300.3783683240382,35,35,895,True
GMB,GM,4915,47655,47655,boro kanda,52594.0,-14.029701,13.420695,3,,,2005,,,30,0,,,30,0,,,30,0,,,2,6054,POINT (-1561779.171301881 1507836.903584727),2566.6220545275064,36,36,896,True
GMB,GM,4915,47655,47655,boro kanda kasseh lower basic school,17082.0,-14.0072348,13.4257366,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,6053,POINT (-1559278.245357821 1508413.894219934),0.0,37,37,38,False
GMB,GM,4915,47655,47655,boro lands kasseh,17083.0,-14.0072348,13.4257366,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6055,POINT (-1559278.245357821 1508413.894219934),0.0,38,38,37,False
GMB,GM,4916,47659,47659,brefet,16742.0,-16.37993,13.23174,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6079,POINT (-1823405.466829466 1486220.463623468),0.0,39,39,40,False
GMB,GM,4916,47659,47659,brefet lower basic school,16743.0,-16.37993,13.23174,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,6080,POINT (-1823405.466829466 1486220.463623468),0.0,40,40,39,False
GMB,GM,4916,47664,47664,brufut,16930.0,-16.7529514,13.3844662,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6139,POINT (-1864930.01913246 1503691.0206412),0.0,41,41,43,False
GMB,GM,4916,47664,47664,brufut ghana town,16931.0,-16.7680653,13.3851857,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6133,POINT (-1866612.49078436 1503773.351345676),0.0,42,42,112,False
GMB,GM,4916,47664,47664,brufut lbs,16945.0,-16.7529514,13.3844662,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,6131,POINT (-1864930.01913246 1503691.0206412),0.0,43,43,41,False
GMB,GM,4916,47664,47664,brusubi,16932.0,-16.7323097,13.3998235,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,6148,POINT (-1862632.195599352 1505448.37404704),0.0,44,44,45,False
GMB,GM,4916,47664,47664,brusubi lbs,16946.0,-16.7323097,13.3998235,1,,,2015,,,49,0,,,49,0,,,49,2,,,1,6158,POINT (-1862632.195599352 1505448.37404704),0.0,45,45,44,False
GMB,GM,4911,47630,47630,buduck,17017.0,-15.09476,13.74293167,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,5785,POINT (-1680340.996846674 1544740.156090864),0.0,46,46,47,False
GMB,GM,4911,47630,47630,buduck basic cycle,17018.0,-15.09476,13.74293167,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,5786,POINT (-1680340.996846674 1544740.156090864),0.0,47,47,46,False
GMB,GM,4913,47637,47637,bumari,16873.0,-15.7681278,13.4065482,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,5878,POINT (-1755299.957459261 1506217.924479547),1743.3615127243936,48,48,908,True
GMB,GM,4913,47637,47637,bumari lower basic school,16874.0,-15.78135167,13.39838667,3,,,2015,,,48,1,,,48,1,,,48,0,,,1,5880,POINT (-1756772.031933978 1505283.951190349),1743.3615127243936,49,49,909,True
GMB,GM,4912,47633,47633,bundung,52562.0,-16.685136,13.4197727,1,,,2010,,,54,1,,,54,0,,,54,0,,,1,5857,POINT (-1857380.843336517 1507731.351408143),0.0,50,50,51,False
GMB,GM,4912,47633,47633,bundung,16828.0,-16.685136,13.4197727,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,5851,POINT (-1857380.843336517 1507731.351408143),0.0,51,51,50,False
GMB,GM,4912,47633,47633,bundung annex lbs,16829.0,-16.67444,13.4197727,1,,,2015,,,50,0,,,50,2,,,50,0,,,1,5853,POINT (-1856190.170062993 1507731.351408143),0.0,52,52,53,False
GMB,GM,4912,47633,47633,bundung lower basic,16830.0,-16.67444,13.4197727,1,,,2015,,,50,0,,,50,1,,,50,0,,,1,5845,POINT (-1856190.170062993 1507731.351408143),0.0,53,53,52,False
GMB,GM,4916,47661,47661,bunuborr,16750.0,-16.05173667,13.18167333,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,6094,POINT (-1786871.152452117 1480495.658527132),42.35139010501556,54,54,914,True
GMB,GM,4916,47661,47661,bunuborr lower basic,16751.0,-16.0515269,13.1813643,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,6086,POINT (-1786847.800962533 1480460.326556085),42.35139010501556,55,55,915,True
GMB,GM,4916,47667,47667,campama lower basic,16723.0,-16.58434167,13.45608667,3,,,2015,,,50,0,,,50,30,,,50,4,,,1,6058,POINT (-1846160.469846068 1511887.592673381),607.0616259788221,56,56,916,True
GMB,GM,4912,47633,47633,carter lower basic,16831.0,-16.67106167,13.42623167,3,,,2015,,,50,0,,,50,1,,,50,0,,,1,5836,POINT (-1855814.096087661 1508470.553623292),571.0348420045696,57,57,917,True
GMB,GM,4911,47631,47631,chagai wollof lower basic school,17021.0,-14.66594167,13.58341,3,,,2015,,,53,1,,,53,0,,,53,0,,,1,5789,POINT (-1632605.158708252 1526465.116106304),0.0,58,58,63,False
GMB,GM,4914,47646,47646,challa,17055.0,-15.55470333,13.56832167,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,5961,POINT (-1731541.654136037 1524737.213214278),0.0,59,59,60,False
GMB,GM,4913,47636,47636,challa lower basic school,16788.0,-15.55470333,13.56832167,4,,,2015,,,51,0,,,51,0,,,51,0,,,1,5872,POINT (-1731541.654136037 1524737.213214278),0.0,60,60,59,False
GMB,GM,4914,47645,47645,chamen,16973.0,-16.3883258,13.5201145,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,5948,POINT (-1824340.083010268 1519217.303809631),0.0,61,61,62,False
GMB,GM,4914,47645,47645,chamen lower basic school,16974.0,-16.3883258,13.5201145,1,,,2015,,,45,0,,,45,0,,,45,0,,,1,5942,POINT (-1824340.083010268 1519217.303809631),0.0,62,62,61,False
