iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
GIN,GN,2283.0,22619.0,22619.0,almamya,12219.0,-13.7117334,9.5110054,1,,,2013.0,,,50,2,,,50,6,,,50,2,,,1,5704,POINT (-1526383.179981122 1063656.482115024),223.85669583508462,0,0,130,True
GIN,GN,2279.0,22615.0,22615.0,banian,52701.0,-10.5380494,9.5979848,1,,,1990.0,,,44,9,,,44,6,,,44,2,,,3,5700,POINT (-1173090.293162362 1073475.188993098),55716.56411778116,1,1,131,True
GIN,GN,2284.0,22620.0,22620.0,bankalan,,-9.23485,10.57345,1,,,1996.0,7.0,12.0,49,5,,,49,7,,,49,1,,,3,30285,POINT (-1028018.799552262 1183769.262052315),17959.299483208477,2,2,132,True
GIN,GN,2292.0,22628.0,22628.0,belemou,12234.0,-9.46667,7.41667,1,,,2013.0,,,50,5,,,50,1,,,50,9,,,1,19223,POINT (-1053824.883907959 827935.3270794011),45206.98239628305,3,3,133,True
GIN,GN,2272.0,22606.0,22606.0,bok?ac,52697.0,-14.296,10.94,3,,,1995.0,,,100,64,,,100,0,,,100,7,,,3,5689,POINT (-1591423.440380639 1225303.311645969),0.0,4,4,5,False
GIN,GN,2272.0,22606.0,22606.0,boke,,-14.296,10.94,3,,,1995.0,5.0,18.0,100,64,,,100,0,,,100,7,,,3,30276,POINT (-1591423.440380639 1225303.311645969),0.0,5,5,4,False
GIN,GN,2297.0,22633.0,22633.0,bonfi port,12244.0,-13.6420778,9.560877,2,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,19228,POINT (-1518629.154058222 1069285.952141065),2357.707864567656,6,6,136,True
GIN,GN,2277.0,22613.0,22613.0,camayene plage,12199.0,-13.689522,9.5308,1,,,2013.0,,,50,2,,,50,2,,,50,3,,,1,19201,POINT (-1523910.618243316 1065890.783701548),2938.3802070005095,7,7,137,True
GIN,GN,2283.0,22619.0,22619.0,centre,12220.0,-13.63983,9.602881,1,,,2013.0,,,50,1,,,50,4,,,50,0,,,1,19210,POINT (-1518378.930106817 1074027.973352309),1000.388748435271,8,8,138,True
GIN,GN,2301.0,22637.0,22637.0,cobaya,12254.0,-13.602567,9.661433,1,,,2013.0,,,50,0,,,50,2,,,50,1,,,1,19233,POINT (-1514230.831921387 1080639.155041927),0.0,9,9,37,False
GIN,GN,2292.0,22628.0,22628.0,didita,12235.0,-8.51139,7.9475,3,,,2013.0,,,50,12,,,50,0,,,50,0,,,1,5713,POINT (-947483.6007429607 887562.4218712447),4736.7858415312385,10,10,140,True
GIN,GN,2275.0,22611.0,22611.0,ditinn,,-12.17645,10.87902,1,,,1996.0,7.0,12.0,44,2,,,44,2,,,44,8,,,3,30286,POINT (-1355476.213669756 1218390.108598039),4789.327142763075,11,11,141,True
