iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
GNB,GW,2427.0,23755.0,23755.0,cacoca,12303.0,-14.9126044,11.105238,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,6166,POINT (-1660063.528209531 1244043.246970904),21496.853321954026,0,0,24,True
GNB,GW,2422.0,23708.0,23708.0,eb candjanbari,,-15.00961509,12.48716963,3,school,mapping,2018.0,10.0,14.0,50,4.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33507,POINT (-1670862.708821835 1401202.278305021),13787.269549115776,1,1,25,True
GNB,GW,2422.0,23708.0,23708.0,eb cuboroto,,-15.17003186,12.50190239,3,school,mapping,2018.0,10.0,14.0,50,8.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33508,POINT (-1688720.221972937 1402882.105600083),5722.73568266401,2,2,26,True
GNB,GW,2422.0,23708.0,23708.0,eb guidadji,,-15.42491631,12.53584142,3,school,mapping,2018.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33509,POINT (-1717093.82915806 1406752.193846964),23926.142791914554,3,3,27,True
GNB,GW,2422.0,23708.0,23708.0,eb jumbembe,,-15.09695532,12.57289204,3,school,mapping,2018.0,10.0,13.0,50,2.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33510,POINT (-1680585.378751202 1410977.680652983),11476.672413175536,4,4,28,True
GNB,GW,2422.0,23708.0,23708.0,ebu unidade africana,,-15.21719754,12.48193651,3,school,mapping,2018.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33511,POINT (-1693970.681453455 1400605.621702256),5722.73568266401,5,5,29,True
GNB,GW,2423.0,23742.0,23742.0,imbunga,12272.0,-15.08333,11.48333,3,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,6164,POINT (-1679068.615066907 1286963.523760492),13105.937967393984,6,6,30,True
GNB,GW,2427.0,23755.0,23755.0,incala,12306.0,-15.1048,11.369866,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19273,POINT (-1681458.644534239 1274077.354075498),13105.937967393984,7,7,31,True
GNB,GW,2422.0,23730.0,23730.0,mantefa,12291.0,-15.32,12.10556,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19267,POINT (-1705414.598952951 1357724.175313828),44382.22270345297,8,8,32,True
GNB,GW,2410.0,23668.0,23668.0,queroane,12301.0,-14.516128,12.162846,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19245,POINT (-1615927.977249981 1364246.95638684),59139.35749579408,9,9,33,True
GNB,GW,2407.0,23679.0,23679.0,quinhamel/dorse,12287.0,-15.8583873,11.8956399,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,6163,POINT (-1765347.599038517 1333833.849472415),64519.08375097433,10,10,34,True
GNB,GW,2427.0,23755.0,23755.0,quitafine,,-15.08333,11.01667,3,,,1984.0,1.0,5.0,203,44.0,,,203,14,,,203,9.0,,,3,29649,POINT (-1679068.615066907 1233997.283787156),21496.853321954026,11,11,35,True
GNB,GW,2410.0,23668.0,23668.0,xitole,12302.0,-14.81541,11.73342,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19247,POINT (-1649243.897093573 1315384.771724356),41198.072018146064,12,12,36,True
