iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
KEN,KE,2534.0,24797.0,24797.0,a. c. tegat,12530.0,35.09603,0.20122,3,,,2013.0,,,55.0,0,,,55.0,10,,,55.0,0,,,1,19522,POINT (3906872.188465453 22399.75398316365),5576.609574995546,0,0,0
KEN,KE,2528.0,24761.0,54081.0,a. k. magugu,12388.0,36.79287,-1.08847,3,,,2013.0,,,54.0,1,,,54.0,6,,,54.0,0,,,1,6169,POINT (4095763.553223112 -121175.2150652642),3936.7168061935827,1,1,1
KEN,KE,2532.0,24783.0,54285.0,abakore,53996.0,39.7111401,0.6288978,1,,,2008.0,,,52.0,0,,,52.0,0,,,52.0,0,,,1,7562,POINT (4420623.894752347 70009.98867146118),21468.473810281073,2,2,2
KEN,KE,2533.0,24789.0,54244.0,abidha,,34.188202,-0.0299,3,,,2005.0,5.0,20.0,31.0,17,,,31.0,8,,,31.0,1,,,2,30362,POINT (3805813.237777577 -3328.452925792209),2421.7586104964657,3,3,3
KEN,KE,2533.0,24789.0,54244.0,abom,52743.0,34.334499,-0.038957998,3,,,1997.0,,,378.0,77,,,378.0,175,,,378.0,35,,,3,7287,POINT (3822098.945322161 -4336.784833853739),0.0,4,4,5
KEN,KE,2533.0,24789.0,54244.0,abom,52742.0,34.334499,-0.038957998,3,,,1996.0,,,869.0,101,,,869.0,218,,,869.0,52,,,3,7304,POINT (3822098.945322161 -4336.784833853739),0.0,5,5,4
KEN,KE,2529.0,24770.0,54250.0,abori,53972.0,37.6936411,-3.4600935,1,,,1998.0,,,316.0,5,,,316.0,2,,,316.0,3,,,3,7478,POINT (4196036.933396408 -385410.1800294446),13846.771674253943,6,6,6
KEN,KE,2531.0,24780.0,,addar academy,12488.0,36.92313,-1.23088,3,,,2013.0,,,61.0,0,,,61.0,0,,,61.0,0,,,1,19383,POINT (4110264.030093844 -137031.4755883121),650.3639521390444,7,7,7
KEN,KE,2533.0,24784.0,54044.0,adiedo,53574.0,34.6064,-0.42601001,3,,,2007.0,,,25.0,1,,,25.0,1,,,25.0,0,,,1,6686,POINT (3852366.826188342 -47423.65434445598),2231.956899774936,8,8,8
KEN,KE,2529.0,24766.0,54092.0,adu,,39.9804,-2.8351,3,,,2008.0,5.0,16.0,97.0,0,,,97.0,1,,,97.0,4,,,1,29007,POINT (4450597.769711395 -315730.7565552549),0.011145590920932591,9,9,10
