iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
LBR,LR,2756,0,26828,72nd public school,,-10.68462,6.36508,3,,mapping,2015,10.0,14.0,50,3,0.0,0.0,50,8,0.0,0.0,50,0,0.0,0.0,1,25719,POINT (-1189406.457719627 710019.4025578944),0.0,0,0,1
LBR,LR,2756,0,26828,72nd public school,,-10.68462,6.36508,3,,mapping,2015,10.0,14.0,50,3,,,50,0,,,50,0,,,1,22468,POINT (-1189406.457719627 710019.4025578944),0.0,1,1,0
LBR,LR,2747,0,26819,a g community,,-9.45948,7.1165,3,,mapping,2012,10.0,14.0,30,14,0.0,0.0,30,7,0.0,0.0,30,8,0.0,0.0,1,24984,POINT (-1053024.496769155 794249.9680077865),0.0,2,2,3
LBR,LR,2747,0,26819,a g community,54091.0,-9.45948,7.1165,3,,,2012,,,30,14,,,30,6,,,30,8,,,1,7648,POINT (-1053024.496769155 794249.9680077865),0.0,3,3,2
LBR,LR,2752,0,26824,a. a hoff elem & jr. high school,,-8.166228,4.670428,3,,mapping,2015,10.0,14.0,50,0,0.0,0.0,50,44,0.0,0.0,50,0,0.0,0.0,1,25467,POINT (-909060.3426617729 520486.389334637),0.0,4,4,5
LBR,LR,2752,0,26824,a. a hoff elem & jr. high school,,-8.166228,4.670428,3,,mapping,2015,10.0,14.0,50,0,,,50,0,,,50,0,,,1,22388,POINT (-909060.3426617729 520486.389334637),0.0,5,5,4
LBR,LR,2754,0,26826,a. a. mission school,,-10.01177778,6.580808056,3,,mapping,2012,10.0,14.0,30,2,0.0,0.0,30,2,0.0,0.0,30,0,0.0,0.0,1,25635,POINT (-1114506.004405011 734188.2258366201),1686.124470153724,6,6,6
LBR,LR,2747,0,26819,a. g  community,,-9.56379,7.01037,3,,sentinel site,2012,4.0,15.0,124,37,0.0,0.0,124,41,0.0,0.0,124,1,0.0,0.0,1,24985,POINT (-1064636.232853802 782345.2794532289),0.0,7,7,8
LBR,LR,2747,0,26819,a. g  community,,-9.56379,7.01037,3,,sentinel site,2018,6.0,11.0,44,10,0.0,0.0,44,0,0.0,0.0,44,3,0.0,0.0,1,24986,POINT (-1064636.232853802 782345.2794532289),0.0,8,8,7
LBR,LR,2747,0,26819,a.g. community,,-9.56379,7.01037,3,,sentinel site,2013,5.0,17.0,85,15,0.0,0.0,85,3,0.0,0.0,85,3,0.0,0.0,1,24987,POINT (-1064636.232853802 782345.2794532289),0.0,9,9,7
LBR,LR,2754,0,26826,a.g.m. dolo's town,,-10.36533333,6.25669444,3,,mapping,2012,10.0,14.0,30,2,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,25636,POINT (-1153863.628198147 697880.4141409199),210.51380419682854,10,10,10
LBR,LR,2757,0,26829,a.m. conquoi elementary & jr. high school,,-8.9032497,7.2118611,3,,mapping,2012,10.0,14.0,30,4,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,25745,POINT (-991105.2230093656 804949.0475592337),0.0,11,11,12
LBR,LR,2757,0,26829,a.m. conquoi elementary & jr. high school,54706.0,-8.9032497,7.2118611,3,,,2012,,,30,3,,,30,0,,,30,0,,,1,8380,POINT (-991105.2230093656 804949.0475592337),0.0,12,12,11
LBR,LR,2751,0,26823,a.t. day elementary school,,-8.1264268,6.0868817,1,,mapping,2013,8.0,14.0,30,1,0.0,0.0,30,3,0.0,0.0,30,1,0.0,0.0,1,25377,POINT (-904629.6933448118 678866.7364438216),273.20897347120024,13,13,13
LBR,LR,2749,0,26821,a.t. day elementary school,12693.0,-10.04472,6.2308452,1,,,2013,,,810,56,,,810,157,,,810,9,,,1,7955,POINT (-1118173.115561011 694985.7190431533),0.0,14,14,16
LBR,LR,2751,0,26823,adnantee academy (aa),,-8.1449699,6.08675,3,,mapping,2013,9.0,14.0,30,4,0.0,0.0,30,4,0.0,0.0,30,2,0.0,0.0,1,25378,POINT (-906693.9017945403 678851.9925462441),767.7196165692839,15,15,15
LBR,LR,2749,0,26821,adnantee academy (aa),12694.0,-10.04472,6.2308452,1,,,2013,,,60,11,,,60,11,,,60,2,,,1,7907,POINT (-1118173.115561011 694985.7190431533),0.0,16,16,14
LBR,LR,2755,0,26827,agnes thompson kg/elem,,-7.713889,4.375833,3,,mapping,2015,10.0,13.0,15,3,0.0,0.0,15,7,0.0,0.0,15,1,0.0,0.0,1,25684,POINT (-858706.1955158343 487589.7333090604),0.0,17,17,18
LBR,LR,2755,0,26827,agnes thompson kg/elem,,-7.713889,4.375833,3,,mapping,2015,10.0,14.0,15,3,,,15,1,,,15,1,,,1,22428,POINT (-858706.1955158343 487589.7333090604),0.0,18,18,17
LBR,LR,2759,0,26831,aica community,,-8.01333,5.23296,3,,mapping,2013,10.0,15.0,30,0,0.0,0.0,30,6,0.0,0.0,30,0,0.0,0.0,1,26108,POINT (-892039.815158463 583342.0085931508),211.08928397377187,19,19,19
