iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
MOZ,MZ,3449.0,33192.0,33192.0,anchilo,13700.0,39.4249697,-15.0976814,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9414,POINT (4388767.55154424 -1700460.1485178),26420.074643051812,0,0,0
MOZ,MZ,3443.0,33101.0,33101.0,balama  sede,13568.0,38.5637919,-13.3497279,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,19620,POINT (4292901.677365768 -1499716.290509109),74923.82760099405,1,1,1
MOZ,MZ,3448.0,33167.0,33167.0,bela vista,13656.0,32.6701267,-26.3450531,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9393,POINT (3636821.868395731 -3041880.393903488),44151.02520813365,2,2,2
MOZ,MZ,3443.0,33116.0,33116.0,bilibiza,13712.0,40.283333,-12.566667,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9358,POINT (4484320.117015873 -1410267.695215132),41146.18538386706,3,3,3
MOZ,MZ,3449.0,33171.0,33171.0,boila namitoria,13566.0,39.8302582,-16.1513114,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9395,POINT (4433884.06098861 -1822252.13261485),40310.9530527536,4,4,4
MOZ,MZ,3451.0,33210.0,33210.0,buzi,13572.0,34.3310364,-20.1463938,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9431,POINT (3821713.490453341 -2290381.370027769),75182.5998298178,5,5,5
MOZ,MZ,3451.0,33211.0,33211.0,caia sede,13574.0,35.3411388,-17.8176872,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,19655,POINT (3934157.575270403 -2016220.140127929),45289.050562284545,6,6,6
MOZ,MZ,3447.0,33150.0,33150.0,catandica,13569.0,33.1745097,-18.0650446,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9382,POINT (3692969.527120515 -2045163.306785151),103792.33468045684,7,7,7
MOZ,MZ,3445.0,33124.0,33124.0,changanine,13579.0,32.4833333,-25.1,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9361,POINT (3616028.122224187 -2888032.378337792),34258.751790020535,8,8,8
MOZ,MZ,3451.0,33212.0,33212.0,chemba,13576.0,34.8886242,-17.1638999,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9432,POINT (3883783.880421882 -1939912.32531015),63662.63570284934,9,9,9
MOZ,MZ,3445.0,33126.0,33126.0,chigubo,13582.0,33.5182054,-22.8336142,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9363,POINT (3731229.557432353 -2611909.452811819),98759.35356377129,10,10,10
MOZ,MZ,3450.0,33197.0,33197.0,chimbunila,13583.0,35.4094444,-13.3613888,3,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9418,POINT (3941761.319880732 -1501050.458067736),19218.599298631743,11,11,11
MOZ,MZ,3447.0,33152.0,33152.0,chimoio c.,13591.0,33.4607744,-19.1054879,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9383,POINT (3724836.367756604 -2167359.351277566),29026.518928370875,12,12,12
MOZ,MZ,3453.0,33238.0,33238.0,chinde,13584.0,36.4607823,-18.5846771,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9454,POINT (4058795.719560402 -2106098.868195672),45333.96864292119,13,13,13
MOZ,MZ,3449.0,33181.0,33181.0,chipene,13666.0,40.5188889,-13.6872221,3,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9403,POINT (4510542.079857225 -1538356.578398481),39697.35441273325,14,14,14
MOZ,MZ,3445.0,33131.0,33131.0,chissano,13570.0,33.3590514,-24.9349379,3,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9365,POINT (3713512.61519464 -2867755.324662815),26679.931567078787,15,15,15
MOZ,MZ,3452.0,33224.0,33224.0,chitima,13573.0,32.77194,-15.73722,3,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9442,POINT (3648155.673107714 -1774311.25624058),50144.7163643537,16,16,16
MOZ,MZ,3445.0,33129.0,33129.0,chivongoene,13606.0,33.7971594,-25.019535,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,19633,POINT (3762282.574667099 -2878144.249748333),0.0,17,17,18
MOZ,MZ,3445.0,33135.0,33135.0,chongoene,13720.0,33.7971594,-25.019535,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9368,POINT (3762282.574667099 -2878144.249748333),0.0,18,18,17
MOZ,MZ,3449.0,33190.0,33190.0,covo,13695.0,40.38833,-14.45583,3,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9410,POINT (4496008.329590695 -1626565.220567871),53689.73298310503,19,19,19
MOZ,MZ,3447.0,33158.0,33158.0,dacate,13684.0,33.0475,-20.2944443,3,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9389,POINT (3678830.871990708 -2307944.712582769),90935.44588861609,20,20,20
MOZ,MZ,3443.0,33108.0,33108.0,diaca,13671.0,39.9363023,-11.5353397,1,,,2007.0,,,0,0,,,0,0,,,0,0,,,1,9353,POINT (4445688.836202241 -1292872.024182833),24960.561548435384,21,21,21
