iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
RWA,RW,3913,38118,38118,apapec irebero,,30.07377,-1.920906,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,22619,POINT (3347796.762634027 -213874.3473898352),1453.2313988866015,0,0,0
RWA,RW,3913,38120,38120,ape rugunga,56568.0,30.0714885,-1.95716,1,,,2008,,,50,0,,,50,0,,,50,4,,,1,13252,POINT (3347542.787215782 -217912.4364988468),1372.59613473374,1,1,1
RWA,RW,3916,38139,38139,apefe mweya,,29.2559,-1.69784,3,,mapping,2014,8.0,18.0,45,0,0.0,0.0,45,4,0.0,0.044,45,12,0.0,0.022,1,22742,POINT (3256751.890698933 -189030.3511377491),2698.4631536700467,2,2,2
RWA,RW,3916,38137,38137,bigogwe,56549.0,29.4209845,-1.6284478,1,,,2008,,,57,2,,,57,52,,,57,50,,,1,13374,POINT (3275129.013176795 -181302.3907876798),4730.456211377435,3,3,3
RWA,RW,3916,38134,38134,bigugu,56517.0,29.2569444,-2.4344444,1,,,2008,,,55,1,,,55,13,,,55,8,,,1,13363,POINT (3256868.152775117 -271082.6884637758),7729.498692599159,4,4,4
RWA,RW,3916,38138,38138,bigutu,56558.0,28.98636,-2.49244,3,,,2008,,,62,17,,,62,30,,,62,36,,,1,13391,POINT (3226746.835150513 -277544.701271471),5877.466343688222,5,5,5
RWA,RW,3914,38121,38121,birwa i,,29.71921,-1.461381,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,34,0.0,0.06,50,27,0.0,0.02,1,22601,POINT (3308327.323978364 -162697.8302829679),3105.3474884279703,6,6,6
RWA,RW,3914,38121,38121,birwa ii,,29.72916,-1.420057,3,,mapping,2014,8.0,18.0,47,0,0.0,0.0,47,33,0.0,0.106,47,26,0.0,0.021,1,22602,POINT (3309434.952911757 -158096.2088527234),1885.8068841696524,7,7,7
RWA,RW,3915,38133,38133,bisika,56580.0,29.79088,-1.5963889,1,,,2008,,,60,23,,,60,25,,,60,3,,,1,13348,POINT (3316305.591883518 -177732.1966628603),2553.800040128182,8,8,8
RWA,RW,3914,38121,38121,buhita i,,29.90763,-1.485418,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,28,0.0,0.16,50,18,0.0,0.0,1,22603,POINT (3329302.142433633 -165374.5018899029),5583.471891841897,9,9,9
RWA,RW,3914,38121,38121,buhita ii,,29.87126,-1.45089,3,,mapping,2014,8.0,18.0,50,4,0.0,0.0,50,37,0.0,0.38,50,24,0.0,0.0,1,22604,POINT (3325253.452553481 -161529.6002498933),5583.471891841897,10,10,10
RWA,RW,3916,38137,38137,bukinanyana officiel,,29.46319,-1.623503,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,46,0.0,0.32,50,34,0.0,0.0,1,22702,POINT (3279827.30794547 -180751.7164425371),653.2627856282276,11,11,11
RWA,RW,3914,38123,38123,bukure,56501.0,30.208334,-1.801111,3,,,2008,,,60,21,,,60,21,,,60,4,,,1,13275,POINT (3362776.358593133 -200531.7889916871),3333.4866838581534,12,12,12
RWA,RW,3914,38125,38125,buramira,56586.0,29.9231,-1.6685500000000002,3,,,2008,,,61,12,,,61,46,,,61,39,,,1,13295,POINT (3331024.254956204 -185768.3957428253),1986.0436547935387,13,13,13
RWA,RW,3914,38121,38121,burera,,29.8352303,-1.4877669,1,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,46,0.0,0.38,50,36,0.0,0.02,1,22605,POINT (3321242.644696047 -165636.0682790327),0.0,14,14,15
RWA,RW,3914,38121,38121,burera,56484.0,29.8352303,-1.4877669,1,,,2008,,,70,3,,,70,65,,,70,50,,,1,13258,POINT (3321242.644696047 -165636.0682790327),0.0,15,15,14
RWA,RW,3913,38119,38119,busanza,,30.14797,-1.984556,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,22667,POINT (3356056.668850888 -220963.9504254901),2693.3184297133957,16,16,16
RWA,RW,3916,38139,38139,busasamana,56575.0,29.3196253,-1.6520509,1,,,2008,,,60,0,,,60,51,,,60,52,,,1,13396,POINT (3263845.758645581 -183930.9529225118),2835.518211923634,17,17,17
RWA,RW,3916,38136,38136,butezi,56545.0,29.62541,-1.883333,1,,,2008,,,60,27,,,60,34,,,60,4,,,1,13366,POINT (3297885.555741955 -209689.4341529721),1698.6943548181587,18,18,18
RWA,RW,3916,38140,38140,bweyeye ri,56591.0,29.216999,-2.6170001,3,,,2008,,,65,15,,,65,47,,,65,27,,,1,13405,POINT (3252421.451187583 -291424.4659122157),19355.368234725644,19,19,19
RWA,RW,3914,38121,38121,byumba,,29.83447,-1.521821,3,,mapping,2014,8.0,18.0,49,14,0.0,0.02,49,27,0.0,0.184,49,15,0.0,0.0,1,22606,POINT (3321158.008487196 -169428.2612151857),3793.137296863522,20,20,20
RWA,RW,3915,38133,38133,cukiro,56581.0,29.636499,-2.1159699,3,,,2008,,,61,48,,,61,9,,,61,2,,,1,13344,POINT (3299119.977575361 -235602.2531212607),6244.979350555654,21,21,21
RWA,RW,3912,38114,38114,cyambwe,56533.0,30.7867129,-2.0248778,1,,,2008,,,60,45,,,60,0,,,60,7,,,1,13196,POINT (3427161.203226706 -225455.3016914358),4968.433197934638,22,22,22
RWA,RW,3915,38128,38128,cyambwe kamonyi,56513.0,29.855101,-2.0617099,3,,,2008,,,60,23,,,60,8,,,60,0,,,1,13321,POINT (3323454.640901752 -229558.0410199138),7686.207436326334,23,23,23
RWA,RW,3915,38128,38128,cyeru,56514.0,29.8135266,-1.4933659,1,,,2008,,,60,36,,,60,6,,,60,1,,,1,13319,POINT (3318826.599863717 -166259.5570835068),2495.1975715625676,24,24,24
RWA,RW,3916,38141,38141,cyimbiri ps,,29.29091,-1.827524,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,45,0.0,0.4,50,48,0.0,0.34,1,22769,POINT (3260649.186071605 -203473.5454894553),50.74136676705933,25,25,25
RWA,RW,3912,38111,38111,dihiro,56478.0,30.201,-2.228,3,,,2008,,,62,26,,,62,4,,,62,2,,,1,13168,POINT (3361959.941447655 -248082.3549177863),8670.66308071487,26,26,26
RWA,RW,3912,38117,38117,duha complex school,,30.33887,-1.910795,3,,mapping,2014,8.0,18.0,50,4,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,22777,POINT (3377307.559643324 -212748.1664880697),1401.0157387244324,27,27,27
RWA,RW,3914,38124,38124,ecole apapep,,29.64495,-1.496614,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,6,0.0,0.02,50,6,0.0,0.0,1,22683,POINT (3300060.738592055 -166621.2570406078),2755.8296751075277,28,28,28
RWA,RW,3912,38113,38113,ep adelaide,,30.63824,-2.019164,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,6,0.0,0.0,50,2,0.0,0.0,1,22661,POINT (3410633.275602106 -224818.8480904977),4620.330898381955,29,29,29
RWA,RW,3915,38129,38129,ep budende,,29.80035,-1.871512,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,4,0.0,0.02,50,1,0.0,0.0,1,22677,POINT (3317359.78746133 -208372.8196955385),5161.066314942515,30,30,30
RWA,RW,3915,38127,38127,ep bunazi,,29.64675,-2.640621,3,,mapping,2014,8.0,18.0,50,2,0.0,0.0,50,36,0.0,0.1,50,2,0.0,0.0,1,22644,POINT (3300261.113675483 -294056.7025694085),4353.559603174631,31,31,31
RWA,RW,3914,38123,38123,ep bushara,,30.0729,-1.515283,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,33,0.0,0.1,50,9,0.0,0.0,1,22631,POINT (3347699.914677037 -168700.1986859825),1735.7482028025302,32,32,32
RWA,RW,3913,38120,38120,ep butamwa,56569.0,30.0246309,-2.0289808,1,,,2008,,,67,24,,,67,4,,,67,8,,,1,13251,POINT (3342326.623043987 -225912.3315195601),5227.7710644939925,33,33,33
RWA,RW,3914,38123,38123,ep cyankaranka,,30.03041,-1.586716,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,46,0.0,0.6000000000000001,50,32,0.0,0.0,1,22632,POINT (3342969.94951323 -176654.9987986344),3773.4464815936503,34,34,34
RWA,RW,3912,38113,38113,ep cyinzovu,,30.55407,-2.03734,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,2,0.0,0.0,50,3,0.0,0.0,1,22662,POINT (3401263.514062036 -226843.4595890068),5292.558946959672,35,35,35
RWA,RW,3912,38113,38113,ep gacaca,,30.6073,-2.08847,3,,mapping,2014,8.0,18.0,50,5,0.0,0.0,50,5,0.0,0.0,50,2,0.0,0.0,1,22663,POINT (3407189.050556961 -232538.9165194608),7814.249971147984,36,36,36
RWA,RW,3912,38113,38113,ep gahini,,30.48141,-1.84322,3,,mapping,2014,8.0,18.0,50,5,0.0,0.0,50,1,0.0,0.0,50,1,0.0,0.0,1,22664,POINT (3393175.039860997 -205221.7130704723),380.6564314894924,37,37,37
RWA,RW,3915,38133,38133,ep gako,,29.87345,-2.170656,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,4,0.0,0.0,50,0,0.0,0.0,1,22749,POINT (3325497.242238318 -241694.1440008543),4641.890220905748,38,38,38
RWA,RW,3913,38118,38118,ep gasanze,,30.1018,-1.876799,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,1,0.0,0.0,50,1,0.0,0.0,1,22620,POINT (3350917.047960963 -208961.6808432872),5819.834458045994,39,39,39
RWA,RW,3915,38132,38132,ep gasasa,,29.60144,-2.717534,3,,mapping,2014,8.0,18.0,50,4,0.0,0.0,50,43,0.0,0.32,50,19,0.0,0.0,1,22737,POINT (3295217.22754764 -302627.987538702),5473.906461915954,40,40,40
RWA,RW,3914,38122,38122,ep gikingo,,29.83211,-1.837754,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,3,0.0,0.0,50,7,0.0,0.0,1,22612,POINT (3320895.294488924 -204612.9266697905),5161.066314942515,41,41,41
RWA,RW,3913,38118,38118,ep gisozi ii,,30.06106,-1.923884,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,2,0.0,0.02,50,0,0.0,0.0,1,22621,POINT (3346381.891906044 -214206.0435185542),1453.2313988866015,42,42,42
RWA,RW,3914,38125,38125,ep gitete,,30.01042,-1.794391,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,19,0.0,0.06,50,0,0.0,0.0,1,22754,POINT (3340744.672892272 -199783.3536276604),7093.307247633604,43,43,43
RWA,RW,3915,38131,38131,ep gituza,,29.81198,-2.381027,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,2,0.0,0.0,50,2,0.0,0.0,1,22727,POINT (3318654.433139256 -265131.0361663915),7513.236266284938,44,44,44
RWA,RW,3912,38115,38115,ep gituza,,30.28668,-2.187517,3,,mapping,2014,8.0,18.0,50,9,0.0,0.0,50,12,0.0,0.0,50,4,0.0,0.0,1,22691,POINT (3371497.795418823 -243572.4602242064),7782.7188296382255,45,45,45
RWA,RW,3913,38120,38120,ep intwali,,30.05705,-1.969555,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,22732,POINT (3345935.500747964 -219293.0520913609),678.5113763456113,46,46,46
RWA,RW,3913,38118,38118,ep jurwe,,30.11439,-1.932024,3,,mapping,2014,8.0,18.0,50,5,0.0,0.0,50,2,0.0,0.0,50,0,0.0,0.0,1,22622,POINT (3352318.56035005 -215112.6974121662),1806.4197148903556,47,47,47
RWA,RW,3915,38129,38129,ep kabilizi,,29.74204,-1.75983,4,,mapping,2014,8.0,18.0,50,2,0.0,0.0,50,3,0.0,0.0,50,2,0.0,0.0,1,22678,POINT (3310868.747953174 -195934.1893119426),10978.803194349372,48,48,48
RWA,RW,3915,38126,38126,ep kabumbwe,,29.94296,-2.480491,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,6,0.0,0.0,50,1,0.0,0.0,1,22638,POINT (3333235.060043359 -276213.2911476679),6443.9391047995605,49,49,49
RWA,RW,3914,38124,38124,ep kamisave,,29.72024,-1.535857,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,37,0.0,0.12,50,15,0.0,0.0,1,22684,POINT (3308441.983053881 -170991.2979977073),3293.799022552251,50,50,50
RWA,RW,3913,38120,38120,ep kamuhoza,,30.04995,-1.957817,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,7,0.0,0.02,50,2,0.0,0.0,1,22733,POINT (3345145.132363331 -217985.6161085411),76.21224210969162,51,51,51
RWA,RW,3915,38128,38128,ep kamuzi,,29.92707,-1.941257,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,7,0.0,0.0,50,2,0.0,0.0,1,22649,POINT (3331466.193334654 -216141.0976848303),5177.30111752525,52,52,52
RWA,RW,3915,38126,38126,ep kansi i,,29.75183,-2.69917,3,,mapping,2014,8.0,18.0,50,2,0.0,0.0,50,24,0.0,0.02,50,0,0.0,0.0,1,22639,POINT (3311958.565768041 -300581.4303918349),2990.527357864789,53,53,53
RWA,RW,3914,38122,38122,ep kanyanza,,29.82247,-1.647707,3,,mapping,2014,8.0,18.0,50,1,0.0,0.0,50,12,0.0,0.0,50,2,0.0,0.0,1,22613,POINT (3319822.174597677 -183447.1916329505),4471.303643055441,54,54,54
RWA,RW,3913,38118,38118,ep kibagabaga,,30.20046,-1.905669,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,3,0.0,0.0,50,3,0.0,0.0,1,22623,POINT (3361899.828922627 -212177.2261585674),5133.882022285236,55,55,55
RWA,RW,3913,38120,38120,ep kimisagara,56570.0,30.0463012,-1.9527948,1,,,2008,,,59,2,,,59,1,,,59,2,,,1,13250,POINT (3344738.949805325 -217426.2216523928),691.3077664816333,56,56,56
RWA,RW,3915,38128,38128,ep masaka,,29.97581,-2.014654,3,,mapping,2014,8.0,18.0,50,2,0.0,0.0,50,7,0.0,0.0,50,1,0.0,0.0,1,22650,POINT (3336891.905315918 -224316.4859655347),406.14423171034304,57,57,57
RWA,RW,3916,38141,38141,ep maziba,,29.36247,-2.000452,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,48,0.0,0.62,50,47,0.0,0.26,1,22770,POINT (3268615.208832772 -222734.5555923989),1887.4305463171834,58,58,58
RWA,RW,3914,38122,38122,ep mbatabata,,29.78565,-1.572383,3,,mapping,2014,8.0,18.0,50,3,0.0,0.0,50,41,0.0,0.3,50,20,0.0,0.0,1,22614,POINT (3315723.390946669 -175058.8500241612),1592.5056703248986,59,59,59
RWA,RW,3916,38136,38136,ep mpara,,29.64985,-1.823687,3,,mapping,2014,8.0,18.0,50,12,0.0,0.0,50,15,0.0,0.0,50,2,0.0,0.0,1,22697,POINT (3300606.204096942 -203046.1956903071),4118.300997008816,60,60,60
RWA,RW,3913,38118,38118,ep muhima,56491.0,30.0530724,-1.9447361,1,,,2008,,,59,4,,,59,2,,,59,7,,,1,13229,POINT (3345492.716341384 -216528.6121252488),378.6666734099305,61,61,61
RWA,RW,3915,38132,38132,ep muhora,,29.54972,-2.69243,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,39,0.0,0.2,50,5,0.0,0.0,1,22738,POINT (3289459.783483812 -299830.3057728878),1823.1069041538801,62,62,62
RWA,RW,3915,38129,38129,ep muhororo,,29.67911,-1.846314,3,,mapping,2014,8.0,18.0,50,8,0.0,0.0,50,5,0.0,0.0,50,1,0.0,0.0,1,22679,POINT (3303863.412397554 -205566.3141772817),4118.300997008816,63,63,63
RWA,RW,3912,38114,38114,ep mukoma,,30.75355,-2.130538,3,,mapping,2014,8.0,18.0,50,5,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,22672,POINT (3423469.526085478 -237225.0807690996),5725.394467475211,64,64,64
