iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
SEN,SN,4127.0,40196.0,40196.0,agnam goly,,-13.6912718,16.0062771,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,1,,,1,29566,POINT (-1524105.405088306 1805449.701030583),5858.525348175379,0,0,222,True
SEN,SN,4119.0,40154.0,40154.0,ainoumadi,56637.0,-17.4676861,14.716677,2,,,2013.0,,,50,0,,,50,2,,,50,0,,,1,13424,POINT (-1944493.921988743 1656569.658712972),0.0,1,1,87,False
SEN,SN,4121.0,40170.0,40170.0,badoudou,,-16.40231,13.8533368,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29596,POINT (-1825896.797033419 1557395.611615767),13379.156089546637,2,2,224,True
SEN,SN,4130.0,40205.0,40205.0,balou,16232.0,-12.2404869,14.7428345,1,,,2008.0,,,0,0,,,0,0,,,0,0,,,1,13509,POINT (-1362604.768769736 1659580.445304214),73883.52753627242,3,3,225,True
SEN,SN,4129.0,40183.0,40183.0,bamacounda,,-15.619542,12.619389,3,,,2013.0,5.0,20.0,50,9,,,50,0,,,50,0,,,1,29625,POINT (-1738759.46186415 1416281.350337656),10424.38238244308,4,4,226,True
SEN,SN,4129.0,40183.0,40183.0,bambato,,-14.58898,12.517582,1,,,2013.0,5.0,20.0,51,37,,,51,2,,,51,1,,,1,29622,POINT (-1624037.824793252 1404669.997814594),79888.4235856436,5,5,227,True
SEN,SN,4121.0,40170.0,40170.0,bany,,-16.475487,13.76075,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29597,POINT (-1834042.823411199 1546782.220455493),10656.823224743841,6,6,228,True
SEN,SN,4129.0,40202.0,40202.0,barandama,,-15.783462,13.007633,1,,,2013.0,5.0,20.0,50,8,,,50,2,,,50,0,,,1,29546,POINT (-1757006.952794983 1460604.337611614),9226.267625213433,7,7,229,True
SEN,SN,4129.0,40183.0,40183.0,bindaba,,-15.8875,12.567903,3,,,2013.0,5.0,20.0,50,26,,,50,0,,,50,0,,,1,29623,POINT (-1768588.409978134 1410408.663543484),1583.6870637031102,8,8,230,True
SEN,SN,4122.0,40174.0,40174.0,bouleyda,,-15.5415755,14.105202,1,,,2013.0,5.0,20.0,50,0,,,50,1,,,50,1,,,1,29599,POINT (-1730080.270785216 1586288.868785379),20493.89014013299,9,9,231,True
SEN,SN,4119.0,40157.0,40157.0,cite touba fass mbao,,-17.343639,14.750597,3,,,2013.0,5.0,20.0,50,0,,,50,6,,,50,3,,,1,29588,POINT (-1930685.06198236 1660473.995935241),2612.840930123612,10,10,232,True
SEN,SN,4131.0,40221.0,40221.0,commune,,-16.9358604,14.7910052,2,,,2013.0,5.0,20.0,50,0,,,50,3,,,50,1,,,1,29645,POINT (-1885291.355873967 1665125.947266266),0.0,11,11,41,False
SEN,SN,4119.0,40157.0,40157.0,dalifort,,-17.4114955,14.7406998,1,,,2013.0,5.0,20.0,50,0,,,50,6,,,50,6,,,1,29590,POINT (-1938238.813009374 1659334.723027289),1979.8550042735853,12,12,234,True
SEN,SN,4131.0,40221.0,40221.0,darou houdoss,,-16.841974,15.110346,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29572,POINT (-1874839.969633553 1701920.411018247),9122.69931583916,13,13,235,True
SEN,SN,4123.0,40177.0,40177.0,darou salam,,-15.927125,13.919861,4,,,2013.0,5.0,20.0,50,0,,,50,1,,,50,0,,,1,29563,POINT (-1772999.444800817 1565024.010079064),7762.120985047076,14,14,236,True
