iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
SSD,SS,4575.0,44350.0,44350.0,abiriu pri,16315.0,29.427625,6.938401667,3,,,2016,,,45,3,,,45,0,,,45,0,,,1,13717,POINT (3275868.230255407 774274.078151081),24570.92463011372,0,0,830,True
SSD,SS,4578.0,44371.0,44371.0,abong primary school,,32.2086111,9.1566667,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36702,POINT (3585446.186810579 1023682.35918091),10819.690481956328,1,1,831,True
SSD,SS,4578.0,44372.0,44372.0,aburoc primary school,,32.0063,9.844183,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36707,POINT (3562925.018176752 1101281.123840767),0.0,2,2,80,False
SSD,SS,4576.0,44358.0,44358.0,abyei,56911.0,27.5119,8.8635397,3,,,2009,,,62,0,,,62,0,,,62,0,,,1,13777,POINT (3062610.698755463 990643.9033476267),1803.1250719695483,3,3,833,True
SSD,SS,4576.0,44360.0,44360.0,acen mac,56950.0,27.7069,8.65872,3,,,2009,,,57,1,,,57,0,,,57,0,,,1,13807,POINT (3084317.999460151 967574.2883035414),4957.265417644677,4,4,834,True
SSD,SS,4576.0,44360.0,44360.0,achuan,56951.0,27.678699,8.69279,3,,,2009,,,53,2,,,53,0,,,53,0,,,1,13804,POINT (3081178.67850029 971410.8420086202),4957.265417644677,5,5,835,True
SSD,SS,4578.0,44371.0,44371.0,adong girls primary school,,32.160118,9.239817,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,1,0.0,0.0,50,0,0.0,0.0,1,36703,POINT (3580047.959611591 1033059.184082413),10819.690481956328,6,6,836,True
SSD,SS,4576.0,44358.0,44358.0,adoor,56912.0,27.7537,8.9491196,3,,,2009,,,67,0,,,67,0,,,67,0,,,1,13786,POINT (3089527.751629277 1000286.882803612),4799.000852947416,7,7,837,True
SSD,SS,4576.0,44358.0,44358.0,ador agot,56913.0,27.528,8.8982697,3,,,2009,,,65,2,,,65,0,,,65,0,,,1,13775,POINT (3064402.942557235 994556.9412805456),0.0,8,8,9,False
SSD,SS,4576.0,44358.0,44358.0,ador agot,56913.0,27.528,8.8982697,3,,,2009,,,64,1,,,64,0,,,64,0,,,1,13778,POINT (3064402.942557235 994556.9412805456),0.0,9,9,8,False
SSD,SS,4575.0,44352.0,44352.0,aduel,16369.0,29.89597167,6.63203,3,,,2016,,,51,0,,,51,5,,,51,0,,,1,13727,POINT (3328004.343074533 739928.3417990408),10391.253170414782,10,10,840,True
SSD,SS,4579.0,44383.0,44383.0,agok ecs,,28.5794444,9.3647222,3,school,mapping,2018,9.0,15.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36745,POINT (3181449.197762674 1047148.859134778),2725.6574036774073,11,11,841,True
SSD,SS,4576.0,44361.0,44361.0,agoor,56960.0,26.7948,9.1096401,3,,,2009,,,64,1,,,64,0,,,64,0,,,1,13819,POINT (2982783.491907606 1018380.161260849),5209.76441685127,12,12,842,True
SSD,SS,4576.0,44358.0,44358.0,ajakriek,56914.0,27.7845,9.0450802,3,,,2009,,,61,0,,,61,0,,,61,0,,,1,13772,POINT (3092956.39194571 1011102.238596063),9142.119712717096,13,13,843,True
SSD,SS,4574.0,44344.0,44344.0,ajiengo,16360.0,34.19153,7.048823333,3,,,2016,,,48,32,,,48,0,,,48,6,,,1,13709,POINT (3806183.709042937 786658.3057165584),4929.689946803528,14,14,844,True
SSD,SS,4578.0,44371.0,44371.0,ajuba primary school,,32.0376665,9.291867,3,school,mapping,2018,10.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36704,POINT (3566416.720984719 1038929.966435395),2247.950961365416,15,15,845,True
SSD,SS,4576.0,44360.0,44360.0,akac,56952.0,27.7129,8.5656605,3,,,2009,,,62,7,,,62,0,,,62,0,,,1,13801,POINT (3084985.916404911 957096.8126383689),10498.74322761435,16,16,846,True
