iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
TCD,TD,1163,10666,10666,a koko,10800.0,19.2294444,17.9477778,3,,,2015.0,,,50,0,,,50,1,,,50,0,,,1,14274,POINT (2140611.958845566 2031436.932263128),2891.8181638463416,0,0,0
TCD,TD,1163,10666,10666,a younousmi,10801.0,19.1841667,18.0533333,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14272,POINT (2135571.668337275 2043792.058737442),13343.675603231064,1,1,1
TCD,TD,1187,10703,10703,act gore nord,101155.0,16.635025,7.928886,2,,,2015.0,11.0,0.0,50,1,,,50,0,,,50,0,,,1,568,POINT (1851802.512333376 885470.2731030141),0.0,2,2,127
TCD,TD,1175,10716,10716,aeroport,11037.0,14.9208333,9.3813889,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14444,POINT (1660979.565167319 1049029.293643818),1665.5229785843721,3,3,3
TCD,TD,1162,10664,10664,al nour de yao,11052.0,17.3144444,13.1105556,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14265,POINT (1927435.133976447 1472365.811454983),3807.4815309925643,4,4,4
TCD,TD,1176,10719,10719,ala roro,101335.0,19.0762329,9.7040414,1,,,2015.0,10.0,0.0,50,1,,,50,0,,,50,0,,,1,603,POINT (2123556.532681893 1085450.84700353),31017.159668589742,5,5,5
TCD,TD,1168,10685,10685,alcam,10937.0,15.9247222,12.9952778,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14345,POINT (1772731.966328339 1459192.776756506),17894.562838472444,6,6,6
TCD,TD,1169,10687,10687,alfallah,10932.0,15.3088889,14.1347222,3,,,2015.0,,,50,0,,,50,0,,,50,8,,,1,14354,POINT (1704177.716958798 1589677.420500716),432.592247536908,7,7,7
TCD,TD,1168,10686,10686,alfatah,10942.0,15.7344444,12.9991667,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14348,POINT (1751550.338523075 1459637.069473015),503.15236528050684,8,8,8
TCD,TD,1168,10685,10685,alhidaya,10938.0,15.7683333,12.8505556,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14341,POINT (1755322.833614619 1442663.719515944),1577.337652140941,9,9,9
TCD,TD,1180,10733,10733,alhouda,10840.0,20.8,9.9481468,1,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14515,POINT (2315445.40850009 1113029.123258511),11795.123813779093,10,10,10
TCD,TD,1183,10741,10741,alhouda,10839.0,22.1061111,14.5130556,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14533,POINT (2460841.031071533 1633144.669427295),112504.06424373311,11,11,11
TCD,TD,1181,10737,10737,alnahda,10883.0,16.2955556,9.4013889,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14528,POINT (1814012.951585478 1051285.929850311),570.5423508884767,12,12,12
TCD,TD,1168,10683,10683,alwihda,10746.0,17.05876,12.3783745,1,,,2015.0,,,50,1,,,50,0,,,50,0,,,1,14331,POINT (1898972.476764663 1388800.42563765),207.47726694028825,13,13,13
TCD,TD,1186,10725,10725,am dam centre,10674.0,20.4671728,12.7658352,1,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14493,POINT (2278395.254073939 1432992.032525419),0.0,14,14,15
TCD,TD,1186,10725,10725,am dam zeribe,10675.0,20.4671728,12.7658352,1,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14489,POINT (2278395.254073939 1432992.032525419),0.0,15,15,14
TCD,TD,1167,10680,10680,am lagadib,10917.0,19.6186111,12.3472222,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14319,POINT (2183933.797723264 1385250.244025177),11668.487254780532,16,16,16
TCD,TD,1168,10684,10684,ambedane,10927.0,15.5219444,13.1755556,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14337,POINT (1727894.946729505 1479796.215452093),27522.876675713527,17,17,17
TCD,TD,1166,10675,10675,amdjarass centre,10679.0,22.8372222,16.0661111,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14303,POINT (2542227.946436843 1812380.070617481),652.5901429620536,18,18,18
TCD,TD,1168,10685,10685,amitie,10939.0,15.7380556,12.8266667,3,,,2015.0,,,50,1,,,50,0,,,50,0,,,1,14342,POINT (1751952.335468228 1439936.231659725),3237.86014596875,19,19,19
TCD,TD,1179,10728,10728,amsiogo,10644.0,20.8297222,13.8338889,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14501,POINT (2318754.068669346 1555165.913980579),769.9029178495174,20,20,20
