iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
TGO,TG,5019,48681,48681,abate kope,58051.0,1.3,6.266667,2,,,2009,,,15,6,,,15,0,,,15,0,,,1,15001,POINT (144715.3380312556 698997.2171526393),1707.038150510426,0,0,0
TGO,TG,5021,48699,48699,abi,57789.0,1.2333,7.4716001,3,,,2009,,,15,7,,,15,0,,,15,0,,,1,15437,POINT (137290.3279953443 834102.0937091049),659.8428692912481,1,1,1
TGO,TG,5019,48683,48683,abobo,58155.0,1.374608,6.2409401,3,,,2009,,,15,0,,,15,0,,,15,1,,,1,15064,POINT (153020.6626003602 696116.1669042101),186.06387249799965,2,2,2
TGO,TG,5019,48683,48683,abobo kpeguede,58156.0,1.375263,6.2468028,3,,,2009,,,15,1,,,15,0,,,15,0,,,1,15080,POINT (153093.5768668298 696772.6942181019),54.81294740299051,3,3,3
TGO,TG,5019,48682,48682,abossehoe,58123.0,1.576753,6.7550702,3,,,2009,,,15,8,,,15,0,,,15,0,,,1,15049,POINT (175523.3410667665 753719.1179184139),81.43141901502443,4,4,4
TGO,TG,5021,48700,48700,abrewankor efako,58082.0,0.59854198,7.6421671,3,,,2009,,,15,11,,,15,0,,,15,0,,,1,15495,POINT (66629.38843199774 853255.8873581884),73.92022972619786,5,5,5
TGO,TG,5018,48676,48676,adabawere,,1.169057,9.548097,3,,sentinel site,2015,6.0,9.0,15,0,0.0,0.0,15,0,0.0,0.0,15,0,0.0,0.0,1,21368,POINT (130138.829948312 1067843.276536742),0.0,6,6,7
TGO,TG,5018,48676,48676,adabawere,57622.0,1.169057,9.548097,3,,,2009,,,15,2,,,15,0,,,15,0,,,1,14901,POINT (130138.829948312 1067843.276536742),0.0,7,7,6
TGO,TG,5019,48682,48682,adabiam,58124.0,1.598393,6.6483722,3,,,2009,,,15,10,,,15,0,,,15,0,,,1,15055,POINT (177932.2948475329 741759.8330575381),432.1427983137389,8,8,8
TGO,TG,5020,48685,48685,adamavo mayakope,57475.0,1.3037051,6.1781079,1,,,2009,,,15,2,,,15,0,,,15,0,,,1,15112,POINT (145127.7878765938 689080.4394089214),270.88152143227575,9,9,9
TGO,TG,5019,48680,48680,adame,57749.0,1.7833329999999998,6.333333,1,,,2009,,,15,4,,,15,2,,,15,0,,,1,14987,POINT (198519.7214748409 706463.5321636322),281.70104665970894,10,10,10
TGO,TG,5019,48683,48683,adangbe kpeve,58157.0,1.3,6.533333,1,,,2009,,,15,11,,,15,0,,,15,0,,,1,15085,POINT (144715.3380312556 728868.5283778585),3492.0779426400736,11,11,11
TGO,TG,5019,48683,48683,adangbe lakoto,58158.0,1.289642,6.562809,3,,,2009,,,15,9,,,15,0,,,15,0,,,1,15079,POINT (143562.2907456189 732171.3274401475),9.559045171701225,12,12,12
TGO,TG,5019,48677,48677,adekpui,57214.0,0.81193298,6.4865422,3,,,2009,,,15,1,,,15,0,,,15,0,,,1,14914,POINT (90383.96589186517 723625.9974417621),34.25289603247468,13,13,13
TGO,TG,5017,48667,48667,adeli,57859.0,0.77292001,8.6916647,3,,,2009,,,15,3,,,15,0,,,15,0,,,1,14585,POINT (86041.06193713192 971284.1186919857),313.3495135731274,14,14,14
TGO,TG,5021,48690,48690,adiva,57149.0,1.020313,7.5116172,3,,,2009,,,15,4,,,15,0,,,15,0,,,1,15166,POINT (113580.7236097573 838595.1297005122),25.933564867800047,15,15,15
TGO,TG,5021,48694,48694,adjagouda,57487.0,1.275058,8.3479404,3,,,2009,,,15,8,,,15,0,,,15,0,,,1,15291,POINT (141938.8072918898 932593.8870902689),877.0196988742645,16,16,16
TGO,TG,5021,48690,48690,adjahoun,57150.0,0.92177802,7.4788852,3,,,2009,,,15,4,,,15,0,,,15,0,,,1,15187,POINT (102611.8598108319 834920.0187387865),12.402676870806355,17,17,17
TGO,TG,5018,48676,48676,adjamoulakou,57623.0,1.1832,9.5263004,3,,,2009,,,15,0,,,15,0,,,15,0,,,1,14866,POINT (131713.2215066013 1065382.883136766),167.5546200442129,18,18,18
TGO,TG,5021,48690,48690,adjeassi woewoe,57151.0,1.09763,7.7281299,3,,,2009,,,15,5,,,15,0,,,15,0,,,1,15160,POINT (122187.6126794209 862911.9552109021),2139.6745347073106,19,19,19
TGO,TG,5017,48667,48667,adjengre,57860.0,1.0100729,8.6528282,3,,,2009,,,15,1,,,15,0,,,15,0,,,1,14593,POINT (112440.8008920851 966910.8599092891),71.97595620815785,20,20,20
TGO,TG,5017,48667,48667,adjengre piyow,57861.0,1.014713,8.6636152,3,,,2009,,,15,2,,,15,0,,,15,0,,,1,14603,POINT (112957.334461315 968125.5054577539),31.792721293872003,21,21,21
TGO,TG,5021,48692,48692,adjibarou,57270.0,1.331743,7.858346,3,,,2009,,,15,6,,,15,0,,,15,0,,,1,15246,POINT (148248.9526275065 877542.6799501757),33.668950793479056,22,22,22
TGO,TG,5017,48666,48666,adjigbe,57325.0,0.97911,8.242775,3,,,2009,,,15,0,,,15,0,,,15,0,,,1,14549,POINT (108994.0266306021 920763.1472723056),2559.046177588607,23,23,23
TGO,TG,5021,48699,48699,adjigo,57790.0,1.422612,7.677237,3,,,2009,,,15,4,,,15,0,,,15,0,,,1,15430,POINT (158364.4434364005 857194.9987688389),115.06510132094876,24,24,24
TGO,TG,5021,48695,48695,adjivou,57522.0,1.417545,6.9702382,3,,,2009,,,15,1,,,15,0,,,15,0,,,1,15314,POINT (157800.387576551 777844.3714931265),37.23404566613362,25,25,25
TGO,TG,5018,48670,48670,adjoda,57198.0,1.20619,9.2532225,3,,,2009,,,15,1,,,15,0,,,15,0,,,1,14717,POINT (134272.4565999387 1034571.123465838),27.733966481237434,26,26,26
TGO,TG,5021,48694,48694,adjogba,57488.0,1.580005,8.2285032,3,,,2009,,,15,7,,,15,0,,,15,0,,,1,15274,POINT (175885.3520508262 919157.8629784021),35.91719684269891,27,27,27
TGO,TG,5017,48669,48669,adjorogo,57964.0,1.129938,8.9436598,3,,,2009,,,15,2,,,15,0,,,15,0,,,1,14697,POINT (125784.12278797 999671.6154776689),38.24604990049589,28,28,28
TGO,TG,5019,48680,48680,adjove,57750.0,1.653302,6.309834,3,,,2009,,,15,13,,,15,1,,,15,0,,,1,14975,POINT (184044.7367675008 703831.6322889784),74.78225811925942,29,29,29
TGO,TG,5021,48697,48697,adjra,57715.0,0.75257701,6.985898,3,,,2009,,,15,6,,,15,0,,,15,0,,,1,15398,POINT (83776.48953592435 779600.6214810464),2768.6176852672284,30,30,30
TGO,TG,5021,48699,48699,adogbenou,57791.0,1.429657,7.739027,3,,,2009,,,15,6,,,15,0,,,15,0,,,1,15440,POINT (159148.6892490391 864136.1494872117),115.78644771846616,31,31,31
TGO,TG,5021,48699,48699,adokame,57792.0,1.2716,7.4091001,3,,,2009,,,15,3,,,15,0,,,15,0,,,1,15434,POINT (141553.8644927267 827085.5473533975),2654.4418186229473,32,32,32
TGO,TG,5019,48683,48683,adokpoe,58159.0,1.1839047,6.6336818,1,,,2009,,,15,9,,,15,0,,,15,0,,,1,15110,POINT (131791.6683517633 740113.45837615),650.9026139599944,33,33,33
TGO,TG,5021,48700,48700,adonsso,58083.0,0.69264698,7.5513701,3,,,2009,,,15,6,,,15,0,,,15,0,,,1,15490,POINT (77105.10911309875 843058.9115779822),16.498813342579243,34,34,34
TGO,TG,5021,48689,48689,adrakpo,57113.0,0.7761080300000001,6.6198082,3,,,2009,,,15,2,,,15,0,,,15,0,,,1,15133,POINT (86395.9507001707 738558.668744701),94.61074686558007,35,35,35
