iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
ZMB,ZM,5335.0,50876.0,50876.0,batunga,59914.0,26.133333,-15.533333,1,,,2005,,,61,51,,,61,0,,,61,0,,,2,18321,POINT (2909149.322291052 -1750742.52727827),16654.190226022205,0,0,0
ZMB,ZM,5339.0,53177.0,53177.0,bbakasa,59902.0,28.7857,-16.360500000000002,3,,,2005,,,72,1,,,72,1,,,72,0,,,2,18354,POINT (3204409.466127935 -1846508.668059606),14020.947137893148,1,1,1
ZMB,ZM,5337.0,50837.0,50837.0,chamanda,59871.0,32.740101,-13.3024,3,,,2002,,,54,25,,,54,0,,,54,0,,,2,18284,POINT (3644611.371840347 -1494301.987759236),7811.176808705324,2,2,2
ZMB,ZM,5335.0,50823.0,50823.0,changachanga basic,59959.0,27.451799,-15.5184,3,,,2005,,,62,19,,,62,4,,,62,0,,,2,18260,POINT (3055920.286039297 -1749017.236971028),11416.56312762301,3,3,3
ZMB,ZM,5342.0,50877.0,50877.0,chawila,59936.0,26.2894,-16.5011,3,,,2005,,,61,0,,,61,1,,,61,0,,,2,18330,POINT (2926522.621260686 -1862826.583109914),3483.3063754164614,4,4,4
ZMB,ZM,5337.0,50837.0,50837.0,chikoka,59872.0,32.686901,-13.3512,3,,,2002,,,53,26,,,53,0,,,53,0,,,2,18275,POINT (3638689.174930145 -1499884.715468454),8138.750820518597,5,5,5
ZMB,ZM,5342.0,50874.0,50874.0,chilube community,59904.0,27.194599,-16.7936,3,,,2005,,,61,4,,,61,0,,,61,0,,,2,18306,POINT (3027288.913007267 -1896812.037047989),18496.06228288735,6,6,6
ZMB,ZM,5337.0,50837.0,50837.0,chingazi,59873.0,32.3386,-13.8725,3,,,2002,,,66,36,,,66,1,,,66,0,,,2,18289,POINT (3599916.484967356 -1559592.851025352),6054.53259842858,7,7,7
ZMB,ZM,5337.0,50837.0,50837.0,chipangali,59874.0,32.763401,-13.2175,3,,,2002,,,45,27,,,45,1,,,45,1,,,2,18281,POINT (3647205.115975831 -1484592.090745901),8308.231213939434,8,8,8
ZMB,ZM,5337.0,50837.0,50837.0,chipata,59875.0,32.6447001,-13.6445104,1,,,2002,,,60,33,,,60,0,,,60,2,,,2,18264,POINT (3633991.392231127 -1533463.408141054),633.9787403152319,9,9,9
ZMB,ZM,5337.0,50837.0,50837.0,dzoole,59876.0,32.857201,-13.4181,3,,,2002,,,40,12,,,40,0,,,40,0,,,2,18261,POINT (3657646.88421224 -1507539.921101498),3732.425174516847,10,10,10
ZMB,ZM,5342.0,50877.0,50877.0,goodhope basic,59937.0,26.3403,-17.0468,3,,,2005,,,58,4,,,58,0,,,58,0,,,2,18332,POINT (2932188.783342064 -1926273.51621894),6973.379634168896,11,11,11
ZMB,ZM,5342.0,53186.0,53186.0,habeenzu middle basic,59966.0,27.4375,-16.7748,3,,,2005,,,60,4,,,60,0,,,60,1,,,2,18358,POINT (3054328.528640443 -1894626.108216791),14089.423181862288,12,12,12
ZMB,ZM,5335.0,50876.0,50876.0,habulile community,59915.0,26.3098,-16.2154,3,,,2005,,,55,11,,,55,0,,,55,0,,,2,18318,POINT (2928793.538872869 -1829680.806876677),8734.303181090265,13,13,13
ZMB,ZM,5342.0,50874.0,50874.0,hamubwatu,59905.0,26.9285,-16.4495,3,,,2005,,,59,3,,,59,0,,,59,0,,,2,18302,POINT (2997666.907826667 -1856836.559259254),12061.189714215343,14,14,14
ZMB,ZM,5337.0,50837.0,50837.0,hillside,59877.0,32.643501,-13.6391,3,,,2002,,,63,31,,,63,2,,,63,1,,,2,18286,POINT (3633857.909029717 -1532843.641025023),633.9787403152319,15,15,15
ZMB,ZM,5342.0,50877.0,50877.0,inkumbi basic,59938.0,26.3277,-17.1521,3,,,2005,,,61,4,,,61,0,,,61,0,,,2,18329,POINT (2930786.157758068 -1938537.583381115),12344.014820439446,16,16,16
ZMB,ZM,5335.0,50876.0,50876.0,itezhizhi basic,59916.0,26.0542,-16.0468,3,,,2005,,,59,15,,,59,2,,,59,0,,,2,18317,POINT (2900340.277026108 -1810143.103896789),3693.9207824991418,17,17,17
ZMB,ZM,5342.0,50878.0,50878.0,james siachitema,59946.0,25.5044,-17.2594,3,,,2005,,,62,6,,,62,0,,,62,0,,,2,18338,POINT (2839136.820987966 -1951041.744526359),21520.754798996008,18,18,18
ZMB,ZM,5342.0,50880.0,50880.0,kaabo mid basic,59954.0,27.556101,-15.487,3,,,2005,,,59,14,,,59,0,,,59,0,,,2,18339,POINT (3067531.131568017 -1745389.832155557),2488.959117714523,19,19,19
ZMB,ZM,5335.0,50876.0,50876.0,kaanzwa middle basic,59917.0,26.0623,-15.3864,3,,,2005,,,60,36,,,60,0,,,60,1,,,2,18322,POINT (2901241.964901534 -1733771.976851525),3572.3833926786538,20,20,20
ZMB,ZM,5342.0,50883.0,50883.0,kabbila community,59972.0,28.7302,-16.4692,3,,,2005,,,59,8,,,59,2,,,59,1,,,2,18344,POINT (3198231.234388908 -1859123.259958338),10701.604242793623,21,21,21
ZMB,ZM,5343.0,53194.0,53194.0,kabilulwe,59965.0,25.3333,-14.7833,3,,,2007,,,51,18,,,51,0,,,51,0,,,1,18364,POINT (2820090.056113238 -1664238.827488224),86386.37567902719,22,22,22
ZMB,ZM,5335.0,50876.0,50876.0,kabombo community,59918.0,26.155199,-16.1966,3,,,2005,,,41,14,,,41,0,,,41,0,,,2,18313,POINT (2911583.434276738 -1827501.400561867),16300.494617869752,23,23,23
ZMB,ZM,5335.0,50876.0,50876.0,kachinka basic,59919.0,26.0695,-16.0185,3,,,2005,,,60,38,,,60,0,,,60,0,,,2,18323,POINT (2902043.465235245 -1806865.26914323),3693.9207824991418,24,24,24
ZMB,ZM,5342.0,50881.0,50881.0,kangila basic,59957.0,27.4641,-16.0186,3,,,2005,,,60,18,,,60,0,,,60,0,,,2,18342,POINT (3057289.627095545 -1806876.850779382),49276.176054371695,25,25,25
ZMB,ZM,5337.0,50837.0,50837.0,kanzutu,59878.0,32.4076,-13.6624,3,,,2002,,,27,16,,,27,0,,,27,0,,,2,18277,POINT (3607597.529832093 -1535512.782169034),4276.428679482355,26,26,26
ZMB,ZM,5337.0,50837.0,50837.0,kapara,59879.0,32.516667,-13.516667,1,,,2002,,,60,38,,,60,0,,,60,0,,,2,18266,POINT (3619738.812734443 -1518822.594417352),6844.400157329429,27,27,27
ZMB,ZM,5337.0,50837.0,50837.0,kapatamoyo,59880.0,32.6666669,-13.566667,1,,,2002,,,48,18,,,48,0,,,48,1,,,2,18272,POINT (3636436.725221484 -1524547.728478303),6428.259907887277,28,28,28
ZMB,ZM,5337.0,50837.0,50837.0,kapita,59881.0,32.4547,-13.5183,3,,,2002,,,68,35,,,68,0,,,68,0,,,2,18283,POINT (3612840.677848456 -1519009.558299531),6900.668112473453,29,29,29
ZMB,ZM,5335.0,50876.0,50876.0,kaponde,59920.0,26.1841,-16.0587,3,,,2005,,,60,34,,,60,0,,,60,0,,,2,18311,POINT (2914800.678880155 -1811521.555069842),13580.408632004463,30,30,30
ZMB,ZM,5343.0,53192.0,53192.0,kasaya mid basic,59962.0,25.0328,-17.2842,3,,,2005,,,61,6,,,61,0,,,61,0,,,2,18363,POINT (2786638.549129859 -1953932.835766104),25459.632419143316,31,31,31
ZMB,ZM,5337.0,50837.0,50837.0,kasenengwa,59882.0,32.32,-13.7156,3,,,2002,,,69,51,,,69,0,,,69,0,,,2,18268,POINT (3597845.942438602 -1541608.119998582),10767.06456647997,32,32,32
