iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
ZWE,ZW,5549.0,52902.0,52902.0,aisleby,18052.0,28.5823513,-20.0661435,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18375,POINT (3181772.792390461 -2280868.180929952),1629.697644530502,0,0,0
ZWE,ZW,5549.0,52902.0,52902.0,baines infant,18053.0,28.5832632,-20.1338602,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18367,POINT (3181874.304634115 -2288895.265741408),5045.549020743963,1,1,1
ZWE,ZW,5551.0,52907.0,52907.0,bandanyenje,18197.0,31.9627778,-18.8630556,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18409,POINT (3558080.149034549 -2138819.546614473),15362.277393444476,2,2,2
ZWE,ZW,5550.0,52903.0,52903.0,batanai,18136.0,31.0171812,-17.8852773,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18378,POINT (3452816.817026698 -2024124.811882706),3618.356274577675,3,3,3
ZWE,ZW,5553.0,52926.0,52926.0,beatrice township,18274.0,30.8527655,-18.251033,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18434,POINT (3434514.145024279 -2066952.544092685),29377.044463044265,4,4,4
ZWE,ZW,5552.0,52916.0,52916.0,bemberi,18231.0,31.36847,-16.7639,3,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18420,POINT (3491922.107364079 -1893358.833615118),16301.327335285363,5,5,5
ZWE,ZW,5556.0,52946.0,52946.0,bidi,18219.0,28.33297,-21.202,3,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18467,POINT (3154011.793061096 -2415981.292804563),24903.55927761981,6,6,6
ZWE,ZW,5554.0,52930.0,52930.0,bumbe,18180.0,30.415,-18.5841667,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18440,POINT (3385782.312477415 -2106038.924995167),14462.12695931123,7,7,7
ZWE,ZW,5551.0,52908.0,52908.0,burma valley,,32.783298,-19.1833,3,,,1982.0,16.0,99.0,200,177,,,200,87,,,200,27,,,3,29418,POINT (3649420.039884144 -2176528.451695765),9478.860541652391,8,8,8
ZWE,ZW,5556.0,52941.0,52941.0,chaswingo,18031.0,30.0647222,-19.9586111,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,20163,POINT (3346789.566145227 -2268128.487631693),24726.65915094831,9,9,9
ZWE,ZW,5555.0,52934.0,52934.0,chedutu,18034.0,31.2944444,-20.6088889,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,20138,POINT (3483681.615266412 -2345303.4011345),37093.09331102119,10,10,10
ZWE,ZW,5555.0,52939.0,52939.0,chesvingo,18256.0,31.4727778,-19.5486111,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,20157,POINT (3503533.598545845 -2219633.683381753),3423.261740778736,11,11,11
ZWE,ZW,5552.0,52918.0,52918.0,chihuri,18278.0,31.42212,-16.89432,3,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18423,POINT (3497894.398045137 -1908526.727895903),16301.327335285363,12,12,12
ZWE,ZW,5550.0,52903.0,52903.0,chinamano,18137.0,31.0497152,-17.8173117,2,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18387,POINT (3456438.485340167 -2016176.233731968),1208.276676231952,13,13,13
ZWE,ZW,5558.0,52956.0,52956.0,chinyenyetu,18110.0,29.0166667,-17.8833333,2,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18474,POINT (3230120.561562137 -2023897.418833123),60349.210147508944,14,14,14
ZWE,ZW,5555.0,52934.0,52934.0,chinyika,18035.0,31.4572222,-19.5236111,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,20137,POINT (3501801.957074861 -2216680.695274454),3423.261740778736,15,15,15
ZWE,ZW,5555.0,52940.0,52940.0,chipinda,18295.0,31.9333333,-21.3,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18459,POINT (3554802.402287886 -2427686.543624181),36700.850163776624,16,16,16
ZWE,ZW,5558.0,52956.0,52956.0,chireya,18111.0,28.60325,-17.54927,3,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18475,POINT (3184099.225032702 -1984858.15975367),60349.210147508944,17,17,17
ZWE,ZW,5550.0,52903.0,52903.0,chirodzo,18138.0,31.0308888,-17.8572269,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,20037,POINT (3454342.740078696 -2020843.94904358),1053.132777025637,18,18,18
ZWE,ZW,5551.0,52906.0,52906.0,chisumbanje,18085.0,32.2285171,-20.7683931,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18406,POINT (3587662.11259431 -2364283.26887918),21890.115588833738,19,19,19
ZWE,ZW,5550.0,52903.0,52903.0,chizungu,18139.0,31.1630513,-17.906642,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18390,POINT (3469055.002280662 -2026624.041984864),1085.9769730770765,20,20,20
ZWE,ZW,5550.0,52903.0,52903.0,courteney selous,18140.0,31.0594431,-17.8218953,2,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,20041,POINT (3457521.390214654 -2016712.190408518),1208.276676231952,21,21,21
ZWE,ZW,5553.0,52920.0,52920.0,crowhill,18116.0,31.1332342,-17.7161878,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18428,POINT (3465735.77789173 -2004355.395362058),3804.9836404222388,22,22,22
ZWE,ZW,5550.0,52903.0,52903.0,daniel academy,18141.0,31.03351,-17.8251657,2,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18383,POINT (3454634.530727963 -2017094.604086868),0.0,23,23,95
ZWE,ZW,5553.0,52920.0,52920.0,domboshawa,18117.0,31.14324,-17.61179,1,,,2010.0,,,0,0,,,0,0,,,0,0,,,1,18427,POINT (3466849.618452709 -1992158.845199359),12247.304873583611,24,24,24
