iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
TZZ,ZZ,5442,51893,51893,bagamoyo,18025.0,39.7504425,-5.106498,1,,,2011.0,,,86,61,,,86,48,,,86,78,,,1,16051,POINT (4424999.0179073 -569206.8203253439),2733.4170023856263,0,0,78,True
TZZ,ZZ,5444,51897,51897,chambani,18019.0,39.7845701,-5.3279782,1,,,2011.0,,,102,65,,,102,54,,,102,85,,,1,16105,POINT (4428798.084961297 -593964.4678288719),3516.291168295088,1,1,79,True
TZZ,ZZ,5444,51896,51896,chanjamjawiri,17983.0,39.7607472,-5.2909205,1,,,2011.0,,,100,35,,,100,41,,,100,77,,,1,20008,POINT (4426146.131864077 -589821.4476292403),2735.2532640889553,2,2,80,True
TZZ,ZZ,5443,51895,51895,fujoni,17995.0,39.2005218,-6.0049053,1,,,2011.0,,,107,29,,,107,15,,,107,53,,,1,16078,POINT (4363782.12560662 -669690.1228397943),4428.793215414766,3,3,81,True
TZZ,ZZ,5446,51900,51900,fuoni,18006.0,39.266701,-6.1999998,3,,,2011.0,,,113,5,,,113,10,,,113,22,,,1,16122,POINT (4371149.160451726 -691531.7216904215),5874.147726326726,4,4,82,True
TZZ,ZZ,5445,51899,51899,jambiani,18002.0,39.5446313,-6.3158921,1,,,2011.0,,,106,2,,,106,2,,,106,17,,,1,16112,POINT (4402088.219923748 -704510.1311133455),10376.247121494718,5,5,83,True
TZZ,ZZ,5442,51893,51893,kangagani,18026.0,39.8263986,-5.167987,1,,,2011.0,,,100,26,,,100,51,,,100,93,,,1,16061,POINT (4433454.412281943 -576079.3512814224),6122.242808295459,6,6,84,True
TZZ,ZZ,5442,51892,51892,kinowe,18010.0,39.75,-4.9666666,3,,,2011.0,,,99,70,,,99,65,,,99,86,,,1,16038,POINT (4424949.759032625 -553580.5206344754),2787.5412743169,7,7,85,True
TZZ,ZZ,5443,51894,51894,kinyasini,17990.0,39.3089485,-5.9697735,1,,,2011.0,,,102,7,,,102,15,,,102,61,,,1,16076,POINT (4375852.130639015 -665757.8178435159),7430.021463039642,8,8,86,True
TZZ,ZZ,5443,51894,51894,kitope,17991.0,39.251667,-6.0157708,1,,,2011.0,,,115,33,,,115,55,,,115,79,,,1,16070,POINT (4369475.58322714 -670906.350348621),1523.1043860442164,9,9,87,True
TZZ,ZZ,5442,51893,51893,kiuyu minungwini,18027.0,39.8643411,-4.9483484,1,,,2011.0,,,100,59,,,100,52,,,100,86,,,1,20004,POINT (4437678.152061366 -551533.6908657111),8521.794714503083,10,10,88,True
TZZ,ZZ,5442,51893,51893,kizimbani,18028.0,39.734474,-5.055479,1,,,2011.0,,,100,29,,,100,46,,,100,70,,,1,16058,POINT (4423221.412618567 -563505.0057930176),5276.179079695591,11,11,89,True
TZZ,ZZ,5446,51900,51900,kombeni,18007.0,39.2555847,-6.2525294,1,,,2011.0,,,100,3,,,100,5,,,100,22,,,1,16119,POINT (4369911.699596221 -697413.9876386917),5907.385466524248,12,12,90,True
TZZ,ZZ,5442,51892,51892,konde a,18011.0,39.8630553,-5.0791171,1,,,2011.0,,,100,42,,,100,53,,,100,66,,,1,16040,POINT (4437535.017460105 -566146.7118049093),8460.168867462702,13,13,91,True
TZZ,ZZ,5442,51892,51892,konde b,18012.0,39.7433571,-4.9426131,1,,,2011.0,,,101,65,,,101,47,,,101,88,,,1,16041,POINT (4424210.274787233 -550892.8544708982),2787.5412743169,14,14,92,True
TZZ,ZZ,5443,51895,51895,mahonda,17997.0,39.2401484,-6.0084272,1,,,2011.0,,,89,5,,,89,33,,,89,59,,,1,16079,POINT (4368193.338540489 -670084.3433326277),1523.1043860442164,15,15,93,True
TZZ,ZZ,5445,51898,51898,mchangani,17998.0,39.3166667,-6.0499999,3,,,2011.0,,,118,36,,,118,29,,,118,70,,,1,16107,POINT (4376711.316732856 -674737.9367232481),3885.288400582879,16,16,94,True
TZZ,ZZ,5444,51896,51896,michakaini,17984.0,39.7719192,-5.2403142,1,,,2011.0,,,84,11,,,84,25,,,84,50,,,1,16089,POINT (4427389.793215221 -584164.1056277265),4551.061736427135,17,17,95,True
TZZ,ZZ,5444,51897,51897,mizingani,18020.0,39.7,-5.3499999,3,,,2011.0,,,93,47,,,93,33,,,93,86,,,1,16102,POINT (4419383.784492961 -596426.593936342),3650.9445382339045,18,18,96,True
TZZ,ZZ,5444,51897,51897,mkanyageni,18021.0,39.6685877,-5.4013543,1,,,2011.0,,,123,53,,,123,49,,,123,111,,,1,16100,POINT (4415886.983252316 -602168.5941092197),3796.4975686910993,19,19,97,True
TZZ,ZZ,5444,51897,51897,mtambile,18022.0,39.6969592,-5.3825125,1,,,2011.0,,,93,37,,,93,40,,,93,80,,,1,16104,POINT (4419045.284185357 -600061.81243913),3650.9445382339045,20,20,98,True
TZZ,ZZ,5445,51899,51899,mtende,18004.0,39.5276036,-6.4547044,3,,,2011.0,,,117,2,,,117,5,,,117,12,,,1,16114,POINT (4400192.705030367 -720059.1077915914),598.7657069512162,21,21,99,True
TZZ,ZZ,5446,51900,51900,mtopepo,18008.0,39.2216902,-6.146567,1,,,2011.0,,,101,3,,,101,11,,,101,51,,,1,16115,POINT (4366138.581115528 -685548.9163816647),2852.9191675420016,22,22,100,True
TZZ,ZZ,5445,51899,51899,muyuni,18005.0,39.4666667,-6.3666666,3,,,2011.0,,,108,5,,,108,53,,,108,71,,,1,16113,POINT (4393409.240351846 -710197.1178301269),10376.247121494718,23,23,101,True
TZZ,ZZ,5445,51898,51898,mwera,18000.0,39.2833333,-6.1499999,3,,,2011.0,,,106,18,,,106,22,,,106,67,,,1,16109,POINT (4373000.659618448 -685933.2758814459),5896.663856826746,24,24,102,True
TZZ,ZZ,5442,51893,51893,mzambarauni,18029.0,39.5304121,-6.4501461,1,,,2011.0,,,98,51,,,98,39,,,98,80,,,1,16064,POINT (4400505.34582026 -719548.4453704994),598.7657069512162,25,25,103,True
TZZ,ZZ,5444,51897,51897,ngwachani,18023.0,39.7549511,-5.3146961,1,,,2011.0,,,100,50,,,100,59,,,100,92,,,1,16106,POINT (4425500.912963491 -592479.5113961645),2735.2532640889553,26,26,104,True
TZZ,ZZ,5443,51894,51894,nungwi,17992.0,39.2985684,-5.725856,1,,,2011.0,,,106,0,,,106,26,,,106,95,,,1,16072,POINT (4374696.623192632 -638462.9834710897),22973.58547448665,27,27,105,True
TZZ,ZZ,5446,51901,51901,nyerere,18017.0,39.202999,-6.164,3,,,2011.0,,,73,2,,,73,7,,,73,34,,,1,16125,POINT (4364057.886249213 -687500.8017906519),131.1381776090532,28,28,106,True
TZZ,ZZ,5442,51893,51893,piki,18030.0,39.7697624,-5.1215927,1,,,2011.0,,,98,52,,,98,36,,,98,83,,,1,16060,POINT (4427149.699337477 -570893.8703823438),2733.4170023856263,29,29,107,True
TZZ,ZZ,5444,51896,51896,pujini,17985.0,39.799,-5.3000002,3,,,2011.0,,,100,40,,,100,49,,,100,89,,,1,16095,POINT (4430404.414081495 -590836.5275580494),3516.291168295088,30,30,108,True
TZZ,ZZ,5443,51894,51894,pwani mchangani,17993.0,39.356286,-5.9229729,1,,,2011.0,,,118,2,,,118,15,,,118,71,,,1,16068,POINT (4381121.717034441 -660519.8145825047),7430.021463039642,31,31,109,True
TZZ,ZZ,5446,51901,51901,rahaleo,18018.0,39.2018214,-6.1640318,1,,,2011.0,,,85,4,,,85,1,,,85,13,,,1,16124,POINT (4363926.796416854 -687504.3623354078),131.1381776090532,32,32,110,True
TZZ,ZZ,5446,51900,51900,regezamwendo,18009.0,39.2166667,-6.2166666,3,,,2011.0,,,85,15,,,85,8,,,85,23,,,1,16121,POINT (4365579.367653528 -693398.0066889822),5874.147726326726,33,33,111,True
TZZ,ZZ,5442,51892,51892,shumba viamboni,18013.0,39.7755571,-5.0319352,1,,,2011.0,,,99,63,,,99,30,,,99,70,,,1,16042,POINT (4427794.762390777 -560873.9342352598),3693.01271798862,34,34,112,True
TZZ,ZZ,5442,51892,51892,tumbe,18014.0,39.7877887,-4.948181,1,,,2011.0,,,100,64,,,100,68,,,100,95,,,1,16047,POINT (4429156.377874364 -551514.9862707293),4686.371121400069,35,35,113,True
TZZ,ZZ,5445,51898,51898,uzini,18001.0,39.3355397,-6.0791949,1,,,2011.0,,,113,8,,,113,6,,,113,29,,,1,16108,POINT (4378812.249482597 -678006.2004116256),3885.288400582879,36,36,114,True
TZZ,ZZ,5444,51896,51896,wesha,17987.0,39.7324052,-5.2298673,1,,,2011.0,,,100,45,,,100,67,,,100,96,,,1,16083,POINT (4422991.114856015 -582996.2907361339),4551.061736427135,37,37,115,True
TZZ,ZZ,5442,51892,51892,wingwi,18015.0,39.8082998,-5.0266182,1,,,2011.0,,,99,32,,,99,58,,,99,79,,,1,16043,POINT (4431439.663081974 -560279.7609553639),3693.01271798862,38,38,116,True
TZZ,ZZ,5444,51896,51896,ziwani,17988.0,39.771694,-5.173628,1,,,2011.0,,,102,45,,,102,29,,,102,80,,,1,16092,POINT (4427364.724065893 -576709.8704603827),5819.973585986367,39,39,117,True
