iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,sth_examined,sth_positive,quality,sn
CIV,CI,1616.0,15371.0,15371.0,,,,,99,school,,2012.0,5.0,16.0,150.0,0.0,0.0,0.0,150.0,1,0.0,0.0067,150.0,1.0,0.0,0.0,150.0,2.0,1,24315
CIV,CI,1615.0,15369.0,15369.0,,,,,99,school,,2012.0,6.0,14.0,60.0,3.0,0.0,0.0167,60.0,0,0.0,0.0,60.0,3.0,0.0167,0.0,60.0,6.0,1,24270
CIV,CI,1625.0,15404.0,15404.0,,,,,99,school,,2012.0,6.0,14.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,24892
CIV,CI,,,6553.0,abadjin doume,,-4.134,5.302,4,,,1980.0,5.0,15.0,108.0,98.0,,,108.0,88,,,108.0,104.0,,,0.0,0.0,3,30044
CIV,CI,1608.0,15329.0,15329.0,abidjan,,-4.032,5.334,3,,,1994.0,4.0,15.0,1001.0,63.0,,,1001.0,165,,,1001.0,234.0,,,0.0,0.0,3,28682
CIV,CI,1608.0,15329.0,15329.0,abidjan,,-4.032,5.334,3,,,1992.0,15.0,44.0,388.0,167.0,,,388.0,96,,,388.0,96.0,,,0.0,0.0,3,30052
CIV,CI,1609.0,15339.0,15339.0,abri 2000 2,,-3.9443,5.30547,3,school,mapping,2014.0,7.0,13.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,4.0,0.0,0.0,30.0,4.0,1,23838
CIV,CI,1611.0,15349.0,15349.0,adaou,,-4.85478,6.54992,3,school,mapping,2014.0,7.0,12.0,30.0,15.0,0.0,0.1333,30.0,0,0.0,0.0,30.0,1.0,0.0,0.0,30.0,15.0,1,23923
CIV,CI,1618.0,15378.0,15378.0,aeeci pelezi 1,,-6.4854,7.16551,3,school,mapping,2014.0,7.0,14.0,32.0,6.0,0.0,0.0,32.0,0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,6.0,1,24420
CIV,CI,1610.0,15342.0,15342.0,agboville,,-4.2230836,5.9354963,1,,,2001.0,5.0,15.0,360.0,54.0,,,360.0,20,,,360.0,49.0,,,0.0,0.0,2,30043
CIV,CI,1619.0,15379.0,15379.0,agni extension,,-3.47577,6.7251,3,school,mapping,2014.0,7.0,13.0,31.0,2.0,0.0,0.0,31.0,0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,2.0,1,24435
CIV,CI,,,,aheremou ii,,,,99,,,2010.0,21.0,70.0,15.0,4.0,,,15.0,0,,,15.0,0.0,,,0.0,0.0,1,28671
CIV,CI,,,,ahondo,,,,99,,,1980.0,5.0,15.0,120.0,107.0,,,120.0,61,,,120.0,64.0,,,0.0,0.0,3,30045
CIV,CI,,,,ahondo,,,,99,,,2010.0,28.0,51.0,7.0,5.0,,,7.0,0,,,7.0,0.0,,,0.0,0.0,1,28669
CIV,CI,1610.0,15346.0,15346.0,ahouaty,,-4.972778,6.109444,3,,,2010.0,40.0,83.0,8.0,6.0,,,8.0,0,,,8.0,2.0,,,0.0,0.0,1,28670
CIV,CI,1609.0,15340.0,15340.0,aliodan 4,,-3.96316,5.30748,3,school,mapping,2014.0,7.0,13.0,33.0,0.0,0.0,0.0,33.0,2,0.0,0.0,33.0,16.0,0.0,0.0,33.0,18.0,1,23853
CIV,CI,1614.0,15365.0,15365.0,allokodjekro,,,,99,school,,2012.0,,,30.0,2.0,0.0,0.0,30.0,1,0.0,0.0,30.0,1.0,0.0,0.0,30.0,4.0,1,24136
CIV,CI,1611.0,,6568.0,alluminankro,,-5.0725,6.390278,4,,,2006.0,5.0,15.0,75.0,46.0,,,75.0,0,,,75.0,3.0,,,0.0,0.0,1,28688
CIV,CI,1610.0,15346.0,15346.0,amani m?acnou,50686.0,-4.9830561,6.083333,3,,,2010.0,,,15.0,4.0,,,15.0,0,,,15.0,1.0,,,,,1,2544
CIV,CI,1610.0,15346.0,15346.0,amani menou,,-4.9830561,6.083333,3,,,2010.0,26.0,64.0,15.0,4.0,,,15.0,0,,,15.0,1.0,,,0.0,0.0,1,28672
CIV,CI,,,,ancien carrefour,,-4.020833,5.627778,4,,,2011.0,0.0,99.0,413.0,129.0,,,0.0,0,,,0.0,0.0,,,0.0,0.0,1,30055
CIV,CI,1617.0,15375.0,15375.0,angolokaha,,,,99,school,,2012.0,6.0,13.0,54.0,0.0,0.0,0.0,54.0,0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,1,24382
CIV,CI,1609.0,15337.0,15337.0,anyama adjame 2,,-4.035,5.48784,3,school,mapping,2014.0,7.0,14.0,31.0,0.0,0.0,0.0,31.0,1,0.0,0.0323,31.0,0.0,0.0,0.0,31.0,1.0,1,23808
CIV,CI,1609.0,15337.0,15337.0,anyama sud 2,,,,99,school,,2014.0,7.0,10.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,23809
CIV,CI,1617.0,15375.0,15375.0,arikokaha,,,,99,school,,2012.0,5.0,14.0,54.0,0.0,0.0,0.0,54.0,0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,1,24383
CIV,CI,1614.0,15364.0,15364.0,assandre,,,,99,school,,2012.0,,,50.0,0.0,0.0,0.0,50.0,0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,1,24116
CIV,CI,1614.0,15364.0,15364.0,assouakro,,,,99,school,,2012.0,,,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,24117
CIV,CI,1614.0,15364.0,15364.0,attohou,,,,99,school,,2012.0,,,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,24118
CIV,CI,1609.0,15337.0,15337.0,azaguie m'brome,50673.0,-4.082323,5.6289403,1,,,2011.0,,,118.0,12.0,,,118.0,6,,,118.0,17.0,,,,,1,2530
CIV,CI,1610.0,15342.0,15342.0,azaguie m'brome,,-4.143889,5.661667,4,,,2011.0,0.0,5.0,118.0,12.0,,,118.0,6,,,118.0,17.0,,,0.0,0.0,1,28826
CIV,CI,1610.0,15342.0,15342.0,azaguie makouguie,,-4.166667,5.616667,4,,,2013.0,,,0.0,0.0,,,0.0,0,,,164.0,65.0,,,0.0,0.0,1,29125
CIV,CI,1609.0,15337.0,15337.0,azaguie makouguie,50674.0,-4.082323,5.6289403,1,,,2013.0,,,0.0,0.0,,,0.0,0,,,164.0,65.0,,,,,1,2529
CIV,CI,1610.0,15345.0,15345.0,azaguie? irfa,,-4.61625,5.602917,4,,,2008.0,6.0,15.0,112.0,62.0,,,112.0,32,,,112.0,45.0,,,0.0,0.0,1,28685
CIV,CI,1615.0,15367.0,15367.0,baba 1,,,,99,school,,2012.0,5.0,15.0,50.0,0.0,0.0,0.0,50.0,0,0.0,0.0,50.0,1.0,0.0,0.0,50.0,1.0,1,24194
CIV,CI,1608.0,15334.0,15334.0,bad port bouet 2a,,-4.0966,5.34966,3,school,mapping,2014.0,7.0,13.0,30.0,1.0,0.0,0.0,30.0,1,0.0333,0.0,30.0,0.0,0.0,0.0,30.0,1.0,1,23763
CIV,CI,1617.0,15375.0,15375.0,badiokaha,,,,99,school,,2012.0,6.0,14.0,54.0,2.0,0.0,0.0,54.0,0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,2.0,1,24384
CIV,CI,1615.0,15367.0,15367.0,bardot sud 1,,,,99,school,,2012.0,6.0,14.0,50.0,2.0,0.0,0.0,50.0,0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,2.0,1,24195
CIV,CI,1626.0,15405.0,15405.0,biankouma,,-7.6168439,7.7442314,1,,,2006.0,4.0,15.0,386.0,100.0,,,386.0,20,,,0.0,0.0,,,0.0,0.0,1,28686
CIV,CI,1617.0,15373.0,15373.0,bobosso,,,,99,school,,2012.0,6.0,11.0,53.0,12.0,0.0,0.0,53.0,0,0.0,0.0,54.0,0.0,0.0,0.0,53.0,12.0,1,24336
CIV,CI,1617.0,15373.0,15373.0,bokala,,,,99,school,,2012.0,6.0,15.0,47.0,11.0,0.0,0.0,47.0,0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,11.0,1,24337
CIV,CI,1612.0,15351.0,15351.0,bondoukou,,-2.8,8.04,3,,,1987.0,3.0,15.0,396.0,82.0,,,396.0,58,,,396.0,18.0,,,0.0,0.0,3,30051
CIV,CI,1611.0,15348.0,15348.0,bondoukou,,,,99,school,,2012.0,5.0,13.0,54.0,12.0,0.0,0.0,54.0,8,0.0,0.0,54.0,2.0,0.0,0.0,54.0,19.0,1,23897
CIV,CI,1612.0,15351.0,15351.0,bondoukou residentielle 1,,,,99,school,,2014.0,7.0,13.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,23964
CIV,CI,1617.0,15373.0,15373.0,bonierebougou,,,,99,school,,2012.0,,,52.0,2.0,0.0,0.0,52.0,0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,2.0,1,24338
CIV,CI,1611.0,,6568.0,bringakro,,-5.090278,6.413611,4,,,2006.0,5.0,15.0,106.0,30.0,,,106.0,5,,,106.0,4.0,,,0.0,0.0,1,28689
CIV,CI,1609.0,15339.0,15339.0,club des mignons,,-3.91136,5.24552,3,school,mapping,2014.0,8.0,14.0,31.0,1.0,0.0,0.0,31.0,0,0.0,0.0,31.0,2.0,0.0,0.0,31.0,3.0,1,23839
CIV,CI,1617.0,15374.0,15374.0,darakokoha,,,,99,school,,2012.0,6.0,13.0,54.0,3.0,0.0,0.0,54.0,0,0.0,0.0,54.0,1.0,0.0,0.0,54.0,4.0,1,24356
CIV,CI,1617.0,15373.0,15373.0,darala,,,,99,school,,2012.0,6.0,14.0,52.0,15.0,0.0,0.0385,52.0,0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,15.0,1,24339
CIV,CI,1617.0,15373.0,15373.0,dienguesso,,,,99,school,,2012.0,5.0,15.0,53.0,10.0,0.0,0.0189,53.0,0,0.0,0.0,53.0,0.0,0.0,0.0,53.0,10.0,1,24340
