iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,sth_examined,sth_positive,quality,sn
GAB,GA,2060.0,20375.0,20375.0,como aviation,11948.0,10.76233,1.00371,3,,,2015.0,,,32.0,0.0,,,32.0,24,,,32.0,28.0,,,32.0,30.0,1,5579
GAB,GA,2051.0,20331.0,20331.0,conventionneac du camp ntchoracrac,12003.0,,,99,,,2014.0,,,42.0,0.0,,,42.0,0,,,42.0,1.0,,,42.0,1.0,1,19153
GAB,GA,2060.0,20375.0,20375.0,e.c. p.medouneu,11949.0,10.789353,0.994383,1,,,2015.0,,,97.0,0.0,,,97.0,43,,,97.0,60.0,,,97.0,66.0,1,5576
GAB,GA,2060.0,20376.0,20376.0,e.c.a,11953.0,12.13923,2.15187,3,,,2015.0,,,75.0,2.0,,,74.0,33,,,74.0,45.0,,,75.0,55.0,1,5581
GAB,GA,2060.0,20376.0,20376.0,e.c.b ngone,11954.0,12.14867,2.13607,3,,,2015.0,,,45.0,0.0,,,45.0,23,,,45.0,30.0,,,45.0,32.0,1,5582
GAB,GA,2060.0,20376.0,20376.0,e.c.c.ngame,11955.0,12.13128,2.14739,3,,,2015.0,,,68.0,0.0,,,68.0,18,,,68.0,29.0,,,68.0,30.0,1,5584
GAB,GA,2053.0,20337.0,20337.0,e.c.saint michel,12060.0,13.01148,-1.82638,3,,,2015.0,,,46.0,0.0,,,46.0,13,,,46.0,5.0,,,46.0,15.0,1,5381
GAB,GA,2053.0,20337.0,20337.0,e.c.saint michel,11990.0,13.01148,-1.82638,3,,,2015.0,,,49.0,0.0,,,49.0,13,,,49.0,5.0,,,,,1,5386
GAB,GA,2053.0,20341.0,20341.0,e.c.saint michel lacconi,12149.0,,,99,,,2015.0,,,79.0,9.0,,,79.0,25,,,79.0,40.0,,,79.0,50.0,1,19157
GAB,GA,2053.0,20335.0,20335.0,e.p. aboumi,11900.0,14.1378899,-0.6544913,1,,,2015.0,,,77.0,8.0,,,77.0,32,,,77.0,14.0,,,77.0,41.0,1,5367
GAB,GA,2053.0,20341.0,20341.0,e.p. akou,103387.0,0.0,,99,,,2015.0,8.0,0.0,11.0,3.0,,,11.0,4,,,11.0,1.0,,,11.0,6.0,1,671
GAB,GA,2053.0,20345.0,20345.0,e.p. ayogo lesseri,11928.0,14.22667,-0.89904,3,,,2015.0,,,20.0,2.0,,,20.0,9,,,20.0,2.0,,,20.0,9.0,1,5433
GAB,GA,2053.0,20337.0,20337.0,e.p. bakumba a,12061.0,13.00254,-1.82203,3,,,2015.0,,,87.0,2.0,,,87.0,24,,,87.0,18.0,,,87.0,36.0,1,5379
