iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
KEN,KE,2534.0,24797.0,24797.0,a. c. tegat,12530.0,35.09603,0.20122,3,,,2013.0,,,55.0,0.0,,,55.0,10,,,55.0,0.0,,,1,19522
KEN,KE,2528.0,24761.0,54081.0,a. k. magugu,12388.0,36.79287,-1.08847,3,,,2013.0,,,54.0,1.0,,,54.0,6,,,54.0,0.0,,,1,6169
KEN,KE,2532.0,24783.0,54285.0,abakore,53996.0,39.7111401,0.6288978,1,,,2008.0,,,52.0,0.0,,,52.0,0,,,52.0,0.0,,,1,7562
KEN,KE,2533.0,24789.0,54244.0,abidha,,34.188202,-0.0299,3,,,2005.0,5.0,20.0,31.0,17.0,,,31.0,8,,,31.0,1.0,,,2,30362
KEN,KE,2533.0,24789.0,54244.0,abom,52743.0,34.334499,-0.038957998,3,,,1997.0,,,378.0,77.0,,,378.0,175,,,378.0,35.0,,,3,7287
KEN,KE,2533.0,24789.0,54244.0,abom,52742.0,34.334499,-0.038957998,3,,,1996.0,,,869.0,101.0,,,869.0,218,,,869.0,52.0,,,3,7304
KEN,KE,2529.0,24770.0,1986.0,abori,,37.692799,-3.45778,3,,,2009.0,5.0,15.0,0.0,0.0,,,106.0,1,,,106.0,1.0,,,1,28893
KEN,KE,2529.0,24770.0,54250.0,abori,53972.0,37.6936411,-3.4600935,1,,,1998.0,,,316.0,5.0,,,316.0,2,,,316.0,3.0,,,3,7478
KEN,KE,2531.0,24780.0,,addar academy,12488.0,36.92313,-1.23088,3,,,2013.0,,,61.0,0.0,,,61.0,0,,,61.0,0.0,,,1,19383
KEN,KE,2533.0,24784.0,54044.0,adiedo,53574.0,34.6064,-0.42601001,3,,,2007.0,,,25.0,1.0,,,25.0,1,,,25.0,0.0,,,1,6686
KEN,KE,2529.0,24766.0,54092.0,adu,,39.9804,-2.8351,3,,,2008.0,5.0,16.0,97.0,0.0,,,97.0,1,,,97.0,4.0,,,1,29007
KEN,KE,2529.0,24766.0,54091.0,adu,53359.0,39.9804,-2.8350999,3,,,2012.0,,,108.0,34.0,,,108.0,9,,,108.0,3.0,,,1,6889
KEN,KE,2533.0,24789.0,54244.0,aduoyo,,34.396999,-0.172688,3,,,2001.0,10.0,12.0,36.0,12.0,,,36.0,5,,,36.0,11.0,,,2,31559
KEN,KE,2535.0,24805.0,1934.0,agenga,,34.063702,0.24367,3,,,1999.0,5.0,17.0,65.0,37.0,,,65.0,6,,,65.0,9.0,,,3,30139
KEN,KE,2533.0,,1985.0,agiro,,34.149899,-0.4107,4,,,2012.0,5.0,19.0,50.0,9.0,,,50.0,0,,,50.0,0.0,,,1,30563
KEN,KE,2533.0,24784.0,54044.0,agoro sare,53575.0,34.734798,-0.49735001,3,,,2007.0,,,221.0,16.0,,,221.0,73,,,221.0,11.0,,,1,6672
KEN,KE,2533.0,24789.0,54244.0,agwara,,34.195599,-0.064317,3,,,2005.0,5.0,20.0,41.0,15.0,,,41.0,0,,,41.0,1.0,,,2,30371
