iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
SEN,SN,4127.0,40196.0,40196.0,agnam goly,,-13.6912718,16.0062771,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,1.0,,,1,29566
SEN,SN,4119.0,40154.0,40154.0,ainoumadi,56637.0,-17.4676861,14.716677,2,,,2013.0,,,50.0,0.0,,,50.0,2,,,50.0,0.0,,,1,13424
SEN,SN,4119.0,,2067.0,ainoumadi,,-17.310056,14.772972,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,2,,,50.0,0.0,,,1,29580
SEN,SN,4125.0,,24872.0,babou deme,,-14.560528,13.191722,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29611
SEN,SN,4121.0,40170.0,40170.0,badoudou,,-16.40231,13.8533368,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29596
SEN,SN,4130.0,40205.0,40205.0,balou,16232.0,-12.2404869,14.7428345,1,,,2008.0,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,1,13509
SEN,SN,4130.0,40205.0,40205.0,balou,109297.0,-12.2404869,14.7428345,1,,,,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,3,1588
SEN,SN,4129.0,40183.0,40183.0,bamacounda,,-15.619542,12.619389,3,,,2013.0,5.0,20.0,50.0,9.0,,,50.0,0,,,50.0,0.0,,,1,29625
SEN,SN,4129.0,40183.0,40183.0,bambato,,-14.58898,12.517582,1,,,2013.0,5.0,20.0,51.0,37.0,,,51.0,2,,,51.0,1.0,,,1,29622
SEN,SN,4121.0,40170.0,40170.0,bany,,-16.475487,13.76075,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29597
SEN,SN,4129.0,40202.0,40202.0,barandama,,-15.783462,13.007633,1,,,2013.0,5.0,20.0,50.0,8.0,,,50.0,2,,,50.0,0.0,,,1,29546
SEN,SN,4119.0,,2067.0,bargny guedj,,-17.224431,14.693681,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29540
SEN,SN,4129.0,40183.0,40183.0,bindaba,,-15.8875,12.567903,3,,,2013.0,5.0,20.0,50.0,26.0,,,50.0,0,,,50.0,0.0,,,1,29623
SEN,SN,4122.0,40174.0,40174.0,bouleyda,,-15.5415755,14.105202,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,1,,,50.0,1.0,,,1,29599
SEN,SN,,,,campement,,,,99,,,1990.0,1.0,99.0,238.0,0.0,,,238.0,2,,,238.0,0.0,,,3,30718
SEN,SN,4119.0,40157.0,40157.0,cite touba fass mbao,,-17.343639,14.750597,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,6,,,50.0,3.0,,,1,29588
SEN,SN,4131.0,40221.0,40221.0,commune,,-16.9358604,14.7910052,2,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,3,,,50.0,1.0,,,1,29645
SEN,SN,4119.0,40159.0,40159.0,dakar,56713.0,-17.4676861,14.716677,1,,,1993.0,,,0.0,0.0,,,318.0,170,,,318.0,51.0,,,3,13449
SEN,SN,,,2046.0,dakar,,-17.437,14.674,4,,,1993.0,5.0,19.0,0.0,0.0,,,318.0,170,,,318.0,51.0,,,3,29303
SEN,SN,4119.0,40157.0,40157.0,dalifort,,-17.4114955,14.7406998,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,6,,,50.0,6.0,,,1,29590
SEN,SN,4131.0,40221.0,40221.0,darou houdoss,,-16.841974,15.110346,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29572
SEN,SN,4123.0,,2062.0,darou lougue,,-15.760222,13.775611,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29544
SEN,SN,4123.0,,2062.0,darou salam,,-15.768583,13.749181,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29609
SEN,SN,4123.0,40177.0,40177.0,darou salam,,-15.927125,13.919861,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,1,,,50.0,0.0,,,1,29563
SEN,SN,4131.0,40216.0,40216.0,dawakh gadiaga,,-16.381332,15.313917,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,1,,,50.0,1.0,,,1,29634
SEN,SN,4119.0,,2067.0,deni b  nd nord,,-17.180861,14.840528,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,3,,,50.0,0.0,,,1,29593
SEN,SN,4119.0,,2067.0,deni b  ndao sud,,-17.180861,14.840528,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29594
SEN,SN,4131.0,40216.0,40216.0,diama thiendou,,-16.68219,15.055022,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,1.0,,,1,29635
SEN,SN,4123.0,,2062.0,diamaguene,,-15.790667,13.759069,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29564
SEN,SN,4123.0,40178.0,40178.0,diamaguene,56660.0,-15.710069,14.177134,1,,,2013.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,13470
SEN,SN,4128.0,40199.0,40199.0,diami baila,,-14.466666,16.5,3,,,,1.0,99.0,65.0,0.0,,,65.0,2,,,65.0,0.0,,,3,29307
SEN,SN,4128.0,40199.0,40199.0,diami baila,56684.0,-14.466666,16.5,3,,,0.0,,,65.0,0.0,,,65.0,2,,,65.0,0.0,,,3,13500
SEN,SN,4129.0,40183.0,40183.0,dianaba,,-15.2282571,12.83574,1,,,2013.0,5.0,20.0,50.0,22.0,,,50.0,3,,,50.0,1.0,,,1,29570
SEN,SN,4131.0,40218.0,40218.0,diender,,-17.082741,14.889437,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,9,,,50.0,0.0,,,1,29638
SEN,SN,4128.0,40200.0,40200.0,diokhor tack,,-15.88,16.19,3,,,2009.0,0.0,85.0,0.0,0.0,,,599.0,10,,,599.0,10.0,,,1,30723
SEN,SN,4128.0,40198.0,40198.0,diomandou,,-14.431415,16.514091,1,,,,1.0,99.0,363.0,0.0,,,363.0,1,,,363.0,0.0,,,3,29306
SEN,SN,4128.0,40198.0,40198.0,diomandou,56664.0,-14.431415,16.514091,1,,,0.0,,,363.0,0.0,,,363.0,1,,,363.0,0.0,,,3,13499
SEN,SN,,,,diouwanabe,,,,99,,,,1.0,99.0,36.0,0.0,,,36.0,2,,,36.0,0.0,,,3,29308
SEN,SN,4128.0,40199.0,40199.0,dodel,,-14.421918,16.487015,1,,,,1.0,99.0,442.0,0.0,,,442.0,3,,,442.0,0.0,,,3,29304
SEN,SN,4128.0,40199.0,40199.0,dodel,56685.0,-14.421918,16.487015,1,,,0.0,,,442.0,0.0,,,442.0,3,,,442.0,0.0,,,3,13501
SEN,SN,4119.0,,2067.0,dougar,,-17.155347,14.712194,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,1,,,50.0,0.0,,,1,29573
SEN,SN,,,,escale,,,,99,,,1990.0,1.0,99.0,110.0,0.0,,,110.0,0,,,110.0,0.0,,,3,30719
SEN,SN,,,2046.0,front d urbanisation,,-17.424,14.749,4,,,1986.0,0.0,5.0,118.0,0.0,,,118.0,32,,,118.0,27.0,,,3,30714
SEN,SN,4123.0,40175.0,40175.0,gagnick,,-16.005083,14.309486,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29560
SEN,SN,,,,gallo malik,,,,99,,,1990.0,1.0,99.0,156.0,0.0,,,156.0,1,,,156.0,0.0,,,3,30720
SEN,SN,4131.0,40215.0,40215.0,gnagna bougou,,-16.893486,14.367833,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,2,,,50.0,1.0,,,1,29632
SEN,SN,4119.0,,2067.0,gorom1,,-17.155056,14.820069,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29557
SEN,SN,4125.0,40182.0,40182.0,gounass,56628.0,-13.752088,13.146617,2,,,2013.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,13478
SEN,SN,4125.0,,24872.0,gounass,,-14.605097,13.265472,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29565
SEN,SN,4119.0,40157.0,40157.0,guediawaye / demba wade,,-17.391083,14.782431,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,24,,,50.0,32.0,,,1,29575
SEN,SN,4119.0,40157.0,40157.0,guedjawaye,,-17.395599,14.7761,3,,,1986.0,0.0,5.0,103.0,0.0,,,103.0,34,,,103.0,30.0,,,3,29060
SEN,SN,4119.0,40157.0,40157.0,guepay,,-17.393583,14.784444,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,31,,,50.0,31.0,,,1,29579
SEN,SN,4128.0,40199.0,40199.0,guia,16242.0,0.0,,99,,,2009.0,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,1,19810
SEN,SN,4128.0,40199.0,40199.0,guia,109324.0,0.0,,99,,,,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,3,1598
SEN,SN,4119.0,40157.0,40157.0,guinaw rail nord,,-17.3834048,14.7527106,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,19,,,50.0,11.0,,,1,29556
SEN,SN,4121.0,40170.0,40170.0,haidara,,-16.429792,13.679028,3,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29542
SEN,SN,4131.0,40218.0,40218.0,hersent ii,,-16.9100378,14.7753254,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,11,,,50.0,1.0,,,1,29549
SEN,SN,4119.0,40157.0,40157.0,icotaf 1,,-17.3955953,14.7484062,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,18,,,50.0,9.0,,,1,29591
SEN,SN,4129.0,40202.0,40202.0,k?acgn?acto,56609.0,-15.705208,13.034236,3,,,2013.0,,,54.0,33.0,,,54.0,1,,,54.0,0.0,,,1,13504
SEN,SN,4121.0,40170.0,40170.0,karang poste 1,,-16.4258643,13.6050746,1,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29543
SEN,SN,4129.0,40202.0,40202.0,kegneto,,-15.705208,13.034236,3,,,2013.0,5.0,20.0,54.0,33.0,,,54.0,1,,,54.0,0.0,,,1,29618
SEN,SN,4125.0,40182.0,40182.0,kerewane,56629.0,-14.993978,13.446536,1,,,2013.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,13477
SEN,SN,4125.0,,24872.0,kerewane,,-14.993778,13.452042,4,,,2013.0,5.0,20.0,50.0,0.0,,,50.0,0,,,50.0,0.0,,,1,29612
