iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
TZA,TZ,4797.0,46531.0,46531.0,abainano,,34.2848917,-1.3877117,3,school,mapping,2017.0,11.0,15.0,30.0,0.0,0.0,0.0,30.0,1,0.0,0.0,30.0,0.0,0.0,0.0,1,37145
TZA,TZ,,,,al sadik,,,,99,,,2009.0,6.0,14.0,102.0,57.0,,,102.0,25,,,102.0,86.0,,,1,31677
TZA,TZ,4809.0,46610.0,46610.0,azimio,59845.0,32.078701,-5.0795999,3,,,2004.0,,,60.0,18.0,,,60.0,2,,,60.0,2.0,,,2,15986
TZA,TZ,4797.0,46528.0,46528.0,azimio,,33.8047617,-1.5016817,3,school,mapping,2017.0,10.0,14.0,29.0,1.0,0.0,0.0,29.0,0,0.0,0.0,29.0,0.0,0.0,0.0,1,36991
TZA,TZ,4807.0,46595.0,46595.0,badugu,59529.0,33.65,-2.466667,1,,,1997.0,,,113.0,40.0,,,113.0,0,,,113.0,0.0,,,3,15918
TZA,TZ,4803.0,,46531.0,bago (morwe),,38.33535,-6.22613,4,,mapping,2011.0,0.0,9.0,9.0,1.0,,,9.0,0,,,9.0,0.0,,,1,31198
TZA,TZ,4793.0,46503.0,46503.0,bagwe,,29.6191033,-4.8987983,3,school,sentinel site,2018.0,9.0,15.0,60.0,2.0,0.0,0.0,60.0,4,0.0,0.0,60.0,0.0,0.0,0.0,1,36840
TZA,TZ,4793.0,46503.0,46503.0,bagwe,,29.6191033,-4.8987983,3,school,sentinel site,2016.0,8.0,14.0,58.0,3.0,0.0,0.0,58.0,3,0.0,0.0,58.0,0.0,0.0,0.0,1,36836
TZA,TZ,4803.0,,46531.0,bago (bago a),,38.344269,-6.22503,4,,mapping,2011.0,0.0,9.0,4.0,0.0,,,0.0,0,,,0.0,0.0,,,1,31195
TZA,TZ,4803.0,,46531.0,bago (bago b),,38.337742,-6.22579,4,,mapping,2011.0,0.0,9.0,5.0,1.0,,,5.0,0,,,5.0,1.0,,,1,31196
TZA,TZ,4803.0,,46531.0,bago (kisebengo),,38.344849,-6.2332,4,,mapping,2011.0,0.0,9.0,5.0,2.0,,,5.0,0,,,5.0,0.0,,,1,31197
TZA,TZ,4803.0,,46531.0,bago (msufini),,38.340321,-6.22576,4,,mapping,2011.0,0.0,9.0,8.0,2.0,,,8.0,0,,,8.0,0.0,,,1,31199
TZA,TZ,4803.0,,46531.0,bago (ushirika),,38.346191,-6.2244,4,,mapping,2011.0,0.0,9.0,1.0,1.0,,,1.0,0,,,1.0,0.0,,,1,31200
TZA,TZ,4793.0,46503.0,46503.0,bagwe,,29.6191033,-4.8987983,3,school,sentinel site,2017.0,8.0,14.0,61.0,1.0,0.0,0.0,61.0,0,0.0,0.0,61.0,0.0,0.0,0.0,1,36837
TZA,TZ,4803.0,46575.0,46575.0,baleni,,39.799,-7.85,3,,,2000.0,6.0,18.0,105.0,92.0,,,105.0,2,,,105.0,34.0,,,3,29376
TZA,TZ,4797.0,46631.0,46631.0,balili,,33.87212,-2.031722,3,ward,mapping,2018.0,,,30.0,0.0,0.0,,30.0,0,0.0,,30.0,0.0,0.0,,1,22897
TZA,TZ,4797.0,46631.0,46631.0,balili a,,33.872115,-2.0317217,3,school,mapping,2017.0,11.0,15.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,1,36884
TZA,TZ,4797.0,46631.0,46631.0,balili b,,33.87247,-2.0316483,3,school,mapping,2017.0,10.0,15.0,31.0,0.0,0.0,0.0,31.0,0,0.0,0.0,31.0,0.0,0.0,0.0,1,36885
TZA,TZ,4797.0,46531.0,46531.0,bamagi vision,,34.646875,-1.3946567,3,school,mapping,2017.0,10.0,15.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,1,37146
TZA,TZ,,,27038.0,bandamaji,,39.299999,,99,,,,,,270.0,84.0,,,270.0,133,,,270.0,131.0,,,3,30793
TZA,TZ,4797.0,46529.0,46529.0,baraki,,33.96552,-1.369015,3,ward,mapping,2018.0,,,30.0,0.0,0.0,,30.0,0,0.0,,30.0,0.0,0.0,,1,23023
