iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,sth_examined,sth_positive,quality,sn
UGA,UG,5183.0,49766.0,49766.0,2 primary schools,,32.867001,3.295,3,,,1986.0,7.0,17.0,104.0,65.0,,,104.0,4,,,104.0,1.0,,,0.0,0.0,3,29159
UGA,UG,5151.0,49734.0,49734.0,abaka,,32.3659072,3.1615112,1,,,2009.0,5.0,18.0,62.0,0.0,,,62.0,0,,,62.0,0.0,,,0.0,0.0,1,29805
UGA,UG,5151.0,49734.0,49734.0,abaka,17301.0,32.3659072,3.1615112,1,,,2008.0,,,63.0,0.0,,,63.0,0,,,63.0,0.0,,,,,1,16577
UGA,UG,5131.0,49714.0,49714.0,abako,58383.0,33.22443,2.1428399,3,,,2007.0,,,182.0,15.0,,,182.0,2,,,182.0,1.0,,,,,1,16310
UGA,UG,5131.0,49714.0,49714.0,abako com,58384.0,33.2236838,2.1445917,1,,,2012.0,,,61.0,0.0,,,61.0,0,,,61.0,0.0,,,,,1,16318
UGA,UG,5125.0,,84.0,abarler,,32.877201,1.6395,4,,,2002.0,5.0,16.0,56.0,38.0,,,56.0,2,,,56.0,0.0,,,0.0,0.0,2,29178
UGA,UG,5126.0,49709.0,49709.0,abeko,17128.0,33.566667,2.0,3,,,2013.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,,,1,16187
UGA,UG,5126.0,49709.0,49709.0,abeko,110254.0,33.566667,2.0,3,,,,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,0.0,0.0,3,1697
UGA,UG,5171.0,49754.0,49754.0,abele,17551.0,30.9670689,3.3987398,1,,,2010.0,,,62.0,5.0,,,62.0,0,,,62.0,0.0,,,,,1,17038
UGA,UG,5171.0,49754.0,49754.0,abele,58798.0,30.9670689,3.3987398,1,,,2010.0,,,64.0,5.0,,,64.0,0,,,64.0,0.0,,,,,1,17058
UGA,UG,5219.0,49802.0,49802.0,aber,59261.0,32.6863681,2.3160602,1,,,2012.0,,,63.0,2.0,,,63.0,1,,,63.0,0.0,,,,,1,17843
UGA,UG,5126.0,49709.0,49709.0,abia,17129.0,33.61003,1.97602,3,,,2013.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,,,1,16191
UGA,UG,5184.0,49767.0,49767.0,abilonono com,17577.0,32.640499,2.2269101,3,,,2012.0,,,67.0,6.0,,,67.0,5,,,67.0,1.0,,,,,1,17240
UGA,UG,5184.0,49767.0,49767.0,abilonono com,58918.0,32.640499,2.2269101,3,,,2012.0,,,67.0,5.0,,,67.0,5,,,67.0,1.0,,,,,1,17243
UGA,UG,5220.0,49803.0,49803.0,abilonyero com,17840.0,33.23411,2.40515,3,,,2012.0,,,57.0,1.0,,,57.0,0,,,57.0,0.0,,,,,1,17855
UGA,UG,5167.0,49742.0,49742.0,abirabila p/s,17395.0,33.22383,1.69766,4,,,2011.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,,,1,16780
UGA,UG,5167.0,49742.0,49742.0,abirabira,17396.0,33.22383,1.69766,4,,,2005.0,,,16.0,10.0,,,16.0,0,,,16.0,0.0,,,,,2,16778
UGA,UG,5131.0,49714.0,49714.0,abirabira,,33.3731,2.1628,3,,,2005.0,5.0,16.0,75.0,16.0,,,75.0,0,,,75.0,1.0,,,0.0,0.0,2,30868
UGA,UG,5140.0,49723.0,49723.0,abkiel,,34.023701,0.41391,3,,,2009.0,5.0,18.0,57.0,11.0,,,57.0,0,,,57.0,0.0,,,0.0,0.0,1,29834
UGA,UG,5231.0,49814.0,49814.0,abkiel,17946.0,34.18085,0.6782274,1,,,2008.0,,,65.0,15.0,,,65.0,0,,,65.0,0.0,,,,,1,18050
UGA,UG,5130.0,49713.0,49713.0,abone,,33.146301,2.7914,3,,,2009.0,5.0,18.0,60.0,0.0,,,60.0,0,,,60.0,0.0,,,0.0,0.0,1,29828
UGA,UG,5222.0,49805.0,49805.0,abone p/s,17848.0,33.14633,2.7914,3,,,2008.0,,,62.0,0.0,,,62.0,0,,,62.0,0.0,,,,,1,17896
UGA,UG,5126.0,49709.0,49709.0,abuket kuju,17130.0,33.6007892,2.0373372,1,,,2013.0,,,60.0,2.0,,,60.0,0,,,60.0,0.0,,,,,1,16193
UGA,UG,5126.0,49709.0,49709.0,abuket kuju,110256.0,33.6007892,2.0373372,1,,,,,,60.0,2.0,,,60.0,0,,,60.0,0.0,,,0.0,0.0,3,1698
UGA,UG,5128.0,49711.0,49711.0,abwal a com,17169.0,32.557739,2.08301,3,,,2012.0,,,58.0,6.0,,,58.0,0,,,58.0,0.0,,,,,1,16258
UGA,UG,5128.0,49711.0,49711.0,abwal a com,58335.0,32.557739,2.08301,3,,,2012.0,,,58.0,4.0,,,58.0,0,,,58.0,0.0,,,,,1,16245
UGA,UG,5126.0,49709.0,49709.0,abwanget kuju,17131.0,33.6007892,2.0373372,2,,,2013.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,,,1,16190
UGA,UG,5126.0,49709.0,49709.0,abwanget kuju,110257.0,33.6007892,2.0373372,2,,,,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,0.0,0.0,3,1699
UGA,UG,5128.0,49711.0,49711.0,acandyang com,17170.0,32.60387,2.0090301,3,,,2012.0,,,61.0,0.0,,,61.0,0,,,61.0,0.0,,,,,1,16247
UGA,UG,5131.0,49714.0,49714.0,acede,58386.0,33.202419,2.1859,3,,,2007.0,,,180.0,5.0,,,180.0,1,,,180.0,0.0,,,,,1,16315
UGA,UG,5151.0,49734.0,49734.0,acet,,32.660301,2.687,3,,,1998.0,8.0,13.0,59.0,32.0,,,59.0,4,,,59.0,0.0,,,0.0,0.0,3,30851
UGA,UG,5233.0,49816.0,49816.0,achilake p/s,59409.0,31.24619,3.56665,3,,,2008.0,,,226.0,38.0,,,226.0,0,,,226.0,0.0,,,,,1,18116
UGA,UG,5222.0,49805.0,49805.0,acholi bur,,32.9127726,3.1418571,1,,,2009.0,5.0,18.0,63.0,0.0,,,63.0,0,,,63.0,0.0,,,0.0,0.0,1,29705
UGA,UG,5222.0,49805.0,49805.0,acholi bur p/s,17849.0,32.9127726,3.1418571,1,,,2008.0,,,65.0,0.0,,,65.0,0,,,65.0,0.0,,,,,1,17902
UGA,UG,5219.0,49802.0,49802.0,acimi ikongo com,59262.0,32.25848,2.3884699,3,,,2007.0,,,183.0,84.0,,,183.0,2,,,183.0,0.0,,,,,1,17844
UGA,UG,5227.0,49810.0,49810.0,acomia,17939.0,33.47148,1.398591,3,,,2005.0,,,34.0,13.0,,,34.0,0,,,34.0,0.0,,,,,2,17994
UGA,UG,5215.0,49798.0,49798.0,acomia,,33.785702,1.66425,3,,,2005.0,5.0,16.0,65.0,21.0,,,65.0,0,,,65.0,0.0,,,0.0,0.0,2,30953
UGA,UG,5126.0,49709.0,49709.0,acowa,,33.801498,2.07183,3,,,1998.0,7.0,14.0,41.0,29.0,,,41.0,0,,,41.0,0.0,,,0.0,0.0,3,30948
UGA,UG,5221.0,49804.0,49804.0,adal p/s,59276.0,33.675499,1.25299,3,,,2011.0,,,50.0,0.0,,,50.0,0,,,50.0,0.0,,,,,1,17879
UGA,UG,5201.0,49784.0,49784.0,adhu com,59089.0,30.91989,3.27386,3,,,2010.0,,,64.0,6.0,,,64.0,6,,,64.0,0.0,,,,,1,17533
