iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
ZAF,ZA,4471.0,43314.0,43314.0,aan de doorns,56802.0,19.5,-33.7,1,,,2001.0,,,0.0,0.0,,,28.0,1,,,28.0,7.0,,,2,18243
ZAF,ZA,4463.0,43274.0,43274.0,aberdeen primary school,,24.0611,-32.4743,3,school,mapping,2017.0,5.0,15.0,37.0,0.0,0.0,0.0,37.0,12,0.0,0.0,37.0,0.0,0.0,0.0,1,36314
ZAF,ZA,4465.0,43283.0,43283.0,akasia primary school,,28.1291,-25.6679,3,school,mapping,2017.0,5.0,16.0,50.0,4.0,0.0,0.0,50.0,7,0.0,0.0,50.0,0.0,0.0,0.0,1,36360
ZAF,ZA,4463.0,43274.0,43274.0,alexandria primary school,,26.4155,-33.6501,3,school,mapping,2017.0,5.0,15.0,27.0,4.0,0.0,0.0,27.0,2,0.0,0.0,27.0,0.0,0.0,0.0,1,36315
ZAF,ZA,4465.0,43280.0,43280.0,alrapark primary school,,28.5086,-26.4355,3,school,mapping,2017.0,5.0,16.0,46.0,1.0,0.0,0.0,46.0,10,0.0,10.0,46.0,0.0,0.0,0.0,1,36321
ZAF,ZA,,,29375.0,amahlongwa,,30.728901,-30.236099,4,,,,5.0,13.0,155.0,18.0,,,155.0,87,,,155.0,121.0,,,3,31163
ZAF,ZA,4466.0,43287.0,43287.0,amahlongwa,56840.0,30.7177509,-30.2360179,1,,,0.0,,,155.0,18.0,,,155.0,87,,,155.0,121.0,,,3,18153
ZAF,ZA,,,29343.0,babazani,,32.3447,-28.1119,4,,,,5.0,13.0,168.0,139.0,,,168.0,121,,,168.0,141.0,,,3,31155
ZAF,ZA,4466.0,43288.0,43288.0,babazani,56849.0,32.3447,-28.1119,3,,,0.0,,,168.0,139.0,,,168.0,121,,,168.0,141.0,,,3,18173
ZAF,ZA,4469.0,43304.0,43304.0,bakubung primary school,,,,99,school,,2017.0,5.0,16.0,32.0,2.0,0.0,0.0,32.0,9,0.0,0.0,32.0,0.0,0.0,0.0,1,36628
ZAF,ZA,4469.0,43306.0,43306.0,b.m mokitime primary shool,,25.5884,-25.8672,3,school,mapping,2017.0,5.0,16.0,35.0,2.0,0.0,0.0,35.0,13,0.0,7.69,35.0,0.0,0.0,0.0,1,36655
