iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
ZMB,ZM,5343.0,50890.0,50890.0,adonsi basic school,,,,99,school,,2013,6.0,17.0,30.0,15.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,1,28622
ZMB,ZM,5337.0,50841.0,50841.0,ambo basic school,,,,99,school,,2013,10.0,14.0,30.0,2.0,0.0,0.0,30.0,1,0.0,0.0,30.0,0.0,0.0,0.0,1,28034
ZMB,ZM,5342.0,50882.0,50882.0,baambwe primary school,,,,99,school,,2013,7.0,12.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,1,28480
ZMB,ZM,5344.0,50836.0,50836.0,babanda community school,,,,99,school,,2013,9.0,14.0,30.0,6.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,1,28260
ZMB,ZM,5335.0,50876.0,50876.0,babizhi basic,,,,99,school,,2013,7.0,14.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,1,27640
ZMB,ZM,5338.0,50845.0,50845.0,bahati school,,,,99,school,,2013,10.0,14.0,30.0,0.0,0.0,0.0,30.0,1,0.0,0.0,30.0,0.0,0.0,0.0,1,28090
ZMB,ZM,5336.0,50829.0,50829.0,baluba basic,,,,99,school,,2013,10.0,13.0,30.0,1.0,0.0,0.0,30.0,1,0.0,0.0,30.0,0.0,0.0,0.0,1,27820
ZMB,ZM,5335.0,50876.0,50876.0,basanga basic,,,,99,school,,2013,9.0,15.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,1,27641
ZMB,ZM,5335.0,50876.0,50876.0,batunga,59914.0,26.133333,-15.533333,1,,,2005,,,61.0,51.0,,,61.0,0,,,61.0,0.0,,,2,18321
ZMB,ZM,5339.0,53177.0,53177.0,bbakasa,59902.0,28.7857,-16.3605,3,,,2005,,,72.0,1.0,,,72.0,1,,,72.0,0.0,,,2,18354
