iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,sth_examined,sth_positive,quality,sn
TZZ,ZZ,5442,51893,51893,bagamoyo,,39.749001,,99,,,1999.0,7.0,16.0,71.0,69.0,,,71.0,44,,,71.0,66.0,,,0.0,0.0,3,31673
TZZ,ZZ,5443,51894,51894,banda maji,59617.0,39.3167,,99,,,2007.0,,,67.0,10.0,,,67.0,27,,,67.0,37.0,,,,,1,16075
TZZ,ZZ,5443,51894,51894,bandamaji,59618.0,39.299999,,99,,,0.0,,,270.0,84.0,,,270.0,133,,,270.0,131.0,,,,,3,16074
TZZ,ZZ,5444,51896,51896,chake,,39.771999,,99,,,1988.0,4.0,20.0,101.0,11.0,,,101.0,48,,,101.0,69.0,,,0.0,0.0,3,30769
TZZ,ZZ,5444,51896,51896,chake chake,,39.771999,,99,,,1991.0,1.0,85.0,614.0,252.0,,,614.0,343,,,614.0,470.0,,,0.0,0.0,3,30773
TZZ,ZZ,5444,51896,51896,chanjamjawiri,,39.765999,,99,,,1999.0,7.0,16.0,87.0,83.0,,,87.0,41,,,87.0,81.0,,,0.0,0.0,3,31669
TZZ,ZZ,5446,51900,51900,dole,59661.0,39.266701,,99,,,2007.0,,,51.0,8.0,,,51.0,3,,,51.0,10.0,,,,,1,16120
TZZ,ZZ,5446,51900,51900,dole,59660.0,39.266701,,99,,,0.0,,,184.0,59.0,,,184.0,6,,,184.0,31.0,,,,,3,16118
TZZ,ZZ,5446,51900,51900,fuoni,59662.0,39.266701,,99,,,2007.0,,,15.0,2.0,,,15.0,0,,,15.0,3.0,,,,,1,16116
TZZ,ZZ,5444,51896,51896,furaha,,39.814999,,99,,,1999.0,7.0,16.0,118.0,110.0,,,118.0,61,,,118.0,109.0,,,0.0,0.0,3,31665
TZZ,ZZ,5444,51897,51897,kengeja,,39.733002,,99,,,1992.0,6.0,12.0,286.0,260.0,,,286.0,191,,,286.0,275.0,,,0.0,0.0,3,30762
TZZ,ZZ,5444,51897,51897,kengeja,,39.733002,,99,,,1996.0,0.0,5.0,702.0,324.0,,,702.0,294,,,702.0,480.0,,,0.0,0.0,3,30792
TZZ,ZZ,5445,51898,51898,kitumba,59626.0,39.283298,,99,,,2007.0,,,77.0,9.0,,,77.0,7,,,77.0,34.0,,,,,1,16110
TZZ,ZZ,5442,51893,51893,kiuyu,,39.832001,,99,,,1991.0,1.0,85.0,197.0,139.0,,,197.0,71,,,197.0,136.0,,,0.0,0.0,3,30781
TZZ,ZZ,5442,51893,51893,kwale,,39.749001,,99,,,1999.0,7.0,16.0,85.0,82.0,,,85.0,16,,,85.0,77.0,,,0.0,0.0,3,31668
TZZ,ZZ,5442,51893,51893,kwale,,39.749001,,99,,,2009.0,6.0,14.0,102.0,69.0,,,102.0,34,,,102.0,90.0,,,0.0,0.0,1,31678
TZZ,ZZ,5442,51893,51893,limbani,,39.733002,,99,,,2000.0,8.0,12.0,130.0,112.0,,,130.0,11,,,130.0,110.0,,,0.0,0.0,3,30744
TZZ,ZZ,5443,51895,51895,mahonda,59624.0,39.25,,99,,,2007.0,,,24.0,4.0,,,24.0,2,,,24.0,7.0,,,,,1,16082
TZZ,ZZ,5442,51892,51892,makangale,,39.698101,,99,,,1991.0,1.0,85.0,215.0,168.0,,,215.0,114,,,215.0,147.0,,,0.0,0.0,3,30782
TZZ,ZZ,5444,51897,51897,makombeni,,39.653599,,99,,,1999.0,7.0,16.0,104.0,101.0,,,104.0,77,,,104.0,100.0,,,0.0,0.0,3,31666
TZZ,ZZ,5444,51897,51897,makombeni,,39.653599,,99,,,1988.0,4.0,20.0,153.0,141.0,,,153.0,143,,,153.0,148.0,,,0.0,0.0,3,30786
TZZ,ZZ,5442,51893,51893,mchangamdogo,,39.799,,99,,,1992.0,6.0,12.0,345.0,328.0,,,345.0,250,,,345.0,336.0,,,0.0,0.0,3,30772
TZZ,ZZ,5442,51893,51893,mchangamdogo,,39.799,,99,,,2012.0,6.0,14.0,615.0,366.0,,,615.0,336,,,615.0,594.0,,,0.0,0.0,1,31676
TZZ,ZZ,5442,51893,51893,mbuzini,,39.721001,,99,,,2000.0,8.0,12.0,203.0,189.0,,,203.0,62,,,203.0,188.0,,,0.0,0.0,3,30746
TZZ,ZZ,5442,51893,51893,mchangamdogo,,39.799,,99,,,1999.0,7.0,16.0,210.0,205.0,,,210.0,111,,,210.0,192.0,,,0.0,0.0,3,31671
TZZ,ZZ,5444,51896,51896,michakaini,,39.765999,,99,,,1988.0,4.0,20.0,719.0,370.0,,,719.0,433,,,719.0,569.0,,,0.0,0.0,3,30763
TZZ,ZZ,5442,51892,51892,micheweni,,39.831001,,99,,,1999.0,7.0,16.0,175.0,162.0,,,175.0,144,,,175.0,164.0,,,0.0,0.0,3,31672
TZZ,ZZ,5442,51893,51893,mzambarauni,,39.765999,,99,,,1999.0,7.0,16.0,75.0,73.0,,,75.0,33,,,75.0,71.0,,,0.0,0.0,3,31674
TZZ,ZZ,5442,51893,51893,mzingani,,39.716,,99,,,1991.0,1.0,85.0,132.0,101.0,,,132.0,52,,,132.0,106.0,,,0.0,0.0,3,30776
