iso2,iso3,admin_level,admin0,admin0_id,region,who_region,continent,year
AO,AGO,admin0,Angola,2,Middle Africa,AFRO,Africa,"2013, 2014, 2017, 2015, 2018, 2019, 2016, 2020"
BF,BFA,admin0,Burkina Faso,5,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
BI,BDI,admin0,Burundi,6,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
BJ,BEN,admin0,Benin,3,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
BW,BWA,admin0,Botswana,4,Southern Africa,AFRO,Africa,"2013, 2014, 2015, 2019, 2016, 2017, 2018, 2020"
CD,COD,admin0,"Congo, DRC",14,Middle Africa,AFRO,Africa,"2013, 2014, 2017, 2015, 2018, 2019, 2016, 2020"
CF,CAF,admin0,Central African Republic,9,Middle Africa,AFRO,Africa,"2013, 2014, 2017, 2015, 2018, 2019, 2016, 2020"
CG,COG,admin0,Congo,12,Middle Africa,AFRO,Africa,"2013, 2014, 2017, 2015, 2018, 2019, 2016, 2020"
CI,CIV,admin0,Cote d'Ivoire,13,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
CM,CMR,admin0,Cameroon,7,Middle Africa,AFRO,Africa,"2013, 2014, 2017, 2015, 2018, 2019, 2016, 2020"
CV,CPV,admin0,Cape Verde,8,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
DJ,DJI,admin0,Djibouti,5774,Eastern Africa,EMRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
DZ,DZA,admin0,Algeria,1,Northern Africa,AFRO,Africa,"2013, 2014, 2015, 2019, 2016, 2017, 2018, 2020"
EG,EGY,admin0,Egypt,5775,Northern Africa,EMRO,Africa,"2013, 2014, 2015, 2019, 2016, 2017, 2018, 2020"
ER,ERI,admin0,Eritrea,16,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
ET,ETH,admin0,Ethiopia,17,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
GA,GAB,admin0,Gabon,18,Middle Africa,AFRO,Africa,"2013, 2014, 2015, 2018, 2019, 2016, 2017, 2020"
GH,GHA,admin0,Ghana,20,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
GM,GMB,admin0,The Gambia,19,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
GN,GIN,admin0,Guinea,21,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
GQ,GNQ,admin0,Equatorial Guinea,15,Middle Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
GW,GNB,admin0,Guinea-Bissau,22,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
KE,KEN,admin0,Kenya,23,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
KM,COM,admin0,Comoros,11,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
LR,LBR,admin0,Liberia,25,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
LS,LSO,admin0,Lesotho,24,Southern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
MG,MDG,admin0,Madagascar,26,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
ML,MLI,admin0,Mali,28,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
MR,MRT,admin0,Mauritania,29,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
MU,MUS,admin0,Mauritius,30,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
MW,MWI,admin0,Malawi,27,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
MZ,MOZ,admin0,Mozambique,31,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
NA,NAM,admin0,Namibia,32,Southern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
NE,NER,admin0,Niger,33,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
NG,NGA,admin0,Nigeria,34,Western Africa,AFRO,Africa,"2013, 2014, 2015, 2018, 2016, 2017, 2019, 2020"
RW,RWA,admin0,Rwanda,35,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
SC,SYC,admin0,Seychelles,38,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
SD,SDN,admin0,Sudan,5781,Northern Africa,EMRO,Africa,"2013, 2014, 2015, 2019, 2016, 2017, 2018, 2020"
SL,SLE,admin0,Sierra Leone,39,Western Africa,AFRO,Africa,"2013, 2015, 2014, 2018, 2016, 2017, 2019, 2020"
SN,SEN,admin0,Senegal,37,Western Africa,AFRO,Africa,"2013, 2015, 2014, 2018, 2016, 2017, 2019, 2020"
SO,SOM,admin0,Somalia,5780,Eastern Africa,EMRO,Africa,"2013, 2014, 2017, 2015, 2018, 2019, 2016, 2020"
SS,SSD,admin0,South Sudan,41,Northern Africa,AFRO,Africa,"2013, 2014, 2015, 2019, 2016, 2017, 2018, 2020"
ST,STP,admin0,Sao Tome & Principe,36,Middle Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
SZ,SWZ,admin0,Eswatini,42,Southern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
TD,TCD,admin0,Chad,10,Middle Africa,AFRO,Africa,"2013, 2014, 2017, 2015, 2018, 2019, 2016, 2020"
TG,TGO,admin0,Togo,43,Western Africa,AFRO,Africa,"2013, 2015, 2014, 2018, 2016, 2017, 2019, 2020"
TZ,TZA,admin0,Tanzania (Mainland),45,Eastern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
UG,UGA,admin0,Uganda,44,Eastern Africa,AFRO,Africa,"2013, 2014, 2017, 2018, 2015, 2019, 2016, 2020"
YE,YEM,admin0,Yemen,10747,Western Asia,EMRO,Asia,"2013, 2015, 2014, 2018, 2016, 2017, 2019, 2020"
ZA,ZAF,admin0,South Africa,40,Southern Africa,AFRO,Africa,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
